3.1 GOVERNANCE MONITORING AND COMPLIANCE: 2024/2025 QUARTER 2 REPORT EXPANSIONS,,,,,,,,,,,,,,
Number,"Period / Quarter (Use
dropdown List)","Date Received By GMC
(yyyy/mm/dd)","Entity/Department
(Use dropdown List)",Project Description,Supplier / Service Provider,Reason for Expansion,"Value of Contract Expansion
[R]","Original Contract Value
[R]","Value of Previous Expansion
[R]","Award by AO/ AA date
(yyyy/mm/dd)","Contract start date
(yyyy/mm/dd)","Contract expiry date
(yyyy/mm/dd)","Status
(Use dropdown List)",
180,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,"The provision of Industrial Cleaning Services on Boiler &Turbine
Plant areas / Outside Plant areas at Duvha Power Station for a
period of three years",Lahleni Investments,Expansion,"R2 795 072,60","R64 351 251,44","R7 123 120,41",2024/05/30,2020/01/12,2024/06/30,Reported,
181,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,"Auxiliary Bay Suspended Ceiling (28m level) Replacement. The
scope includes the design, manufacture, supply, and installation
of a debris netting/system above the suspended ceiling within
the Auxiliary Bay area at Lethabo Power Station.",Hage Project and Consulting Engineers (Pty) Ltd,Expansion,"R915 023,97","R5 406 749,62","R0,00",2024/06/04,2023/08/15,2025/08/14,Reported,
182,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,"Refurbishment of the Workshop and Stores Roof Cladding
Project",SAWA Construction,Expansion,"R2 660 584,80","R11 896 677,00","R0,00",2024/06/05,2023/08/15,2024/11/14,Reported,
183,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,"Maintenance on Dust Handling Plant, Precipitators for
Maintenance and Outages at Matimba Power Station",BKM Tshimollo Holdings (Pty) Ltd,Expansion,"R1 771 560,00","R8 387 067,69","R22 550 033,25",2024/05/31,2022/03/01,2024/07/31,Reported,
184,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,"Provision of hydraulic maintenance services for a period of 5
years at Kusile Power Station",Hyses (Pty) Ltd,Expansion,"R34 842 130,00","R35 084 820,00","R0,00",2024/05/16,2023/02/20,2028/02/21,Reported,
185,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,"The provision of Non-Industrial Cleaning-Offices, Kitchen and
Ablution Areas at Duvha Power Station for a period of 3 (three)
years","Thembalamantungwa Trading (Pty)
Ltd",Expansion,"R2 386 279,00","R47 460 880,00","R29 320 256,05",2024/05/31,2019/01/03,2024/08/02,Reported,
186,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,"Provision of Soot Blower for normal Maintenance and outage for
a period of 3 years at Kusile Power Station",Katale Trading & Projects CC,Expansion,"R30 190 085,38","R48 130 699,74","R0,00",2024/05/31,2021/04/15,2025/04/14,Reported,
187,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,"The provision of a secretary to support the Finance and Support
services department for a period of 12months at Camden Power
Station.",Harambee General Services (Pty) Ltd,Expansion,"R163 990,33","R201 561,60","R187 152,40",2024/05/31,2022/06/01,2025/05/31,Reported,
188,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,"The compressors maintenance and service and the provision of
spares on an “as- and- when” required basis",CompAir SA (Pty) Ltd,Expansion,"R44 243 452,40","R55 693 304,79","R16 042 420,26",2024/06/05,2021/06/11,2025/06/10,Reported,
189,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,"Provision of Horticulture, Alien Plants Control at Grootvlei Power
Station, Vaal Dam, Pantfontein Farms (Repurposing)",Africa Thumamina,Expansion,"R17 966 832,86","R28 139 177,59","R0,00",2024/05/10,2023/06/01,2028/05/31,Reported,
190,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,"The refurbishment and repair of LV motors at Kusile Power
Station for a period of Three 3 Years.",Winding Technologies,Expansion,"R4 500 000,00","R9 289 121,21","R0,00",2024/04/29,2022/02/15,2025/02/14,Reported,
Number,"Period / Quarter (Use
dropdown List)","Date Received By GMC
(yyyy/mm/dd)","Entity/Department
(Use dropdown List)",Project Description,Supplier / Service Provider,Reason for Expansion,"Value of Contract Expansion
[R]","Original Contract Value
[R]","Value of Previous Expansion
[R]","Award by AO/ AA date
(yyyy/mm/dd)","Contract start date
(yyyy/mm/dd)","Contract expiry date
(yyyy/mm/dd)","Status
(Use dropdown List)",
191,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,"Provision for manufacture and refurbishment of slurry plant BBA
handling system and air slides at Matla Power station for a
period of 12 months",Mbali Industrial Solutions,Expansion,"R9 476 794,29","R21 113 163,01","R0,00",2024/05/24,2021/02/24,2025/05/23,Reported,
192,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,"Provision of hygiene services at Komati Power
Station for a period of 1 year",Bidvest Steiner (Pty) Ltd,Expansion,"R117 510,00","R470 000,00","R198 850,00",2024/06/06,2023/01/11,2024/09/10,Reported,
193,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,"Supply and delivery of cleaning material for a five (5) year
period for stock replenishment",Baetshephi Civil and Construction CC,Expansion,"R3 148 000,00","R7 771 203,50","R0,00",2024/06/13,2023/03/16,2028/03/31,Reported,
194,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,"Supply and delivery of cleaning material for a five (5) year
period for stock replenishment","Divine Roots (Pty) t/a Tshehlana Cleaning
Services",Expansion,"R2 706 655,84","R1 649 709,16","R0,00",2024/06/13,2023/03/16,2028/03/31,Reported,
195,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,"The provision of Fire and medical services for a period of 36
\months at Camden Power Station",Mpumacare Emergency medical service,Expansion,"R7 009 880,00","R19 222 395,00","R0,00",2024/06/04,2023/08/14,2026/08/13,Reported,
196,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,"Provision of Condenser Chemical Cleaning For Unit 5 and Unit
6 at Majuba Power Station",Gra-Tech Pty (Ltd),Expansion,"R1 994 760,00","R9 741 494,29","R0,00",2024/06/04,2022/09/16,2025/09/15,Reported,
197,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,"The Manufacture, Supply and Delivery of Rod Control Cluster
Assemblies (RCCAs) for Koeberg",Framatome,Expansion,"R96 389,56","R39 971 412,79","R486 200,00",2024/06/13,2022/01/04,2024/12/31,Reported,
198,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,"Provision for Physical Security Guarding Services which include
monitoring, escorting and armed response in the Northwest
Section for a period of three (3) years",Bamogale Security Solutions,Expansion,"R4 582 195,20","R26 909 971,20","R0,00",2024/05/21,2021/06/01,2024/05/31,Reported,
199,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,,Modise Protection Services,,"R4 484 995,20","R27 493 171,20","R0,00",2024/05/21,2021/06/01,2024/05/31,Reported,
200,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,"Modification for the provision of refurbishment and construction
of Substation Projects or parts thereof required for Limpopo and
Mpumalanga Provinces within Limlanga Cluster Unit on an “as
and when” required basis","Afro Electrical
High Voltage Technology SA (Pty) Ltd CEE-
HOO Management cc t/a Mood Electrical
Mpande Business Enterprise",Expansion,"R117 751 474,00","R300 000 000,00","R153 873 433,94",2024/05/31,2017/04/01,2025/05/31,Reported,
201,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,"Unit 5 Earth Box Switch Box Refurbishment for the High
Frequency Power Supply at Kendal Power Station",Techno Environmental Filters (Pty) Ltd,Expansion,"R110 960,00","R1 416 946,40","R615 801,28",2024/06/18,2023/11/03,2024/09/30,Reported,
202,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,"Provision of Facilities Management Services at Eskom
Research and Innovation Centre building",Kgoshi Electrical cc,Expansion,"R6 226 590,00","R23 130 359,03","R7 269 830,00",2024/05/27,2021/04/01,2024/03/31,Reported,
203,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,"Design, manufacture, installation, testing, commissioning of
High Frequency Power Supply (HFPS) at Kriel Power Station
for Units 1 to 6",Lesedi Castlet Consortium,Expansion,"R3 480 031,85","R395 741 963,83","R0,00",2024/06/05,2021/12/03,2024/08/31,Reported,
204,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,"Modification No. 2 for the installation of HFPT for Unit 1 to 6 at
Lethabo Power Station",Alstom/General Electric Power Services (Pty) Ltd,Expansion,"R6 998 999,93","R249 626 247,94","R70 209 758,80",2024./5/27,2019/12/31,2025/01/19,Reported,
205,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,"Provision of PJFF inspection, repairs and bag replacement
during the outage at Kusile Power Station on an as and when
required basis",TT Thermal Suppliers (Pty) Ltd,Expansion,"R34 269 246,73","R67 056 155,38","R0,00",2024/06/13,2021/12/01,2024/11/30,Reported,
206,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,"Provision of Boiler internal high pressure washing and general
Cleaning during Outage at Kusile Power Station",Vhakoni Industrial Solutions,Expansion,"R8 847 665,00","R22 228 239,43","R11 008 321,24",2024/06/13,2021/06/15,2025/05/16,Reported,
207,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,"The supply, delivery and offloading of petrol and diesel to
various Power Stations",PetroSA (SOC) Ltd,Expansion,"R225 976 611,47","R1 484 075 000,00","R1 884 972 556,65",2024/06/18,2019/10/01,2024/09/30,Reported,
208,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,"First PO - Strip and Quote. Modification PO - Machine
damaged components & repair Camden unit 4 turbine &
generator main oil pump & gearbox.",Siemens Energy (Pty) Ltd,Expansion,"R9 367 709,78","R242 463,86","R0,00",2024/06/07,2024/03/26,2024/09/30,Reported,
209,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,"The supply and delivery of processed and fresh vegetables,
fresh fruit and salads on an as when required basis to Kriel
Power Station",,Expansion,"R1 012 409,39","R3 782 848,17","R0,00",2024/06/04,2021/12/01,2024/11/30,Reported,
210,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,The provision of coal plant cleaning and lashing,,Expansion,"R3 750 000,00","R38 837 558,51","R1 906 250,06",2024/06/25,2021/03/10,2024/09/30,Reported,
211,Q2 2024/25,2024/08/13,Department of Public Enterprises (DPE),Security guard,Siqobile Equestrial Security Services,Extension,"R9 292 835,26","R24 723 835,26","R0,00",2021/08/01,2021/08/01,2025/03/31,Reported,
212,Q2 2024/25,2024/08/12,Department of Public Enterprises (DPE),Provision of cleaning services,OKS Investent 2009,Reconfiguration of DPE,"R2 022 928,00","R567 445,30","R1 658 608,48",2019/10/19,2019/10/21,2024/08/31,Reported,
213,Q2 2024/25,2024/09/02,Public Protector South Africa,Additional parking bays for Bloemfontein,SKG Africa Group,"It is impractical for PPSA to procure the additional
parking bays through normal competitive bidding
process. PPSA occupies same building through the
Department of Public Works.","R58 561,16","R508 074,25","R0,00",2024/08/13,Not stated,Not stated,Reported,
214,Q2 2024/25,2024/09/02,Public Protector South Africa,Extension of parking bays contract for PPSA Head Office,Redefine Properties,"It is impractical for PPSA to procure the additional
parking bays through normal competitive bidding
process. PPSA occupies same building through the
Department of Public Works (Renegotiation of parking","R1 513 997,99","R1 236 618,00","R0,00",2024/08/07,Not stated,Not stated,Reported,
215,Q2 2024/25,2024/09/04,"Department of Justice and Constitutional Development
(DoJ&CD)","Procurement of Subscription Services for a Legal Library
comprising of: local online, electronic and printed for the
Department of Justice and Constitutional Development, the
Office of the Chief Justice (OCJ), Legal Aid South Africa,","1. LexisNexis (Pty) Ltd 2. Juta & Co (Pty) Ltd 3.
Sabinet Online (Pty) Ltd","Business continuity to allows for the finalisation of the
replacement procurement process.","R6 849 296,22","R172 230 498,74","R37 371 031,86",2024/08/28,2024/09/01,2024/10/31,Reported,
216,Q2 2024/25,2024/09/04,"Department of Justice and Constitutional Development
(DoJ&CD)","Appointment of a Service Provider for the provision of Virtual
Library publications (Foreign Online, subscription to printed and
loose-leaf publication) for the Department of Justice
Constitutional Development, the Office of the Chief Justice",LexisNexis (Pty) Ltd,"Business continuity to allows for the finalisation of the
replacement procurement process.","R302 595,81","R13 714 914,76","R8 105 191,62",2024/08/28,2024/09/01,2024/09/30,Reported,
217,Q2 2024/25,2024/09/04,National Prosecuting Authority of South Africa (NPA),"Complete the scope of work, issue a final written report and to
give evidence in the Vrede Dairy Prosecution",ENS Forensics (Pty) Ltd,"Add costing to prepare for trail, consult with the
prosecution team and preparing the report on the
financial analysis","R188 186,00","R1 260 666,60","R361 962,50",2024/08/30,2024/09/04,Not stated,Reported,
218,Q2 2024/25,2024/09/04,Legal Aid South Africa,Photograph service at the board gala dinner,AI Pictures,increasing the scope of work,"R1 500,00","R6 500,00","R0,00",2024/06/26,2024/05/17,2024/05/17,Reported,
219,Q2 2024/25,2024/09/04,Legal Aid South Africa,Johannesburg LO Cleaning services,Vogue Exchange,RFQ process not yet concluded,"R28 750,00","R172 500,00","R57 500,00",2024/07/22,2024/08/01,2024/09/30,Reported,
220,Q2 2024/25,2024/09/04,Legal Aid South Africa,Vryheid Local Office ( Lease of office accomodation),Hester Davel,Tender process not yet concluded,"R115 256,68","R2 556 602,98","R697 943,18",2024/07/31,2024/08/01,2024/09/30,Reported,
221,Q2 2024/25,2024/09/06,South African Social Security Agency (SASSA),"appointment of service provider to render physical security
(guarding services) at the sassa free state region for a period of
thirty six (36) months.",mushoma security services and projects cc,"Contract expires on the 30th of September 2024 and the
region is in the process of bid evaluation for awarding of
a new contract","R6 615 107,31","R61 557 449,76","R0,00",2024/09/03,2024/10/01,2024/12/31,Reported,
222,Q2 2024/25,2024/09/12,Legal Aid South Africa,"Strategic Litigation Services ABC v Minister of Agriculture,
Forestry and Fisheries & others","Advocate Kameshni Pillay SC and Advocate Nikki
Steyn",Additional budget,"R414 397,70","R410 600,00","R0,00",2024/08/19,2024/09/16,2024/09/20,Reported,
223,Q2 2024/25,2024/09/12,Legal Aid South Africa,"Strategic Litigation Services Masindi Clement Mphephu v
Mphephu Ramabulana",Hamman Moosa Incorporated,Additional budget,"R1 430 079,75","R1 289 346,65","R256 985,80",2024/08/20,2024/09/30,2024/10/04,Reported,
224,Q2 2024/25,2024/09/12,Legal Aid South Africa,Travel Management Services,Atlantis Corporate Travel,Tender process not yet concluded,"R75 900,00","R724 905,72","R94 875,00",2024/08/16,2024/09/01,2024/12/31,Reported,
225,Q2 2024/25,2024/09/12,Legal Aid South Africa,Kirkwood Satellite Office Cleaning Services,Alvofield CC,To align the contract with the leasse contract,"R10 500,00","R10 500,00","R0,00",2024/08/16,2024/09/01,2024/11/30,Reported,
226,Q2 2024/25,2024/09/12,Legal Aid South Africa,Kirkwood Satellite Office Security Services,Smhart security,To align the contract with the leasse contract,"R897,00","R897,00","R0,00",2024/08/19,2024/09/01,2024/11/30,Reported,
227,Q2 2024/25,2024/09/12,Legal Aid South Africa,Kirkwood Satellite Office Hygiene Services,Khanya Cleaning Group,To align the contract with the leasse contract,"R3 643,20","R3 643,20","R0,00",2024/08/19,2024/09/01,2024/11/30,Reported,
228,Q2 2024/25,2024/09/12,Legal Aid South Africa,Provision of security services at Legal-Aid National Office,TDP Enterprise & Projects,increasing the scope of work,"R687 737,59","R6 831 795,78","R0,00",2024/08/23,2024/10/01,2027/03/31,Reported,
229,Q2 2024/25,2024/09/12,Legal Aid South Africa,"Evaluation of suitable enterprise resources planning (ERP)
Solutions services agreement",Efive Networx (Pty) Ltd,Tender process not yet concluded,"R241 500,00","R515 200,00","R0,00",2024/08/26,2024/09/02,2024/10/31,Reported,
Number,"Period / Quarter (Use
dropdown List)","Date Received By GMC
(yyyy/mm/dd)","Entity/Department
(Use dropdown List)",Project Description,Supplier / Service Provider,Reason for Expansion,"Value of Contract Expansion
[R]","Original Contract Value
[R]","Value of Previous Expansion
[R]","Award by AO/ AA date
(yyyy/mm/dd)","Contract start date
(yyyy/mm/dd)","Contract expiry date
(yyyy/mm/dd)","Status
(Use dropdown List)",
230,Q2 2024/25,2024/09/12,Legal Aid South Africa,"Free State / North West Provincial Office (Leasse of office
accomodation)",PHG Property House,Tender process not yet concluded,"R371 324,88","R3 079 230,54","R371 324,88",2024/08/26,2024/09/01,2025/02/28,Reported,
231,Q2 2024/25,2024/09/12,Legal Aid South Africa,Cape Town Local Office (Leasse of office accomodation),South African Reserve Bank,Procurement process not yet concluded,"R1 499 297,44","R8 769 120,19","R5 007 158,22",2024/08/26,2024/09/01,2025/03/31,Reported,
232,Q2 2024/25,2024/09/12,Legal Aid South Africa,Kirkwood Satellite Office (Leasse of office accomodation),Aqua Algemene Handelaars CC,Procurement process not yet concluded,"R49 089,24","R833 931,12","R427 777,74",2024/08/23,2024/09/01,2024/11/30,Reported,
233,Q2 2024/25,2024/09/12,Legal Aid South Africa,"Western Cape / Northern Cape (WC/NC) Provincial Office
(Leasse of office accomodation)",JDR Trust,Tender process not yet concluded,"R1 072 554,36","R4 412 159,96","R0,00",2024/08/26,2024/09/01,2025/08/31,Reported,
234,Q2 2024/25,2024/09/12,Legal Aid South Africa,Umlazi Local Office (Leasse of office accomodation),Ithala Development Finance Corporation Limited,Tender process not yet concluded,"R453 016,12","R1 735 950,37","R211 691,07",2024/06/27,2024/07/01,2025/06/30,Reported,
235,Q2 2024/25,2024/08/29,National Home Builders Registration Council (NHBRC),"extension of the current nhbrc office accommodation and
parking facilities for mahikeng office for a period of three (3)
months",Columbia falls properties 80 (Pty) Ltd,Impractical / Impossible,"R174 446,13","R2 784 588,04",R0.00,2024/08/28,2024/08/31,2024/11/30,Reported,
236,Q2 2024/25,2024/09/13,National Lotteries Commission (NLC),Security services,Malope Aphahla security,To secure NLC unoccupied offices,"R684 000,00","R5 289 665,51","R0,00",2024/08/14,2024/08/14,2025/02/18,Reported,
237,Q2 2024/25,2024/09/13,National Lotteries Commission (NLC),Security services,Sniper security,To secure NLC unoccupied offices,"R684 000,00","R6 696 769,20","R0,00",2024/08/14,2024/08/14,2025/02/18,Reported,
238,Q2 2024/25,2024/09/13,National Lotteries Commission (NLC),Security services,M Guard security,To secure NLC unoccupied offices,"R56 146 212,00","R5 316 385,85","R0,00",2024/08/14,2024/08/14,2025/02/18,Reported,
239,Q2 2024/25,2024/09/13,National Lotteries Commission (NLC),Media Training services,Zindela Communications,Media Training services,"R126 000,00","R98 325,00","R0,00",,,2024/08/31,Reported,
240,Q2 2024/25,2024/09/05,Eskom Holdings SOC Ltd,"The Supply, delivery and Offloading of Lighting Materials and
associated consumables at the various power stations in the
ERI Construction Services business unit, on a “as and when
required basis for a period of 1 year”",Imperial & Lighting (Pty) LTD,Expansion,"R3 838 650,00","R4 414 447,50","R0,00",2024/04/29,2023/05/01,2025/04/30,Reported,
241,Q2 2024/25,2024/09/05,Eskom Holdings SOC Ltd,Security Services.,Best Enough Trading Projects 147 CC,Expansion,"R8 167 526,51","R9 392 655,49","R0,00",2024/04/12,2021/11/22,2025/01/02,Reported,
242,Q2 2024/25,2024/09/05,Eskom Holdings SOC Ltd,"The refurbishment, installation of cables, racks power control,
protection, testing and commission at various sites",Fullserve (Pty) Ltd,Expansion,"R18 428 439,31","R21 192 705,21","R0,00",2024/04/03,2021/04/08,2024/12/08,Reported,
243,Q2 2024/25,2024/09/05,Eskom Holdings SOC Ltd,"The Vehicle Rental including damages, excess kilometres, and
e-Tolls Contract for a period of two (2) years on an as and when
required basis.","EuropCar Van Rental, Hambanathi, U-Rent, VDM,
Super-Rent, AfriRent.",Expansion,"R50 000 000,00","R57 500 000,00","R100 440 755,00",2024/05/15,2020/05/01,2024/06/30,Reported,
244,Q2 2024/25,2024/09/05,Eskom Holdings SOC Ltd,Supply and delivery of Transformer Insulation Oil,Engen Petroleum,Expansion,"R9 616 613,40","R11 059 105,41","R78 947 452,50",2024/05/15,2022/02/19,2026/02/18,Reported,
245,Q2 2024/25,2024/09/05,Eskom Holdings SOC Ltd,Supply and delivery of Transformer Insulation Oil,Engen Petroleum,Expansion,"R25 838 785,00","R29 714 602,75","R104 786 238,50",2024/07/10,2022/02/19,2026/02/18,Reported,
246,Q2 2024/25,2024/09/05,Eskom Holdings SOC Ltd,"Supply, deliver and construction of Minerva-Vulcan 400 KV line
restoration project",Ompetha Power Projects (Pty) Ltd,Expansion,"R18 139 414,40","R20 860 326,56","R0,00",2024/05/08,2023/10/09,2025/01/08,Reported,
247,Q2 2024/25,2024/09/05,Eskom Holdings SOC Ltd,The Hire of mobile Plant for a period of 24 months,"Sector 6, Sector 6, Kent, MS Mans, Potlako, Ncele,
Marcopolo, Xmoor, Ovas, Ekene, Lesedi, Kent, Patlako,
Xmoor, Macopolo, Lesedi, Xmoor, Marcopolo,
Bambanani, Mashele, Potlako, Bambanani",Expansion,"R232 068 168,00","R266 878 393,20","R167 817 885,00",2024/06/28,2022/01/01,2025/01/15,Reported,
248,Q2 2024/25,2024/09/05,Eskom Holdings SOC Ltd,Modification report request - Bell Equipment South Africa,Bell Equipment South Africa,Expansion,"R37 544 102,26","R43 175 717,60","R0,00",2024/06/19,2022/12/19,2025/12/20,Reported,
249,Q2 2024/25,2024/09/05,Eskom Holdings SOC Ltd,"Modification report, Genserve",General Electric,Expansion,"R52 914 171,72","R60 851 297,48","R0,00",2024/08/10,2022/08/24,2024/08/24,Reported,
250,Q2 2024/25,2024/09/05,Eskom Holdings SOC Ltd,"Design, manufacture, installation, testing, commissioning of
High Frequency Power Supply (HFPS) at Kriel Power Station
for Units 1 to 6",Lesedi Castlet Consortium,Expansion,"R16 530 151,30","R19 009 674,00","R4 002 036,63",2024/08/26,2024/12/03,2026/03/31,Reported,
251,Q2 2024/25,2024/09/05,Eskom Holdings SOC Ltd,Provision of private security services at Matimba Power Station,Mjayeli Security Services (Pty) Ltd,Expansion,"R1 896 617,78","R2 181 110,45","R3 867 365,67",2024/07/31,2022/12/15,2024/09/30,Reported,
252,Q2 2024/25,2024/09/05,Eskom Holdings SOC Ltd,"The provision of Non-Industrial Cleaning-Offices, Kitchen and
Ablution areas at Duvha Power Station for a period of 3 (three)
years",Thembalamantungwa Trading (Pty) Ltd,Expansion,"R1 204 775,00","R1 385 491,25","R37 042 241,28",2024/08/01,2024/01/03,2024/09/02,Reported,
253,Q2 2024/25,2024/09/05,Eskom Holdings SOC Ltd,"Provision of mechanical maintenance of fabric filter plant (FFP),
ducting and dampers for a period of 36 months at Camden
Power Station",NNT Engineering Construction CC,Expansion,"R13 624 687,84","R15 668 391,02","R0,00",2024/07/11,2021/12/01,2024/11/30,Reported,
254,Q2 2024/25,2024/09/05,Eskom Holdings SOC Ltd,Coal Staithe 1 tripper car rails and clamshell refurbishment,African Commodity Handling Projects,Variation,"R8 187 090,00","R9 415 153,50","R10 356 272,56",2024/07/11,2021/06/28,2025/01/31,Reported,
255,Q2 2024/25,2024/09/05,Eskom Holdings SOC Ltd,"Supply and Delivery of Boiler tubing and slip spacers at Arnot
Power Station for a Period of Three Years.",Solid Engineering Works (Pty) Ltd,Expansion,"R33 363 738,89","R38 368 299,72","R0,00",2024/08/19,2023/11/27,2026/11/26,Reported,
256,Q2 2024/25,2024/09/05,Eskom Holdings SOC Ltd,"Kusile Power Station Water Treatment Plant Seal Water
Recovery",Tushcor Holdings (Pty) Ltd,Expansion,"R3 281 474,36","R3 773 695,51","R0,00",2024/08/13,2022/08/15,2025/02/14,Reported,
257,Q2 2024/25,2024/09/05,Eskom Holdings SOC Ltd,"Refurbishment of Boiler and Turbine Valves at Majuba Power
Station for a period of five years",Enelad (Pty),Expansion,"R21 484 375,49","R24 707 031,81","R0,00",2024/07/29,2022/04/01,2027/03/31,Reported,
258,Q2 2024/25,2024/09/05,Eskom Holdings SOC Ltd,"The provision of business services to provide support to the
execution of The Steam Generator Replacement Project.",Allweld Marine and Industrial (Pty) Ltd,Expansion,"R18 120 910,06","R20 839 046,57","R91 741 378,60",2024/08/13,2021/06/10,2025/03/31,Reported,
259,Q2 2024/25,2024/09/05,Eskom Holdings SOC Ltd,"The Provision of a Rigging and Lifting Service including
equipment hire on an as and when required basis at Nuclear
Operating Unit.",M&M Training & Rigging CC,Expansion,"R6 601 385,15","R7 591 592,92","R74 862 336,31",2024/07/31,2021/04/18,2024/08/31,Reported,
260,Q2 2024/25,2024/09/05,Eskom Holdings SOC Ltd,"The Provision of Milling Plant Maintenance Services on Units 1
to 6 at Matla Power Station for a period of 4 years",Steinmüller Africa (Pty) Ltd,Expansion,"R41 212 009,00","R47 393 810,35","R149 994 060,84",2024/08/16,2019/12/18,2025/01/17,Reported,
261,Q2 2024/25,2024/09/05,Eskom Holdings SOC Ltd,"The provision of Fire Detection System Maintenance at Camden
Power Station",MZ Security Systems (Pty) Ltd,Expansion,"R734 991,30","R845 240,00","R845 264,79",2024/08/23,2023/04/24,2024/09/24,Reported,
262,Q2 2024/25,2024/09/05,Eskom Holdings SOC Ltd,"The repairs and maintenance of the Welland and Tuxhorn
valves at Matla Power Station",Kulkoni South Africa,Expansion,"R9 932 473,04","R11 422 344,00","R0,00",2024/06/13,2022/03/01,2027/02/28,Reported,
263,Q2 2024/25,2024/09/05,Eskom Holdings SOC Ltd,"Work home-work transport for employees at Matimba Power
Station",Makalane Plant Maintenance,Expansion,"R748 870,92","R861 201,56","R2 583 604,67",2024/08/26,2018/09/01,2024/11/30,Reported,
264,Q2 2024/25,2024/09/05,Eskom Holdings SOC Ltd,"Provision for Home-work Home Transportation of shift
employees on a daily basis at Matimba Power Station.",Naremotho Trading Enterprise,Expansion,"R1 315 101,00","R1 512 366,15","R11 583 384,75",2024/08/26,2018/09/01,2024/11/30,Reported,
265,Q2 2024/25,2024/09/05,Eskom Holdings SOC Ltd,"Provision for Office Cleaning, Hygiene and Car-wash services
at Matimba Power Station.",Koketso Anna Ngoako Trading,Expansion,"R1 877 547,93","R2 159 180,12","R2 292 079,63",2024/08/26,2021/04/01,2024/11/30,Reported,
266,Q2 2024/25,2024/09/05,Eskom Holdings SOC Ltd,"The Construction of the Copperton and Garob IPP project:
Kronos Substation",Shonisani Rambau,Expansion,"R420 770,00","R483 885,50","R483 885,50",2024/07/30,2023/11/01,2025/05/31,Reported,
267,Q2 2024/25,2024/09/05,Eskom Holdings SOC Ltd,"The provision of physical security and guarding services in
Southern Grid Transmission (Eastern Cape) which includes a
National Key Point, Port Elizabeth, Mthatha and East London
area",Marebole Security Solutions (Pty) Ltd,Expansion,"R897 000,00","R1 031 550,00","R2 637 604,61",2024/08/16,2021/01/10,2024/09/30,Reported,
268,Q2 2024/25,2024/06/19,Department of Basic Education (DBE),Mimecast Services,SMS ICT Choice,New tender yet to be finalised at SITA,"R36 245,70","R1 304 845,20","R398 702,70",2023/06/21,2024/05/01,2024/05/31,Reported,
Number,"Period / Quarter (Use
dropdown List)","Date Received By GMC
(yyyy/mm/dd)","Entity/Department
(Use dropdown List)",Project Description,Supplier / Service Provider,Reason for Expansion,"Value of Contract Expansion
[R]","Original Contract Value
[R]","Value of Previous Expansion
[R]","Award by AO/ AA date
(yyyy/mm/dd)","Contract start date
(yyyy/mm/dd)","Contract expiry date
(yyyy/mm/dd)","Status
(Use dropdown List)",
269,Q2 2024/25,2024/06/28,"Petroleum, Oil and Gas Corporation of South Africa
(PetroSA)",Professional Services for Infrastructure related services,GENBIZ Trading 1001,Internal Budget Increase,"R14 453 173,00","R23 000 000,00","R0,00",2024/06/21,2023/07/17,2026/07/16,Reported,
270,Q2 2024/25,2024/06/28,"Petroleum, Oil and Gas Corporation of South Africa
(PetroSA)",Professional Services for Infrastructure related services,Nambithi Technologies,Internal Budget Increase,"R878 233,00","R23 000 000,00","R0,00",2024/06/21,2023/07/17,2026/07/16,Reported,
