5.5.1 GOVERNANCE MONITORING AND COMPLIANCE: 2022/2023 QUARTER 2 REPORT DEVIATIONS,,,,,,,,,,,,,
DEVIATIONS REPORT,,,,,,,,,,,,,
Number,Period / Quarter,"Rollover / New
(Use dropdown List)","Date Received By GMC
(yyyy/mm/dd)","Entity/Department
(Use dropdown List)",Project Description,Supplier / Service Provider,"ValueofDeviation
(R)","Reason for Deviation
(Use dropdown List)","not supported/not
supported/Conditional supported
(Use dropdown List)","Award/recommended by AO/ AA
date
(yyyy/mm/dd)","Contract start date
(yyyy/mm/dd)",Contract expiry (yyyy/mm/dd),"Status
(Use dropdown List)"
186,Q2 2022/23,New,2022/07/14,"Department of Small Business Development
(DSBD)","Appointment of a service provider Government
Technical Advisory Centre (GTAC) to assist the
Department of Small Business Development in
Implementing the cabinet approved Incorporation of
Small Enterprise Finance Agency (Sefa) and the
Cooperatives Bank Development Agency (CBDA)",GTAC) Government technical Advisory Center,"R6 319 925,10","GTAC deals with reducing waste and inefficiencies in the public service, the Departmentapproached GTAC
to assist with the Incorporation of Small Enterprise Finance Agency(sefa) and Cooperatives Bank
Development Agency (CBDA) into the Small EnterpriseDevelopment Agency (Seda).GTAC also assisted
government in the establishment and amalgamation of entities ownedsubsidiary of the IDC combining Khula,
SAMAF and IDC’s Small Business function.GTAC is an Agency within the National Treasury is uniquely
positioned to provide suchsupport given its specific expertise, location within government, and understanding",Within AA/AO mandate Noting,,N/A,N/A,Reported
187,Q2 2022/23,New,2022/07/14,"Department of Small Business Development
(DSBD)","Appointment of a service provider Council for
Scientific and Industrial research (CSIR) to assist the
Department of Small Business Development in
implementing a pilot project for small enterprise
development on medicine cannabis and industrial
hemp.",Council for Scientific and Industrial research (CSIR),"R2 000 000,00","1.The Council for Scientific and Industrial Research (CSIR) is a leading scientific and technology research
organisation that researches, develops, localises and diffuses technologies to accelerate socioeconomic
prosperity in South Africa. The organisation’s work contributes to industrial development and supports a
capable state.2.The organisation conducts research, development and innovation; localises transformative
technologies and accelerates their diffusion to improve the competitiveness of high-impact industries; and
drives socioeconomic transformation by supporting a capable state.3.Commercial hemp and in general",Within AA/AO mandate Noting,2022/06/01,N/A,N/A,Reported
188,Q2 2022/23,New,2022/06/22,"Department of Sports, Arts and Culture (DSAC)","Appointment of University of Pretoria as a single
source",University of Pretoria,Not Stated,Single Source,Within AA/AO mandate Noting,Not Stated,Not Stated,Not Stated,Reported
189,Q2 2022/23,New,2022/07/01,Department of Tourism (DT),"Appointment of a service provider to provide
Mandarin Language Training to 34 Tourism Guides
for a period of six weeks","Chinese Cultural and International Exchange Centre
(PTY) LTD","R3 374,10","A total of 10 potential services providers were contacted from the CSD. The suppliers were given five days
to submit written price quotations. However, after the closing date and time only 1 service provider
responded to the RFQ. Due to the nature of the required training and number of limited services providers
available management decided to deviate from the normal procurement process and evalaute and appoint.
Sufficient suppliers were given opportunity to quote and they failed to do so",Within AA/AO mandate Noting,2022/06/15,N/A,N/A,Reported
190,Q2 2022/23,New,2022/07/01,Department of Tourism (DT),"Appointment of a service provider to render
accomodation for Mandarin Langauge Training
Programme of 34 learners for a period of six weeks",Kopanonh Hotel and Conference,"R18 149,58","The plan was to commence with training in the 1st quarter, however the process was halted due to Concourt
judgement of Februarty 2022 with regard to procurement of goods and services above R 30 000 that must
be exempted by National Treasury. Only the venues close to the ORTIA would be appropriate for the
delegates. More than 5 potential suppliers were contacted to provide quotation, at the closing date and time
minimum of three suppliers submitted written price quotations. It would have been impractical to conclude the
procurement process through the open tendering procedure because the training is scheduled to take place",Within AA/AO mandate Noting,2022/06/30,2022/07/11,2022/08/21,Reported
191,Q2 2022/23,New,2022/07/08,Department of Tourism (DT),"Appointment of a service provider to repair a
shredding machine",AZ Trading CC,"R9 612,85","A total of 15 potential services providers were contacted from the CSD. The suppliers were given five days
to submit written price quotations. However, after the closing date and time only 1 service provider
responded to the RFQ and no reasons provided by the suppliers on why quotations were not submitted.
Management decided to deviate from the normal procurement process and appoint the service provider
because the Department needs to derived benefit from the asset.",Within AA/AO mandate Noting,2022/07/08,2022/07/08,2022/07/08,Reported
192,Q2 2022/23,New,2022/08/15,Department of Transport (DOT),Travel Management Services,XL Nexus Corporate Travel,Not Stated,"Participation by the DoT in tender RFB01-2021/22 awarded to XL Nexus Travel by RTIA to render travel
services for a period of six months ending 31 December 2022 while the Department advertises a new tender
after the current service provider terminated the contract",Noting,2022/06/14,2022/06/16,2022/12/31,Reported
193,Q2 2022/23,New,2022/08/15,Department of Transport (DOT),"Appointment of Government Technical Advisory
Centre (GTAC) to undertake a technical review of
the draft High-Speed Rail (HSR)Framework",Government Technical Advisory Centre (GTAC),"R1 172 640,00","Appointment of GTAC as a single source government agency to undertake a technical review of the draft
High-Speed Rail (HSR)Framework",Noting,2022/06/13,Not Stated,Not Stated,Reported
194,Q2 2022/23,New,2022/08/18,Department of Water and Sanitation (DWS),"Complete remaining 3% of the construction of the
new Rothdene pump station rising main station under
Sedibeng Regional Sewage Scheme",WK Construction,"R30 617 839,05",Completion of the remaining work,Noting,2022/07/30,2022/07/01,2022/10/31,Reported
195,Q2 2022/23,New,2022/08/11,"Department of Women, Youth and Persons with
Disabilities (DWYPD)","Dev#35-Removal and re-installation of business key
cabinets and ERS biometrics system as part of
relocations to Fedsure building",ZKSSoftware and Malope monitoring solutions,"R200 814,08",Sole Source,Within AA/AO mandate Noting,2022/06/20,Not Stated,Not Stated,Reported
196,Q2 2022/23,New,2022/08/11,"Department of Women, Youth and Persons with
Disabilities (DWYPD)","Dev#36-Relocation - 66 additional parking for staff
members",Karabo Priniting,"R501 600,00",Sole Source,Within AA/AO mandate Noting,2022/07/06,Not Stated,Not Stated,Reported
197,Q2 2022/23,New,2022/08/11,"Department of Women, Youth and Persons with
Disabilities (DWYPD)","Dev#37 - Deviate from NT regulation 12.1.2 -
Vehicle insurance (6 BMW's)",Imperilix,"R104 578,20",Sole Source,Within AA/AO mandate Noting,2022/07/27,Not Stated,Not Stated,Reported
198,Q2 2022/23,New,2022/08/11,"Department of Women, Youth and Persons with
Disabilities (DWYPD)","Dev# 38 - Laptop for Dr Praveena part of
reasonable",A&C Cosmic solutions,"R43 700,33",Sole Source,Within AA/AO mandate Noting,2022/07/29,Not Stated,Not Stated,Reported
199,Q2 2022/23,New,2022/08/11,"Department of Women, Youth and Persons with
Disabilities (DWYPD)","Dev#39 - Appointment of Olive convention centre for
womens launch 01 August 2022",Tourvest Travel - TTS (Olive convention Centre),"R463 472,92",Sole Source,Within AA/AO mandate Noting,2022/07/28,Not Stated,Not Stated,Reported
200,Q2 2022/23,New,2022/07/01,"Department of Women, Youth and Persons with
Disabilities (DWYPD)","Removal and re-installation of business key cabinets
and ERS Biometrics system as part of relocations
to Fedsure building",ZKSSoftware and Malope monitoring solutions,"R200 814,08",Not Stated,Within AA/AO mandate Noting,2022/06/20,Not Stated,Not Stated,Reported
201,Q2 2022/23,New,2022/08/23,"Department of Women, Youth and Persons with
Disabilities (DWYPD)","Request to deviation from National Treasury
Regulation 12.1.2 - Vehicle Insurance",Not Stated,"R249 999,96",Single source,Closed,Not Stated,Not Stated,Not Stated,Reported
202,Q2 2022/23,New,2022/09/08,Development Bank of South Africa,Online Disclosure Project,Microsoft,"R129 456,88","The underlying technology that has been selected to support ICT's private cloud strategy in Microsoft Azure.
Sole Source - part of the Microsoft Enterprise Agreement.
USD Rate on Date of Award: R14.559
Award Amount: $8891.88",Within AA/AO,2022/04/13,2022/07/01,2023/06/30,Reported
203,Q2 2022/23,New,2022/09/08,Development Bank of South Africa,"Temporary support system / propping service
provider for Charlotte Maxeke johannesburg
academic hospital (CMJAH) on behalf of the
national Department of Health",VIVA Formwork & Scaffolding (JHB) (Pty) Ltd,"R69 493 236,50",######################################################################################,Within AA/AO,2022/05/18,2022/05/19,2022/11/19,Reported
204,Q2 2022/23,New,2022/09/08,Development Bank of South Africa,"Euromoney: Sustainability Unlocked Learning
Platform",Euromoney,"R201 000,00",######################################################################################,Within AA/AO,2022/08/02,2022/08/01,2023/07/31,Reported
205,Q2 2022/23,New,2022/09/08,Development Bank of South Africa,"Additional user
licenses for caseware valid for a period of 12
months (1 years)",Adapt IT,"R55 022,15","Caseware Africa are the Sole Distributors of Caseware Software in South Africa, and Adapt IT are the
accredited distributor",Within AA/AO,2022/08/16,2022/09/01,2023/08/31,Reported
206,Q2 2022/23,New,2022/09/08,Development Bank of South Africa,"Additional 10 ARCGIS enterprise user type licenses
from ESTRI",ESRI,"R112 734,50",######################################################################################,Within AA/AO,2022/09/06,2022/09/01,2023/08/31,Reported
207,Q2 2022/23,New,2022/09/08,Development Bank of South Africa,Casual Guarding – Protection Services,TRSS,"R28 980,00","To provide protection for DBSA facilities and assets, controlling of access/egress at all entrances and pro-
actively patrolling to cover entire building including perimeter as well as any other security related services.",Within AA/AO,2022/08/24,2022/09/01,2022/09/02,Reported
208,Q2 2022/23,New,2022/07/04,Driving Licence Card Account (DLCA),Acquisition of raw material,AGFA,"R78 764 630,04",Sole Supplier,Noting,2022/06/28,Not stated,Not stated,Reported
209,Q2 2022/23,New,2022/08/02,Electoral Commission,Provision of SAP ERP maintenance services,SAP,"R22 216 958,00",Single source,Within AA/AO,2022/08/02,Not indicated,Not indicated,Reported
210,Q2 2022/23,New,2022/09/08,"Energy and Water Sector Education and Training
Authority (EWSETA)SETA",DOOR REPAIRS,AZURAWORX (ALCHEMY HOLDINGS),"R5 577,50",Urgent Case,Within AA/AO mandate Noting,2022/07/14,Once Off,Once Off,Reported
211,Q2 2022/23,New,2022/09/08,"Energy and Water Sector Education and Training
Authority (EWSETA)SETA",DG Window advert,Tiso Media T/A Sunday Times,"R90 476,25",Most suitable means to reach the target audience,Within AA/AO mandate Noting,2022/07/14,Once Off,Once Off,Reported
212,Q2 2022/23,New,2022/09/08,"Energy and Water Sector Education and Training
Authority (EWSETA)SETA",2 Day summit sponsorship,Northlink College,"R250 000,00","Participation/sponsoring the two day summit on strategic industry parnerships with technical and vocational
education and training (TVET) Colleges",Within AA/AO mandate Noting,2022/07/25,Once Off,Once Off,Reported
213,Q2 2022/23,New,2022/09/08,"Energy and Water Sector Education and Training
Authority (EWSETA)SETA",Subject matter expert -water & plumbing,Institute of plumbing SA,"R250 000,00",No three bids received after testing the markert,Within AA/AO mandate Noting,2022/08/11,2022/08/11,2023/03/31,Reported
214,Q2 2022/23,New,2022/09/08,"Energy and Water Sector Education and Training
Authority (EWSETA)SETA",Subject matter expert -water & plumbing,Enviro Metsi,"R250 000,00",No three bids received after testing the markert,Within AA/AO mandate Noting,2022/08/11,2022/08/11,2023/03/31,Reported
215,Q2 2022/23,New,2022/09/08,"Energy and Water Sector Education and Training
Authority (EWSETA)SETA",SANEA Annual Conference,The South African National Energy association,"R75 000,00","Participation/sponsoring the SANEA ""ignite-Energy for all"" conference as a risk report partner",Within AA/AO mandate Noting,2022/08/15,Once Off,Once Off,Reported
216,Q2 2022/23,New,2022/09/08,"Energy and Water Sector Education and Training
Authority (EWSETA)SETA",Engineering News,Creamer Media South Africa,"R191 457,00","Publishing in the Engineering News Magazine as an appropriate channel to reach the EWSETA’s broad
stakeholder base, as well as the sectors specific to the EWSETA",Within AA/AO mandate Noting,2022/08/19,Once Off,Once Off,Reported
217,Q2 2022/23,New,2022/09/08,"Energy and Water Sector Education and Training
Authority (EWSETA)SETA",Empowerwomen Silver Package,Empowaworx,"R115 000,00",Participation/sponsoring the EMPOWAWOMEN Summit as a Silver Partner sponsor,Within AA/AO mandate Noting,2022/08/23,Once Off,Once Off,Reported
218,Q2 2022/23,New,2022/09/08,"Energy and Water Sector Education and Training
Authority (EWSETA)SETA",Sponsorship-WISA Biennial Conference,Water institute of Southern Africa,"R365 000,00",Participation/sponsoring the WISA 2022 Biennial conference and exhibition as a skill development partner,Within AA/AO mandate Noting,2022/08/23,Once Off,Once Off,Reported
219,Q2 2022/23,New,2022/07/11,Eskom Holdings SOC Ltd,"Rrestoration of tower 395 of the 765kV Hydra
Perseus
1 Line where a single stay wire pulled off from the
ground",Edison Power PTY LTD,"R2 278 108,70",Procurement by other means,Noting,2022/07/11,2022/05/26,2022/09/30,Reported
220,Q2 2022/23,New,2022/09/12,"Export Credit Insurance Corporation of South Africa
SOC Ltd (ECIC)",CaseWare Licenses,Adapt IT (Pty) Ltd (Reg. No. 1996/006272/07),"R238 901,47",Three quotes exception as per policy,Within AA/AO mandate Noting,2022/07/01,2022/09/01,2025/08/31,Reported
221,Q2 2022/23,New,2022/09/12,"Export Credit Insurance Corporation of South Africa
SOC Ltd (ECIC)",Kaspersky Licenses,Protutis (Pty) Ltd (Reg. No.2007/000784/07),"R39 187,98",Three quotes exception as per policy,Within AA/AO mandate Noting,2022/07/06,TBC,TBC,Reported
222,Q2 2022/23,New,2022/09/12,"Export Credit Insurance Corporation of South Africa
SOC Ltd (ECIC)",Country Risk Subscription,"IHS Information & Insight (Pty) Ltd (Reg. No.
1994/007870/07)","R777 400,00",Three quotes exception as per policy,Within AA/AO mandate Noting,2022/07/06,2022/07/14,2023/07/13,Reported
223,Q2 2022/23,New,2022/09/12,"Export Credit Insurance Corporation of South Africa
SOC Ltd (ECIC)",Mimecast Licenses,"Dimension Data (Pty) Ltd (Reg. No.
1987/006597/07)","R50 936,75",Three quotes exception as per policy,Within AA/AO mandate Noting,2022/07/07,TBC,TBC,Reported
224,Q2 2022/23,New,2022/09/12,"Export Credit Insurance Corporation of South Africa
SOC Ltd (ECIC)",CCTV Storage upgrade,"Mowana Embryo Enterprise (Pty) Ltd (Reg. No.
2015/421661/07)","R41 400,00",Two quotes,Within AA/AO mandate Noting,2022/07/08,TBC,TBC,Reported
225,Q2 2022/23,New,2022/09/12,"Export Credit Insurance Corporation of South Africa
SOC Ltd (ECIC)","Maintenance of five (5) watercoolers for the period
of four (4) months",Servest (Pty) Ltd (1997/0063911/07),"R13 570,00",One quote,Within AA/AO mandate Noting,2022/07/08,TBC,TBC,Reported
226,Q2 2022/23,New,2022/09/12,"Export Credit Insurance Corporation of South Africa
SOC Ltd (ECIC)",Harassment in the workplace workshop,"Fasken t/a Bell Dewar Inc (Reg. No.
1995/004675/21)","R92 000,00",Two quotes,Within AA/AO mandate Noting,2022/07/21,TBC,TBC,Reported
227,Q2 2022/23,New,2022/09/12,"Export Credit Insurance Corporation of South Africa
SOC Ltd (ECIC)",CaseWare file,Adapt IT (Pty) Ltd (Reg.No.1996/006272/07),"R184 600,88",Sole source,Within AA/AO mandate Noting,2022/08/05,TBC,TBC,Reported
228,Q2 2022/23,New,2022/09/12,"Export Credit Insurance Corporation of South Africa
SOC Ltd (ECIC)",Catering for Strategic Session,"Fabulously Clean (Pty) Ltd (Reg. No.
2019/213894/07)","R19 550,00",Two quotes,Within AA/AO mandate Noting,2022/08/15,2022/08/16,2022/08/18,Reported
229,Q2 2022/23,New,2022/09/12,"Export Credit Insurance Corporation of South Africa
SOC Ltd (ECIC)","Provision for foreign exchange services for a period
of three years (re-issue)","Global Foreign Exchange Services (Pty) Ltd
(Reg.No.1999/027016/07)",Not indicated,One quote,Within AA/AO mandate Noting,2022/08/19,TBC,TBC,Reported
230,Q2 2022/23,New,2022/09/12,"Export Credit Insurance Corporation of South Africa
SOC Ltd (ECIC)",BountiXP 2023 Annual Subscription,BountiXP (Pty) Ltd (Reg. No. 2017/127781/07),"R66 240,00",Three quotes exception as per policy,Within AA/AO mandate Noting,2022/08/24,2022/09/01,2023/08/31,Reported
231,Q2 2022/23,New,2022/08/02,Film Publication Board,Procurement of Laptop,Afri Tech Systems,"R1 915 541,61",SITA Transversal,Within AA/AO,2022/04/07,Not indicated,Not indicated,Reported
232,Q2 2022/23,New,2022/08/10,"Finance and Accounting Services Sector Education
and Training Authority (Fasset)SETA",Events Management Company,Tosaca Media,"R410 000,00",Single source,Within AA/AO mandate Noting,2022/08/03,2022/08/06,2022/08/06,Reported
233,Q2 2022/23,New,2022/08/02,"Finance and Accounting Services Sector Education
and Training Authority (Fasset)SETA",Forensic Specialists,Nexia SAB&T,"R250 000,00",Single source,Within AA/AO mandate Noting,2022/07/21,2022/07/21,2022/07/24,Reported
234,Q2 2022/23,New,2022/07/18,Financial Intelligence Centre,"Support for the Compliance Monitoring and
Assessment Solution on a single source basis for a
period of twelve months from 1 July 2022 until 30
June 2023 based on the natural continuation of work
previously done",Altron Karabina,"R977 500,00",The solution will be required support the product developed,Within AA/AO,2022/07/06,Not indicated,Not indicated,Reported
235,Q2 2022/23,New,2022/07/18,Financial Intelligence Centre,"Request for approval for the renewal of Syspro
software solution license for a period of three years
on a sole source basis",Syspro (Pty) Ltd,"R272 126,75","The Syspro software solution has been in use at the FIC since 2005 with significant success and is
envisaged to be still used in the foreseeable future as it meets the FIC needs",Within AA/AO,2022/07/04,2022/11/01,2023/10/31,Reported
236,Q2 2022/23,New,2022/08/04,Financial Intelligence Centre,"Request for approval for the renewal of the
Microsoft enterprise license agreement through the
State Information Technology Agency for a period
of three years",Microsoft Ireland,"R15 275 379,00",######################################################################################,Within AA/AO,2022/07/25,2022/08/31,2025/08/30,Reported
237,Q2 2022/23,New,2022/08/04,Financial Intelligence Centre,"Request for approval to deviate from a normal
procurementprocess for the appointment of/or to
Instruct Norton Rose Fulbright law firm on a single
source basis, based on the natural continuation of
work previously done",Norton Rose Fulbrigh,"R400 000,00",For Byron O’Connor finalise outstanding matters,Within AA/AO,2022/07/22,Not indicated,Not indicated,Reported
238,Q2 2022/23,Ratification,2022/08/19,Financial Intelligence Centre,Advertising platforms,"PNET, Career Junction and Careers 24","R300 000,00",Business Contuity/Preferred supplier,Not Supported,2022/08/19,Not indicated,Not indicated,Not finalised
239,Q2 2022/23,New,2022/09/02,Financial Sector Conduct Authority,Risk Advisory Subscription Services,Gartner South Africa (Pty) Ltd,"R3 058 460,00",Single Source - License renewal,Within AA/AO,2022/08/18,Not indicated,Not indicated,Reported
240,Q2 2022/23,New,2022/09/02,Financial Sector Conduct Authority,"Money Smart Week South Africa (MSWSA)
Campaign Radio interviews","THE SOUTH AFRICAN BROADCASTING
CORPORATION (SABC)","R1 041 120,00",Single Source - Media House,Within AA/AO,2022/08/16,Not indicated,Not indicated,Reported
241,Q2 2022/23,New,2022/09/14,Financial Sector Conduct Authority,"PROVISION OF MANAGED BACKUP
MANAGEMENT SERVICES","Data Management Professionals South Africa (Pty)
Ltd",Not indicated,Limitted bidding. Only partners to OEM invited,Within AA/AO,2022/08/26,Not indicated,Not indicated,Reported
242,Q2 2022/23,New,2022/06/23,Freedom Park,Renewal of vernon licence,Rene Van Son Business,"R18 400,00",Sole Source,Within AA/AO mandate Noting,2022/06/02,2022/06/03,2022/06/03,Reported
243,Q2 2022/23,New,2022/06/23,Freedom Park,Career Expo,Nzalo Careers,"R23 000,00",Sole Source,Within AA/AO mandate Noting,2022/05/31,2022/05/31,2022/08/06,Reported
244,Q2 2022/23,New,2022/06/23,Freedom Park,Advertisement in asphire magazine,Pent Communication,"R29 950,00",Sole Source,Within AA/AO mandate Noting,2022/06/10,Once Off,Once Off,Reported
245,Q2 2022/23,New,2022/06/23,Freedom Park,Advertisement in D6 Communicator,D6 Group,"R20 000,00",Sole Source,Within AA/AO mandate Noting,2022/07/05,Once Off,Once Off,Reported
246,Q2 2022/23,New,2022/09/13,Gauteng Department of Social Development,"Procurement of a panel of contractors to provide
renovation works at the Department's buildings",Not stated,Not stated,Finalizing a tender process,Within AA/AO mandate Noting,2022/09/13,Not stated,Not stated,Reported
247,Q2 2022/23,New,2022/07/07,Government Pension Administration Agency,Training: Being a Director Part 5 for Management,INSTITUTE OF DIRECTORS,"R21 903,11",Recognised proffessional body for corporate governance,Within AA/AO,2022/06/07,Once delivery,Once delivery,Reported
248,Q2 2022/23,New,2022/07/07,Government Pension Administration Agency,ADVERT PLACEMENT,ARENA HOLDINGS (PTY) LTD,"R80 960,00","Preferred service provider, target audience within specific area",Within AA/AO,2022/06/17,Once delivery,Once delivery,Reported
249,Q2 2022/23,New,2022/07/07,Government Pension Administration Agency,PLACEMENT OF A NEWSPAPER ADVERT,MOOIVAAL MEDIA EDMS BPK,"R3 536,00","Preferred service provider, target audience within specific area",Within AA/AO,2022/06/17,Once delivery,Once delivery,Reported
250,Q2 2022/23,New,2022/07/07,Government Pension Administration Agency,PLACEMENT OF A NEWSPAPER ADVERT,CTP LIMITED T/A CAXTON NEWSPAPER WEST,"R6 829,16","Preferred service provider, target audience within specific area",Within AA/AO,2022/06/17,Once delivery,Once delivery,Reported
251,Q2 2022/23,New,2022/07/07,Government Pension Administration Agency,CSA Temps (x2) Contract Extension,ULTIMATE RECRUITMENT SOLUTIONS cc,"R113 939,02",Continuation of services,Within AA/AO,2022/06/28,2022/07/04,2022/09/02,Reported
252,Q2 2022/23,New,2022/07/07,Government Pension Administration Agency,CSA Temps (x5) Contract Extension,TELERESOURCES (PTY) LTD,"R284 847,50",Continuation of services,Within AA/AO,2022/06/28,2022/07/04,2022/09/02,Reported
253,Q2 2022/23,New,2022/07/07,Government Pension Administration Agency,CSA Temps (x3) Contract Extension,ISILUMKO STAFFING (PTY) LTD,"R170 908,50",Continuation of services,Within AA/AO,2022/06/28,2022/07/04,2022/09/02,Reported
254,Q2 2022/23,New,2022/07/07,Government Pension Administration Agency,CSA Temps (x4) Contract Extension,FEMPOWER PERSONNEL Pty Ltd,"R227 878,00",Continuation of services,Within AA/AO,2022/06/28,2022/07/04,2022/09/02,Reported
255,Q2 2022/23,New,2022/08/05,Government Pensions Administration Agency,"Provision of Security Services at Port Elizabeth,
Mthatha and Bhisho Offices for period of four
months",PEULOANE,"R1 167 434,48","Preferred service provider, continuation of services whilst the tender process is underway",Within AA/AO,28/07/2022,2022/01/08,30/11/2022,Reported
256,Q2 2022/23,New,2022/08/05,Government Pensions Administration Agency,"Provision of Security Services at Head Office and
Travenna Offices for period of four months",PEULOANE,"R5 243 000,84","Preferred service provider, continuation of services whilst the tender process is underway",Within AA/AO,28/07/2022,2022/01/08,30/11/2022,Reported
257,Q2 2022/23,New,2022/08/05,Government Pensions Administration Agency,"Provision of Security Services at
Bloemfontein,Kimberly and Phuthaditjaba Offices for
period of four months",PEULOANE,"R1 105 647,12","Preferred service provider, continuation of services whilst the tender process is underway",Within AA/AO,28/07/2022,2022/01/08,30/11/2022,Reported
258,Q2 2022/23,New,2022/07/26,Government Printing Works,Multipurpose Shrink Film,Trempak Trading,"R9 407,92",Sole supplier,Within AA/AO,2022/07/04,Not indicated,Not indicated,Reported
259,Q2 2022/23,New,2022/07/26,Government Printing Works,807813-101 Encoder optical 256 CPR,Altron Fintech ACS,"R19 044,00",Sole supplier,Within AA/AO,2022/07/04,Not indicated,Not indicated,Reported
260,Q2 2022/23,New,2022/07/26,Government Printing Works,"CMC line 1, 2 and 3: Video Jet Wax Ribbon",Pitney Bowes Batsumi Enterprises,"R204 700,00",Sole supplier,Within AA/AO,2022/07/04,Not indicated,Not indicated,Reported
261,Q2 2022/23,New,2022/07/26,Government Printing Works,DG Vision Press Plates 24 inch 647x510,Fujifilm South Africa,"R9 906,26",Sole supplier,Within AA/AO,2022/07/04,Not indicated,Not indicated,Reported
262,Q2 2022/23,New,2022/07/26,Government Printing Works,Ink Colour Stream 3000: Magenta,Canon,"R136 945,13",Sole supplier,Within AA/AO,2022/07/04,Not indicated,Not indicated,Reported
263,Q2 2022/23,New,2022/07/26,Government Printing Works,Pin Dowel SST TSR,Altron Fintech ACS,"R132,00",Sole supplier,Within AA/AO,2022/07/04,Not indicated,Not indicated,Reported
264,Q2 2022/23,New,2022/07/26,Government Printing Works,56972-001 Mount Gear Cluster,Altron Fintech ACS,"R1 877,95",Sole supplier,Within AA/AO,2022/07/04,Not indicated,Not indicated,Reported
265,Q2 2022/23,New,2022/07/26,Government Printing Works,SEC 319 Offset pantone,SICPA,"R27 438,89",Sole supplier,Within AA/AO,2022/07/04,Not indicated,Not indicated,Reported
266,Q2 2022/23,New,2022/07/26,Government Printing Works,"IDC MX76, Roller, Letter & A4, 554609-001",Altron Fintech ACS,"R32 234,50",Sole supplier,Within AA/AO,2022/07/04,Not indicated,Not indicated,Reported
267,Q2 2022/23,New,2022/07/26,Government Printing Works,56972-001 Mount Gear Cluster,Altron Fintech ACS,"R1 877,95",Sole supplier,Within AA/AO,2022/07/04,Not indicated,Not indicated,Reported
268,Q2 2022/23,New,2022/07/26,Government Printing Works,SEC 319 Offset pantone,SICPA,"R27 438,89",Sole supplier,Within AA/AO,2022/07/04,Not indicated,Not indicated,Reported
269,Q2 2022/23,New,2022/07/26,Government Printing Works,"IDC MX76, Roller, Letter & A4, 554609-001",Altron Fintech ACS,"R32 234,50",Sole supplier,Within AA/AO,2022/07/04,Not indicated,Not indicated,Reported
270,Q2 2022/23,New,2022/07/26,Government Printing Works,807813-101 Encoder optical 256 CPR,Altron Fintech ACS,"R19 044,00",Sole supplier,Within AA/AO,2022/07/04,Not indicated,Not indicated,Reported
271,Q2 2022/23,New,2022/07/26,Government Printing Works,"CMC line 1, 2 and 3: Video Jet Wax Ribbon",Pitney Bowes Batsumi Enterprises,"R204 700,00",Sole supplier,Within AA/AO,2022/07/04,Not indicated,Not indicated,Reported
272,Q2 2022/23,New,2022/07/26,Government Printing Works,DG Vision Press Plates 24 inch 647x510,Fujifilm South Africa,"R9 906,26",Sole supplier,Within AA/AO,2022/07/04,Not indicated,Not indicated,Reported
273,Q2 2022/23,New,2022/07/26,Government Printing Works,Ink Colour Stream 3000: Magenta,Canon,"R136 945,13",Sole supplier,Within AA/AO,2022/07/04,Not indicated,Not indicated,Reported
274,Q2 2022/23,New,2022/07/26,Government Printing Works,Pin Dowel SST TSR,Altron Fintech ACS,"R132,00",Sole supplier,Within AA/AO,2022/07/04,Not indicated,Not indicated,Reported
275,Q2 2022/23,New,2022/07/26,Government Printing Works,56972-001 Mount Gear Cluster,Altron Fintech ACS,"R1 877,95",Sole supplier,Within AA/AO,2022/07/04,Not indicated,Not indicated,Reported
276,Q2 2022/23,New,2022/07/26,Government Printing Works,SEC 319 Offset pantone,SICPA,"R27 438,89",Sole supplier,Within AA/AO,2022/07/04,Not indicated,Not indicated,Reported
277,Q2 2022/23,New,2022/07/26,Government Printing Works,"IDC MX76, Leadsrew horizontal",Altron Fintech ACS,"R90 562,50",Sole supplier,Within AA/AO,2022/07/04,Not indicated,Not indicated,Reported
278,Q2 2022/23,New,2022/07/26,Government Printing Works,2411000330 Festo 197583 Sound Muffler,Muehlbauer ID Services GmbH,"R5 995,80",Sole supplier,Within AA/AO,2022/07/04,Not indicated,Not indicated,Reported
279,Q2 2022/23,New,2022/07/26,Government Printing Works,Plastic Bag forming glue,Pitney Bowes Batsumi Enterprises,"R28 341,47",Sole supplier,Within AA/AO,2022/07/04,Not indicated,Not indicated,Reported
280,Q2 2022/23,New,2022/07/26,Government Printing Works,"572219-001 Motor assy servo 340VDC 1000 CPR
encider",Altron Fintech ACS,"R438 071,80",Sole supplier,Within AA/AO,2022/07/04,Not indicated,Not indicated,Reported
281,Q2 2022/23,New,2022/07/26,Government Printing Works,808208-208 Oin Dowel SST 0939 X 50,Altron Fintech ACS,"R115,00",Sole supplier,Within AA/AO,2022/07/04,Not indicated,Not indicated,Reported
282,Q2 2022/23,New,2022/07/26,Government Printing Works,800200-636 Screw Cap SOC 25-20X2.25,Altron Fintech ACS,"R43,70",Sole supplier,Within AA/AO,2022/07/04,Not indicated,Not indicated,Reported
283,Q2 2022/23,New,2022/07/26,Government Printing Works,56773-001 Shaft Idler Cluster,Altron Fintech ACS,"R266,80",Sole supplier,Within AA/AO,2022/07/04,Not indicated,Not indicated,Reported
