5.5.1 GOVERNANCE MONITORING AND COMPLIANCE: 2023/2024 QUARTER 1 REPORT DEVIATIONS,,,,,,,,,,,,,
DEVIATIONS REPORT,,,,,,,,,,,,,
Number,Period / Quarter,"Rollover / New
(Use dropdown List)","Date Received By GMC
(yyyy/mm/dd)","Entity/Department
(Use dropdown List)",Project Description,Supplier / Service Provider,"Value of Deviation
(R)","Reason for Deviation
(Use dropdown List)","Supported/Not
Supported/Noting
(Use dropdown List)","Award/recommended by AO/ AA
date
(yyyy/mm/dd)","Contract start date
(yyyy/mm/dd)",Contract expiry (yyyy/mm/dd),"Status
(Use dropdown List)"
298,Q1 2023/24,New,2023/05/26,Railway Safety Regulator (RSR),Ethics Officer Certification Training,The Ethics Institute,R71 900.00,"Training - The Ethics Institute is the sole training provider which offers the ethics officer
certification program/course. The program will be attended by two (2) RSR employees.",Noting,2023/05/06,Not Stated,Not Stated,Reported
299,Q1 2023/24,New,2023/05/25,Road Traffic Infringement Agency (RTIA),Legal opinion on rationalisation of DOT entities,MNS Attorneys,R500 000.00,Business continuity as the service provider rendered the service before,Noting,2023/04/26,2023/05/01,2023/05/30,Reported
300,Q1 2023/24,New,2023/05/24,Road Accident Fund (RAF),Gala Dinner,Gallagher Convention Centre,R668 202.90,Single Source services provider,Noting,2023/04/26,2023/04/01,2023/10/31,Reported
301,Q1 2023/24,New,2023/04/26,Road Accident Fund (RAF),Menlyn Parking Space,Excellerate Services,R995 610.90,Single Source services provider,Noting,2023/04/26,2023/04/28,Not Stated,Reported
302,Q1 2023/24,New,2023/04/26,Road Accident Fund (RAF),Internet Security Gateway and Support,Lucidview (Pty) Ltd,R535 394.00,Single Source services provider,Noting,2023/04/26,2023/04/01,2024/03/31,Reported
303,Q1 2023/24,New,2023/04/26,Road Accident Fund (RAF),Loading of Franking Machine,Early Worx 282(Pty) Ltd,R100 000.00,Single Source services provider,Noting,2023/04/26,2023/04/01,2024/03/31,Reported
304,Q1 2023/24,New,2023/04/26,Road Accident Fund (RAF),Annual Maintenance,Early Worx 282(Pty) Ltd,R5 865.10,Single Source services provider,Noting,2023/04/26,2023/04/01,2024/03/31,Reported
305,Q1 2023/24,New,2023/05/29,"Department of Mineral Resources and Energy
(DMRE)","Appointment of a service provider to develop, enhance, maintain and support
services from Magix, Magic 9.4 (PPALS, Samindex and MHS) for a period of
eighteen months (18) months.",Magic Software South Africa,R7 710 060.00,"Single Source Procurement - Service delivery continuity, while the Department
is awaiting SITA to procure integrated licencing system and productivity in its
behalf.",Noting,2023/01/26,,,Reported
306,Q1 2023/24,New,2023/05/31,Council for Geoscience (CGS),Request for service provider to provide Tsunami Source Modelling Services,"WSP USA Environment and
Infrastructure Inc",R4 754 995.00,Preferred Supplier,Noting,29/5/2023,Not Stated,Not Stated,Reported
307,Q1 2023/24,New,2023/05/31,Council for Geoscience (CGS),Request for the service provider to provide wave propagation modelling services,"PRDW Consulting Port and Coastal
Engineers",R4 715 000.00,Preferred Supplier,Noting,2023/05/29,Not Stated,Not Stated,Reported
308,Q1 2023/24,New,2023/05/31,National Agricultural Marketing Council (NAMC),Continuation of Statutory measures on Pecan Nuts,Government Printing Works,R1 513.20,Preferred Supplier,Noting,2023/05/29,2023/05/11,2023/05/31,Reported
309,Q1 2023/24,New,2023/05/31,National Agricultural Marketing Council (NAMC),"Printing- Implementation of a statutory measure in the Deciduous Fruit Industry into
MPA act",Government Printing Works,R4 035.12,Preferred Supplier,Noting,2023/05/29,2023/05/11,2023/05/31,Reported
310,Q1 2023/24,New,2023/05/31,National Agricultural Marketing Council (NAMC),"Printing-Breeding levy on Wheat,Barley and Oats",Government Printing Works,R8 070.40,Preferred Supplier,Noting,2023/05/29,2023/05/11,2023/05/31,Reported
311,Q1 2023/24,New,2023/05/31,National Agricultural Marketing Council (NAMC),Printing -Breeding levy on Lupines,Government Printing Works,R9 079.20,Preferred Supplier,Noting,2023/05/29,2023/05/11,2023/05/31,Reported
312,Q1 2023/24,New,2023/05/31,National Agricultural Marketing Council (NAMC),Auctioning of a property,Riley Auctioneers (Pty) Ltd,R35 000.00,"Deviating from the standard scm procurement process of getting minimum three (3)
quotes and utilize one (1) quote received, due to not getting three (3) quotes though the
RFQ was issued three (3) times.",Noting,2023/05/29,2023/06/01,2023/12/31,Reported
313,Q1 2023/24,New,2023/05/31,Central Energy Fund SOC Ltd (CEF),LP Gass pricing,Argus Media Ltd,R5 646 400.00,Preferred Supplier,Noting,2023/05/31,2023/08/01,2026/06/30,Reported
314,Q1 2023/24,New,2023/05/31,National Agricultural Marketing Council (NAMC),Membership renewal,SA Board for People Practices,R3 200.00,Membership Fees,Noting,2023/05/29,2023/05/25,2023/05/24,Reported
315,Q1 2023/24,New,2023/06/02,Road Traffic Infringement Agency (RTIA),Provision of call centre system and telephone services,Telkom,R90 000.00,Business continuity as the service provider rendered the service before,Noting,2023/04/01,2023/04/01,2023/05/30,Reported
316,Q1 2023/24,New,2023/05/31,South African Maritime Safety Authority (SAMSA),Replacement of fuel rail on Ellen Khuzwayo,Rolls Royce Solution,R238 142.09,Sole source,Noting,2023/05/31,2023/04/28,3023/05/03,Reported
317,Q1 2023/24,New,2023/05/31,South African Maritime Safety Authority (SAMSA),"Additional work to PO 10016981, servicing for overhaul of the AC alternator on Africana",Electra Rewinding,R148 223.50,Exceptional Case,Noting,2023/05/31,2023/05/15,2023/05/17,Reported
318,Q1 2023/24,New,2023/05/31,South African Maritime Safety Authority (SAMSA),Troubleshoot and repair outboard engine on Africana,SA Cape Marine,R135 396.26,Exceptional Case,Noting,2023/05/31,2023/05/17,2023/05/19,Reported
319,Q1 2023/24,New,2023/05/31,South African Maritime Safety Authority (SAMSA),Repairs on port engine starting fault on Sarah Baartman,Hiotek,R23 460.00,Exceptional Case,Noting,2023/05/31,2023/05/17,2023/05/19,Reported
320,Q1 2023/24,New,2023/05/31,South African Maritime Safety Authority (SAMSA),"Additional work to AFCN RFQ 6202 - DC Generator heat exchangers overhaul on
Africana",Cape Armature Winders,R78 349.50,Exceptional Case,Noting,2023/05/31,2023/05/17,2023/05/19,Reported
321,Q1 2023/24,New,2023/05/31,South African Maritime Safety Authority (SAMSA),Upgrading of power management system on Victoria Mxenge,Kaltron Electrical Engineering,R259 036.96,Sole Provider,Noting,2023/05/31,2023/05/26,2023/05/30,Reported
322,Q1 2023/24,New,2023/05/31,South African Maritime Safety Authority (SAMSA),Install and supply EK 80 equipment on Africana,MRAD,R4 293 330.65,Sole Provider,Noting,2023/05/31,2023/05/31,2023/06/02,Reported
323,Q1 2023/24,New,2023/06/08,Road Traffic Management Corporation (RTMC),Provision of physical security services,Makheda Security,R3 254 640.00,"Using quotation process for a tender threshold procurement due to bid being non-
responsive",Noting,2023/05/31,2023/06/01,2023/09/30,Reported
324,Q1 2023/24,New,2023/06/12,Council for Geoscience (CGS),"Request to approve a single-source procurement process to appoint a service
provider to provide the CGS with PPE",Cape Union Mart,R3 000 000.00,Preferred Supplier,Noting,2023/06/09,Not Stated,Not Stated,Reported
325,Q1 2023/24,New,2023/06/12,"South African Health Products Regulatory Authority
(SAPHRA)",Sole source procurement for conference meeting,Conference Management 10,R18 240.00,Sole source,Noting,2023/05/31,Not Stated,Not Stated,Reported
326,Q1 2023/24,New,2023/06/15,South African Maritime Safety Authority (SAMSA),Ecdis course for a crew member on Africana,SAMTRA,R10 948.00,Exceptional Case,Noting,2023/06/14,2023/06/01,2023/06/05,Reported
327,Q1 2023/24,New,2023/06/15,South African Maritime Safety Authority (SAMSA),Mtu to set up pitch propeller creep on Lilian Ngoyi,MTU,R5 553.93,Sole Provider,Noting,2023/06/14,2023/06/02,2023/06/05,Reported
328,Q1 2023/24,New,2023/06/15,South African Maritime Safety Authority (SAMSA),Drager repairs on Africana,Drager South Africa,R30 381.64,Sole Provider,Noting,2023/06/14,2023/06/01,2023/06/05,Reported
329,Q1 2023/24,New,2023/06/15,South African Maritime Safety Authority (SAMSA),Naval Artichecture and inclining experiment on Africana,Triton,R312 633.25,Exceptional Case,Noting,2023/06/14,2023/06/01,2023/06/05,Reported
330,Q1 2023/24,New,2023/06/15,South African Maritime Safety Authority (SAMSA),Fault finding the earth fault on the 24 volts system and repairs on Victoria Mxenge,Hiotek,R5 980.00,Exceptional Case,Noting,2023/06/14,2023/06/05,2023/06/08,Reported
331,Q1 2023/24,New,2023/06/15,South African Maritime Safety Authority (SAMSA),Repair cooling water leak into the oil sump on Victoria Mxenge,Brink Diesel,R247 460.44,Exceptional Case,Noting,2023/06/14,2023/06/05,2023/06/08,Reported
332,Q1 2023/24,New,2023/06/15,South African Maritime Safety Authority (SAMSA),Security awareness course for a crew member on Africana,SAMTRA,R1 363.00,Exceptional Case,Noting,2023/06/14,2023/06/12,2023/06/08,Reported
333,Q1 2023/24,New,2023/06/15,South African Maritime Safety Authority (SAMSA),Upgrade of EK60 Scientific System to EK80 model on Africana,MRAD,R4 293 330.65,Sole Provider,Noting,2023/06/14,2023/06/01,2023/06/01,Reported
334,Q1 2023/24,New,2023/06/09,"Inkomati-Usuthu Catchment Management Agency
(IUCMA)","Provision Of Specialised Software Support For Dhi Mike Customised Software
Package Subscription And Maintatance For Dhi Dss And Model Upgrades And
Improvements On An As And Whed Required Basis For A Period Of Thirty Six (36)
Months.",Ekosource Insight Pty (Ltd),"R1,498,655.60",Sole Supplier,Noting,2023/05/24,2023/06/01,2023/05/31,Reported
335,Q1 2023/24,New,2023/06/09,"Inkomati-Usuthu Catchment Management Agency
(IUCMA)","Provide Wremp Modelling Software Package Subscription And Maintenance, As Well
As For Model Upgrades And Improvements On An As And When Required Basis For
The Period",IWR Water Resources Pty (Ltd),"R1,401,562.50",Sole Supplier,Noting,2023/05/24,2023/06/01,2023/05/31,Reported
336,Q1 2023/24,New,2023/06/08,Mining Qualifications Authority (MQA)SETA,"Renewal of Supply Chain Management system (iQual.Net) license and maintanance
agreement.",Predicate Logistics,R93 834.60,Sole provider,Noting,2023/06/02,2023/06/02,2024/05/31,Reported
337,Q1 2023/24,New,2023/03/16,Statistics South Africa,Gartner Software licences,SITA,R7 110 726.00,Sole source,Noting,2023/03/01,2023/3/1,2026/02/28,Reported
338,Q1 2023/24,New,2023/03/17,Home Affairs,"Request for approval for deviation from the normal supply chain management process
for the procurement of immigration services uniform.",FG Uniforms cc,R6 564 223.00,"To allow for a new open tender process of RT contract to be finalised in order for the
Department to participate.",Noting,2023/03/16,Once-off delivery,Once-off delivery,Reported
339,Q1 2023/24,New,2023/03/30,Independent Regulatory Board for Auditors,Legal proces development,Flowcentric,R565 607.86,Sole source,Noting,2023/03/23,2023/03/23,Once Off,Reported
340,Q1 2023/24,New,2023/03/30,Independent Regulatory Board for Auditors,Updae on annual individual renewal process,Thoughtcorp,R12 290.63,Single Source,Noting,2023/03/08,2023/03/08,Once Off,Reported
341,Q1 2023/24,New,2023/03/30,National Treasury,"Deviation from National Treasury cost containment circular and procurement of soft
drinks while hosting the Internal Audit support unit's information sharing session - 28
March 2023",The Luncheon Eatery,R24 293.75,"The DBSA is the only suitable venue for the number officials and delegates who will
attend the IAS Internal Audit knowledge sharing session.
There is no cost attached to the use of the conference facilities; and the DBSA does not
allow external providers to provide catering services as this would be in direct
competition with their own provider.",Noting,2023/03/17,N/A,N/A,Reported
342,Q1 2023/24,New,2023/03/30,National Treasury,Request approval for accepting quote for repairs to Boipuso Modise’s HP Zbook,HP,R9 258.65,"The keyboard and mousepad had moisture detected in it and hence the warranty did not
cover this damage the laptop is repaired as the official must carry an external keyboard
and mouse to use her laptop",Noting,2023/03/16,N/A,N/A,Reported
343,Q1 2023/24,New,2023/03/30,National Treasury,"Request that the Acting Director-General grant approval to deviate from the normal
procurement process for the renewal of the Bloomber terminal services for another
three years from (1 January 2023 - 31 December 2025)",Bloomberg,R399 490.62,Sole Service Provider,Noting,2023/01/16,2023/01/16,2025/12/31,Reported
344,Q1 2023/24,New,2023/03/30,National Treasury,"Renewal of Annual Licenses for WebFOCUS Software for the Local Governmnet
Database and Reporting System (LGDRS)",InfoBuild,R3 475 040.27,Sole Service Provider,Noting,2023/01/26,2023/01/30,2026/12/30,Reported
345,Q1 2023/24,New,2023/04/04,Sasria Limited,Renewal of Lease Agreement,GrowthPoint Properties (Pty) Ltd,R26 654 321.32,"A decision was made to renew the agreement for a further five years from 1 April 2023
to 31 March 2028 as the building was still meeting our operational needs.",Noting,2023/03/27,2023/04/01,2028/03/31,Reported
346,Q1 2023/24,New,2023/04/13,"Department of Communications and Digital
Technologies",Hosting and support for the cyber security hub,CSIR,R7 275 647.50,Single Source,Noting,2023/04/01,2022/03/31,2022/03/31,Reported
347,Q1 2023/24,New,2023/04/14,"Independent Communications Authority of South
Africa",Licensing Certificates,Government Prinitng Works,R143 175.00,Ensuring security certificates features are not open to public to copy,Noting,2023/04/03,2023/04/03,2023/04/03,Reported
348,Q1 2023/24,New,2023/04/14,"Independent Communications Authority of South
Africa",Licensing Certificates,Government Prinitng Works,R46 000.00,Ensuring security certificates features are not open to public to copy,Noting,2023/03/29,2023/03/29,2023/03/29,Reported
349,Q1 2023/24,New,2023/04/14,"Independent Communications Authority of South
Africa","To develop a Discussion Document proposing a Framework for Dynamic
Spectrum Access and Opportunistic Spectrum Management for a period of
twelve (12) months",CSIR,R1 150 000.00,"The Authority initiated the first phase of the project by commissioning the Reference
Geolocation Spectrum Database (R-GLSD) in March 2019. The R-GLSD was
developed, implemented, hosted and managed by CSIR for a period of three years. The
R-GLSD gold was migrated onto Authority’s IT Platform and the CSIR currently assisting
with system support and maintenance",Noting,2023/03/15,2023/03/15,2024/03/14,Reported
350,Q1 2023/24,New,2023/04/17,Independent Electoral Commission,Oracle software maintenance and technical support licenses,Oracle Corp SA Pty Ltd,R2 810 762.46,OEM,Noting,2023/01/30,2023/02/02,2024/02/01,Reported
351,Q1 2023/24,New,2023/04/19,National Treasury,"Requset for a deviation from procurement and supply chain processes to appoint an
administrator and support team to the Enoch Mgijima Local Municipality on an urgent
basis",Enoch Mgijima Local Municipality,R2 000 000.00,"It is considered impractical at this point to enter into a competitive bidding process given
that the dissolution of council is only for a period of 90 days. Following the normal
procurement processes wil utilise a significant portion of the 90-day period and thus
reduce the window of the opportunity available to implement the financial recovery plan.",Noting,2023/04/04,Not indicated,Not indicated,Reported
352,Q1 2023/24,New,2023/04/19,South African Revenue Service,Provision of mooring facility for 2x Sars boats for a period of 5x years.,Durban Marina,R431 684.04,Impracticality,Noting,2023/03/29,2023/01/04,2028/03/30,Reported
353,Q1 2023/24,New,2023/04/24,Independent Regulatory Board for Auditors,Procurement of eBook manual accounting IFRS book,Discount text book,R5 450.00,Unable to obtain three quotes,Noting,2024/04/13,Not indicated,Not indicated,Reported
354,Q1 2023/24,New,2023/04/26,Financial Intelligence Centre,"Request to deviate from the normal bidding process to enter into a lease agreement
with the current landlord, Centurion Vision Development (Pty) Ltd, for the period 1
August 2023 to 30 November 2033 on a single source basis",Centurion Vision Development (Pty) Ltd,R469 599 901.40,"Over the last 10 years, the FIC has invested over R43 million in installation, set-up
costs and security improvements at Byl’s
Bridge Office Park, to ensure that the premises comply with the FIC’s mandate and
requirements. It will not only be impractical but also not cost effective for the FIC to make
use of any of the other service providers, given the associated costs.",Noting,2023/04/17,2023/08/01,2033/11/30,Reported
355,Q1 2023/24,New,2023/04/26,,"Request to deviate from the normal procurement process for the re-appointment of
Deltalink Consulting CC contract on a single source basis for a period from 1 April
2023 until 31 March 2026",Deltalink Consulting CC,R806 351.00,"The FIC has invested significant resources in the ABBYY FlexiCapture and ABBYY
FineReader software, templates and hardware sourced and maintained by Deltalink
Consulting CC.The sensitivity and security requirements around the FIC’s data,
also makes it impractical to embark on a normal competitive process, as it may put
sensitive information at risk. This may have devastating reputational concerns for the
FIC.",,2023/03/14,2023/04/01,2026/03/31,Reported
356,Q1 2023/24,New,2023/04/26,SASRIA SOC LIMITED,The supply of vehicle value and verification webservices on a Sole Source basis,"TransUnion Auto Information
Solutions (Pty) Ltd",R393 225.24,"The Claims department is currently using Claims Management System (Guidewire
solution) which
integrates with TransUnion system to provide the business with vehicle retail values and
vehicle
verification details.
TransUnion Auto Solutions (Pty) Ltd is the sole distributor and trademark owner of the
M&M vehicle retail values and HPI/verification codes.",Noting,2023/04/21 To b,e confirmed (contract in re,Tvoie bwe) confirmed (contract in review,")
Reported"
357,Q1 2023/24,New,2023/05/03,Financial Intelligence Centre,"Request to contract new items including licences for Power BI premimum, Azure
virtual desktop services and Azure Sentinel services in terms of the Microsoft
enterprise agreement for Aazure services for a period of three years",Microsoft Ireland Operations Limited,R7 668 000.00,DPSA directive,Noting,2023/04/21,2023/04/26,2026/04/25,Reported
358,Q1 2023/24,New,2023/05/03,Financial Intelligence Centre,"Request to deviate from the normal bidding process to enter into a lease agreement
with the current landlord, Centurion Vision Development (Pty) Ltd, for the period 1
August 2023 to 30 November 2033 on a single source basis",Centurion Vision Development (Pty) Ltd,R469 599 901.40,"Over the last 10 years, the FIC has invested over R43 million in installation, set-up
costs and security improvements at Byl’s
Bridge Office Park, to ensure that the premises comply with the FIC’s mandate and
requirements. It will not only be impractical but also not cost effective for the FIC to make
use of any of the other service providers, given the associated costs.",Noting,2023/04/17,2023/08/01,2033/11/30,Reported
359,Q1 2023/24,New,2023/05/03,Financial Intelligence Centre,"Request to deviate from the normal procurement process for the re-appointment of
Deltalink Consulting CC contract on a single source basis for a period from 1 April
2023 until 31 March 2026",Deltalink Consulting CC,R806 351.00,"The FIC has invested significant resources in the ABBYY FlexiCapture and ABBYY
FineReader software, templates and hardware sourced and maintained by Deltalink
Consulting CC.The sensitivity and security requirements around the FIC’s data,
also makes it impractical to embark on a normal competitive process, as it may put
sensitive information at risk. This may have devastating reputational concerns for the
FIC.",Noting,2023/03/14,2023/04/01,2026/03/31,Reported
360,Q1 2023/24,New,2023/05/04,State Information Technology Agency,"Procurement of CISCO routers, switches, servers and network modules for SITA
Eastern Cape Office of the Premier (ECOTP).","Storage Technology Services (Pty) Ltd
T/A Nexio",R1 938 884.57,"The solution will help improve network services at the EC OTP. The existing ICT
infrastructure at the Office of The Premier is old and they have been experiencing
network problems.",Noting,2022/11/17,Once-off,Once-off,Reported
361,Q1 2023/24,New,2023/05/04,State Information Technology Agency,"Extension of operating lease agreemen for SITA Western Cape Office for a period of
24 months","Black River Park Investments (Pty) Ltd,",R21 530 265.82,To allow for the relocation of the Data Centre,Noting,2022/11/29,2022/12/01,2024/11/30,Reported
362,Q1 2023/24,New,2023/05/04,State Information Technology Agency,"Emergency procurement for trauma debriefing and counselling sessions for bereaved
family member(s)",Life Health Solutions,R50 504.55,The procurement process to appoint a service provider is underway.,Noting,2023/01/17,Once-off,Once-off,Reported
363,Q1 2023/24,New,2023/05/04,State Information Technology Agency,"Request to procure IBM Z16 A01 miantframe solution for the production system at
DoD Primary Data Centre including maintenance and support for a period three years",IBM South Africa,R77 539 044.67,Sole source.,Noting,2023/02/06,2023/03/06,2026/03/06,Reported
364,Q1 2023/24,New,2023/05/04,State Information Technology Agency,"Appointment of Cyber1 Solutions to supply Darktrace Network Detection and
response tool On-Premise NDR licences and maintenance and support Department
of Defence (DoD) for twelve months",Cyber1 Solutions,R7 685 496.00,Security threat,Noting,2023/01/27,2023/03/01,2024/02/28,Reported
365,Q1 2023/24,New,2023/05/04,State Information Technology Agency,"The renewal of Voyager Netz software licences for Department of Defence (DoD) for
a period of three years",Microworks Enterprise (PTY) LTD,R3 038 782.81,Sole source - Original Software Manufacture,Noting,2023/03/16,2023/04/01,2026/03/31,Reported
366,Q1 2023/24,New,2023/05/04,State Information Technology Agency,"Renewal of Symantec License software for a period of one (1) year on behalf of
Northern Cape Government, Office of the Premier","DFA Solutions
Pty Ltd",R567 525.00,"To adress Disaster Recovery requirements and ensure that risk associated with data
loss is minimised.",Noting,2023/03/16,2023/03/24,2024/03/01,Reported
367,Q1 2023/24,New,2023/05/04,State Information Technology Agency,"Request for a single source appointment of Telkom SA SOC Limited for all existing
Telkom access links lines connectivity for various government departments for a
period of eighteen (18) months",Telkom SA SOC Limited,R504 047 325.65,The existing infrastructure is from Telkom.,Noting,2022/12/14,2023/03/09,2024/09/08,Reported
368,Q1 2023/24,New,2023/05/05,Public Service and Administration,"Request for a single source appointment of Telkom SA SOC Limited for all existing
Telkom access links lines connectivity for various government departments for a
period of eighteen (18) months",VNQ Solutions(Pty) Ltd,R1 272 751.00,"VNQ Systems is the Sole Certified and Qualified Technical Partner in South Africa for
the SEDCO Customer Visit Management (CVM) Products and Solutions as installed at
the Thusong Service Centre located at Maponya Mall in Soweto.",Noting,2023/04/23,2023/01/04,2023/05/31,Reported
369,Q1 2023/24,New,2023/05/09,National Treasury,"Requet for a deviation from procurement and supply chain processes to appoint an
administrator and support team to the Enoch Mgijima Local Municipality on an urgent
basis",Triple Helix,R2 000 000.00,"It is considered impractical at this point to enter into a competitive bidding process given
that the dissolution of council is only for a period of 90 days. Following the normal
procurement processes wil utilise a significant portion of the 90-day period and thus
reduce the window of the opportunity available to implement the financial recovery plan.",Noting,2023/04/21,N/A,N/A,Reported
370,Q1 2023/24,New,2023/05/09,National Treasury,Appointment of a supplier for customs clearance,UPS,R21 135.13,"There is a requirement to pay for custom clearance before UPS releases the order.
This request is for the appoinment of the logistic company UPS for custom clearance in
order to release the order for delivery to National Treasury.",Noting,2023/05/02,N/A,N/A,Reported
371,Q1 2023/24,New,2023/05/09,National Treasury,"RFQ086-2023: Request to appoint service provider where minimum of three
quotations were not received for the LSE Business, International Relations and the
Political Economy course",Getsmarter,R89 795.00,"Due to the urgency of the requested service, SCM could not re-issue the RFQ to the
market for the third time. The service provider were unable to send the quotation to SCM
and requested the learners to register and generate individual quotes through their
system",Noting,2023/05/02,N/A,N/A,Reported
372,Q1 2023/24,New,2023/05/10,Government Communication & Information System,Training,University of Cape Town,R5 830.00,Single Source,Noting,2023/04/03,2023/04/04,2024/04/15,Reported
373,Q1 2023/24,New,2023/05/10,Government Communication & Information System,Training,University of Cape Town,R5 830.00,Single Source,Noting,2023/04/03,2023/04/04,2024/02/16,Reported
374,Q1 2023/24,New,2023/05/10,Government Communication & Information System,Renewal of licence,"Wolters Kluwer tax & accounting
Wolters",R894 523.87,Sole Service Provider,Noting,2023/04/17,2023/04/18,2026/04/17,Reported
375,Q1 2023/24,New,2023/05/10,Government Communication & Information System,Training,"Public sector accountancy and audit
academy",R51 599.00,Single Source,Noting,2023/04/21,2023/04/22,2023/04/23,Reported
376,Q1 2023/24,New,2023/05/10,Government Communication & Information System,office chiars,Ergo theraphy solutions,R9 976.26,Sole Service Provider,Noting,2023/04/21,2023/04/22,2023/04/23,Reported
377,Q1 2023/24,New,2023/05/10,Government Communication & Information System,Membership fees,"South African Insitute of Electrical
engineers",R3 013.00,Single Source,Noting,2023/04/24,2023/04/25,2023/04/26,Reported
378,Q1 2023/24,New,2023/05/10,Government Communication & Information System,Membership fees,The institute of directos South Africa,R3 760.00,Single Source,Noting,2023/05/05,2023/05/06,2023/05/07,Reported
379,Q1 2023/24,New,2023/05/10,Government Communication & Information System,Training,Mindex Systems,R11 971.50,Single Source,Noting,2023/05/08,2023/05/09,2023/05/10,Reported
380,Q1 2023/24,New,2023/05/17,State Information Technology Agency,"Procurement of the Secure Socket Layer (SSL) certificates for a period of one years
for SITA and clients","Altron Security a division of Altron (Pty)
Ltd",R1 235 871.56,Business continuity for information security.,Noting,2023/01/24,2023/01/31,2024/01/30,Reported
381,Q1 2023/24,New,2023/05/17,State Information Technology Agency,"Rendering of of voice and data services to the Office of the Presidency including
maintenance and support for a period of thirty-six (36) months",Business Connexion (Pty) Ltd,R2 705 733.82,Business continuity.,Noting,2022/09/09,2022/10/26,2025/10/25,Reported
382,Q1 2023/24,New,2023/05/17,State Information Technology Agency,"Renewal of the Provincial Health Information System (PHIS) licence maintenance for
the Limpopo Department of Health for a period of twelve (12) months",Dedalus Southern Africa (Pty) Ltd,R14 642 490.00,Sole service provider in South Africa,Noting,2023/01/12,2023/01/15,2024/01/14,Reported
383,Q1 2023/24,New,2023/05/17,National Treasury,"Request to continue utilising the South African Qualification Authority (SAQA)
services for the verification of qualifications for the financial year end 2023/2024",South African Qualification Authority,R0.00,"Although the directive has been withdrawn, the DPSA still encourages the utilisation of
SAQA as it is still the only credible institution that is able to provide NQF level of
qualifications and is also able to provide evaluation of qualifications, especially
International qualifications.Most verifying agencies still are unable to provide such
function and they approach SAQA for these services",Noting,2023/04/21,N/A,N/A,Reported
384,Q1 2023/24,New,2023/05/17,National Treasury,"Request to procure Skills SA (PTY) LTD as a sole provider for the talent management
and succession planning conference scheduled to take place from 10 - 11 May 2023",Skills SA (PTY) LTD,R29 997.00,Skills SA is the only service provider that offers the programme,Noting,2023/05/04,N/A,N/A,Reported
385,Q1 2023/24,New,2023/05/17,National Treasury,"Request to enter into a three (3) year contract between National Treasury and ACL
Analytics client subscription license from 01 June 2023 to 31 May 2024, 01 June
2024 to 31 May 2025 and 01 June 2025 to 31 May 2026",ACL Analytics,R365 793.15,"Internal Audit (IA) currently uses ACL software to perform data analytics and audit tests
on 100% of the available data (population) instead of sampling basis. Furthermore ACL
tool aid internal auditors to identify and report on potential fraud patterns and data
irregularities. The tolol is primarily used throughout the audit cycle and forms integral part
of the Internal Audit process",Noting,2023/05/09,N/A,N/A,Reported
386,Q1 2023/24,New,2023/05/22,Unemployment Insurance Fund,Off-site record storage,Metrofile,R6 851 450.69,Business operation and decision,Noting,2019/05/05,2023/05/04,2023/05/04,Reported
387,Q1 2023/24,New,2023/05/29,"Compensation Fund, including Reserve Fund",NAPPI File,Medikredit,R2 170 608.83,Sole supplier,Noting,2023/03/03,N/A,N/A,Reported
388,Q1 2023/24,New,2023/05/29,"Independent Communications Authority of South
Africa",Live Reads and Advertising,"Governement Communications and
Information System",R880 000.00,"ICASA, like other state entities, is encouraged to use the services of GCIS as they
come at no additional management fees and the organisation will only pay the costs of
placing the ads on the radio stations and no fees or commissions are charged.It is
impossible to source three quotations for placing advertisements on each radio station
as they all differ in terms of:
• Area coverage / geographical location
• Listenership / reach
• Listener demographic profiles",Noting,2022/09/23,2022/09/23,2023/09/23,Reported
389,Q1 2023/24,New,2023/05/29,"Independent Communications Authority of South
Africa",Spectrum Maintenance,GEW,R518 654 350.00,"GEW Technologies as an OEM, they are the only able service provider to deliver the
comprehensive maintenance, support, and updates for the items required",Noting,2023/01/11,2023/04/13,2026/04/13,Reported
390,Q1 2023/24,New,2023/05/29,"Independent Communications Authority of South
Africa",EDRMS licenses,"Falcorp Communications and Media
(Pty) Ltd",R3 724 381.95,Falcorp is the only authorised reseller of the system in South Africa,Noting,2023/01/17,2023/01/17,2024/12/31,Reported
391,Q1 2023/24,New,2023/05/29,"Independent Communications Authority of South
Africa",Licensing Certificates,Governement Printing Works,R69 000.00,"Governement Printing Works is a government entity and appointing them ensures that
security certificates features are not open to public to copy",Noting,2022/06/24,Once off,N/A,Reported
392,Q1 2023/24,New,2023/05/29,"Independent Communications Authority of South
Africa",Diesel refill,Diesel Electrical,R41 839.75,"In order, to avert shortages of diesel during any possible power outages/failures that
may occur the generators need to be refilled to the maximum capacity",Noting,2022/06/24,Once off,N/A,Reported
393,Q1 2023/24,New,2023/05/30,"National Economic, Development and Labour
Council",Zoom license renewal for the Presidential Climate Commission,Zoom Video Communications,R79 775.44,"Zoom was selected due to the following features it provides: -It enables registration and
reports for both meetings and webinars",Noting,2023/11/15,2023/11/15,31/03/2024,Reported
394,Q1 2023/24,New,2023/05/31,State Information Technology Agency,"The apointment of Payteq (Pty) Ltd to provide software licences and support contract
for Department of Defence (DoD) for a period of three years",Payteq (Pty) Ltd,R2 009 936.67,Software is customised for the Department of Defence' environment.,Noting,2023/03/14,2023/04/01,2026/03/31,Reported
