"5,5,2 GOVERNANCE MONITORING AND COMPLIANCE: 2022/2023 QUARTER 4 ( 16 December 2022 - 15 March 2023) REPORT EXPANSIONS",,,,,,,,,,,,,,,
Number,,,,,,,,,,,"not supported/not
supported/Conditional supported
(Use dropdown List)","Award/recommended by AO/ AA
date
(yyyy/mm/dd)",Contract start date (yyyy/mm/dd),"Contract Expiry Date
(yyyy/mm/dd)",
155,Q4 2022/23,New,2023/02/08,Armaments Corporation of South Africa Limited,"Appointment of a contractor for the supply, installation and
commissioning of a standby generators atr armscor headoffice",RP Electrical and pool management,Project reviewed to accommodate the connection of new standby generators,R1 333 063.41,"R993 475,78","R335 122,45",Noting,2023/02/08,2022/05/01,2023/01/30,
156,Q4 2022/23,New,2023/02/17,South African Social Security Agency,Call Centre Services,ISON Xperiences Pty Ltd,To allow SASSA to finish procurement process for a three(03) period.,"9832500,00","R29 497 500,00","R0,00",Noting,2022/12/20,Not stated,not stated,
157,Q4 2022/23,New,2023/02/17,South African Social Security Agency,Change Management services,The Pacific Institute Pty Ltd,"To expand on the Change Programme to ensure its success by adding
additional deliverables.","848804,00",R5 658 696.00,"R0,00",Noting,2023/02/09,Not stated,not stated,
"158
159","Q4 2022/23
Q4 2022/23","New
New","2023/02/17
2023/02/17","South African Social Security Agency
South African Social Security Agency","Investigation services
SRD R350 Grants","Special Investigating Unit
Prosence Technology Pty Ltd","To conduct investigations at SASSA.
To allow SASSA to conclude Procurement Process.","44319976,25
9016000,00","R13 681 680. 00
R7 080 000.00","R-
R-","Noting
Noting","2023/02/06
2022/12/22","Not stated
2022/12/01","not stated
2023/03/21",
160,Q4 2022/23,New,2023/02/22,Social Housing Regulatory Authority (SHRA),request for variations on the appointment of executive assistant,Isulumko Consulting,"The entity is yet to conclude on the appointment of a new assistant who will
be working with the newly appointed CEO",R101 200.00,R202 400.00,0,Noting,2023/02/01,2022/10/22,2023/04/12,
"161
162","Q4 2022/23
Q4 2022/23","New
New","2023/02/22
2023/02/23","Social Housing Regulatory Authority (SHRA)
National Consumer Commission","Provision of office cleaning services
legal service","Ramokgadi Trading Pty Ltd 261
Giyose Incorporated attorneys","The entity is yet to conclude on the appointment of a new service provider
who will take over the cleaning exercise
budget exhausted","R83 597.60
R150 000,00","R557 317.32
R300 000,00","0
R0,00","Noting
Within AA/AO mandate Noting","2023/02/01
2023/02/21","2019/07/31
2019/08/12","2023/01/31
not stated",
"163
164","Q4 2022/23
Q4 2022/23","New
New","2023/02/23
2023/02/23","South African National Accreditation System
National Consumer Commission","Cleaning service
Legal services","Keewave Trading & Projects
Giyose incorporated attorneys","Continuation of service
Insufficient budget","R35 781,26
R150 000,00","R1 288 130,76
R300 000,00","R0,00
R0,00","Noting
Within AA/AO mandate Noting","2023/01/01
2023/02/21","2023/01/01
2019/08/12","2023/01/31
not stated",
165,Q4 2022/23,New,2023/02/13,Transnet SOC Ltd,"REQUEST FOR TEDBAC TO RECOMMEND THE REQUEST
FOR CONTRACTAMENDMENT TO THE GROUP CHIEF
EXECUTIVE (GCE) TO APPROVE THE ADDITIONAL 20%
INCREASE IN VALUE OF THE CONTRACT AND PERIOD ON
THE EXISTING CONTRACT NO: 5600006867, FOR THE
SUPPLY AND DELIVERY OF 36 INCH WHEELS FOR A
PERIOD OF SEVEN (7) MONTHS, TRANSNET ENGINEERING","BIDDER 1/ LUCCHINI SOUTH AFRICA
(PTY) LTD/ SONDOL (PTY) LTD","The current contract which expires December 2026 is not meeting the
anticipated Transnet Demand Volumes. There is a procurement event that
was issued to the market that closed 02 September2022 and is currently
under evaluation","R40 912 650,00","R204 563 250,00","R0,00",Noting,2023/01/04,01/03/2022,28/10/2022,
166,Q4 2022/23,New,2023/02/13,Transnet SOC Ltd,"REFURBISHMENT 1200 TON SLIPWAY CRADLE PROJECT IN
THE PORT OF PORT ELIZABETH (MECHANICAL, CIVIL,
STRUCTURAL AND ELECTRICAL UPGRADES)",CHANNEL CONSTRUCTION (PTY) LTD,Contract Amendment,"R19 801,00","R131 008 954,00","R0,00",Noting,2023/01/04,2021/06/01,2023/03/31,
167,Q4 2022/23,New,2023/02/13,Transnet SOC Ltd,"HOAC-HO-38744 SUPPLY AND DELIVERY OF AGGREGATE
MATERIAL [BALLAST STONES AND FORMATION MATERIAL]
TO TRANSNET FREIGHT RAIL CAPE CORRIDOR AND IRON
ORE ON AN ""AS AND WHEN REQUIRED BASIS FOR A
PERIOD OF TWELVE (12) MONTHS",AFRIMAT AGGREGATES (KZN),To ensure security of supply to meet the material demand,"R1 500 000,00","R98 800 000,00","R0,00",Noting,2023/01/04,2022/10/01,2023/09/30,
168,Q4 2022/23,New,2023/02/13,Transnet SOC Ltd,"NOTIFICATION TO TEDBAC REGARDING THE OF THE
EFFECTED
AMENDMENT TO THE CONTRACT VALUE AND PERIOD ON
THE EXISTING CONTRACT NO:5600006566, 5600006569,
5600006574, 5600006575, 5600006571, 5600006572 FOR
THE PROVISION OF SECURITY SERVICES FOR TRANSNET
ENGINEERING NATIONALLY FOR A PERIOD OF 24 MONTHS",AMABHOKOBHOKO SECURITY SERVICES (PTY) LTD,"The request for increase of 15% for each contract relating to the provision of
security services for all Regions in TE is due to the contract ending 31
December 2022.
2. TE is currently busy with the tender process for the new security contract.
Based on the timelines submitted by the evaluation team and anticipated
response from the market, TE will not be able conclude the award of the new
contract that must resume on the 1st of January 2023.
3. Contract amendment should be considered for a flowing business
continuation for the provision of security services for all Regions in TE.","R14 520 271,91","R96 801 812,72","R0,00",Noting,2023/01/04,2021/01/01,2022/12/31,
169,Q4 2022/23,New,2023/02/13,Transnet SOC Ltd,"NOTIFICATION TO TEDBAC REGARDING THE OF THE
EFFECTED
AMENDMENT TO THE CONTRACT VALUE AND PERIOD ON
THE EXISTING CONTRACT NO:5600006566, 5600006569,
5600006574, 5600006575, 5600006571, 5600006572 FOR
THE PROVISION OF SECURITY SERVICES FOR TRANSNET
ENGINEERING NATIONALLY FOR A PERIOD OF 24 MONTHS","AMABHOKOBHOKO SECURITY
SERVICES (PTY) LTD","The request for increase of 15% for each contract relating to the provision of
security services for all Regions in TE is due to the contract ending 31
December 2022.
2. TE is currently busy with the tender process for the new security contract.
Based on the timelines submitted by the evaluation team and anticipated
response from the market, TE will not be able conclude the award of the new
contract that must resume on the 1st of January 2023.
3. Contract amendment should be considered for a flowing business
continuation for the provision of security services for all Regions in TE.","R11 212 733,59","R74 751 557,24","R0,00",Noting,2023/01/04,2021/01/01,2022/12/31,
170,Q4 2022/23,New,2023/02/13,Transnet SOC Ltd,"SURFACING OF BERTHS C100 AND C101 PROJECT AT PORT
OF NGQURA",POWER CONSTRUCTION,Contract Amendment/Variation: Extension in value,"R8 137 133,11","R66 666 333,11","R0,00",Noting,2023/01/04,2021/06/22,2022/05/31,
171,Q4 2022/23,New,2023/02/13,Transnet SOC Ltd,"NOTIFICATION TO TEDBAC REGARDING THE OF THE
EFFECTED
AMENDMENT TO THE CONTRACT VALUE AND PERIOD ON
THE EXISTING CONTRACT NO:5600006566, 5600006569,
5600006574, 5600006575, 5600006571, 5600006572 FOR
THE PROVISION OF SECURITY SERVICES FOR TRANSNET
ENGINEERING NATIONALLY FOR A PERIOD OF 24 MONTHS","MABHOKOBHOKO SECURITY SERVICES
(PTY) LTD","The request for increase of 15% for each contract relating to the provision of
security services for all Regions in TE is due to the contract ending 31
December 2022.
2. TE is currently busy with the tender process for the new security contract.
Based on the timelines submitted by the evaluation team and anticipated
response from the market, TE will not be able conclude the award of the new
contract that must resume on the 1st of January 2023.
3. Contract amendment should be considered for a flowing business
continuation for the provision of security services for all Regions in TE.","R8 643 457,80","R57 623 052,02","R0,00",Noting,2023/01/04,2021/01/01,2022/12/31,
172,Q4 2022/23,New,2023/02/13,Transnet SOC Ltd,CONFERENCING AND EVENTS MANAGEMENT,LUZUKO BLUE PLATINUM JV,"entral Category Management finalized the Sourcing Strategy and Request for
Proposal (RFP), and issued the RFP to the open market on 25 August 2022.
The RFP closed on 23 September 2022.
Transnet received 28 bid responses on the Transnet e-tender portal by
closing date. Transnet is currently finalising the Bid Evaluation Committee
members appointments to evaluate the bids and will require more time to
finalise the total evaluation process until award. It will not be possible to
conclude the procurement process by 31 October 2022.
Transnet will not have a Conferencing and Events Management Service
Provider to manage the following critical TCC Conferencing and Events for
the next four months","R0,00","R56 100 000,00","R0,00",Noting,2023/01/04,2022/11/01,2023/02/28,
173,Q4 2022/23,New,2023/02/13,Transnet SOC Ltd,"NOTIFICATION TO TEDBAC REGARDING THE OF THE EFFECTED
AMENDMENT TO THE CONTRACT VALUE AND PERIOD ON THE EXISTING
CONTRACT NO:5600006566, 5600006569, 5600006574, 5600006575,
5600006571, 5600006572 FOR THE PROVISION OF SECURITY SERVICES FOR
TRANSNET ENGINEERING NATIONALLY FOR A PERIOD OF 24 MONTHS","AMABHOKOBHOKO SECURITY
SERVICES (PTY) LTD","The request for increase of 15% for each contract relating to the provision of
security services for all Regions in TE is due to the contract ending 31
December 2022.
2. TE is currently busy with the tender process for the new security contract.
Based on the timelines submitted by the evaluation team and anticipated
response from the market, TE will not be able conclude the award of the new
contract that must resume on the 1st of January 2023.
3. Contract amendment should be considered for a flowing business
continuation for the provision of security services for all Regions in TE.","R5 861 218,92","R39 074 790,80","R0,00",Noting,2023/01/04,2021/01/01,2022/12/31,
174,Q4 2022/23,New,2023/02/13,Transnet SOC Ltd,"PROVISION OF SECURITY SERVICES FOR TRANSNET PROPERTY, INLAND
REGION FOR A PERIOD OF 22 YEARS",IMVUSA TRADING,"Extension of scope to include guarding of vacant Transnet properties as and
when required, and this will mean increasing the number of security guards.","R5 801 503,16","R38 676 687,72","R0,00",Noting,2023/01/04,2021/11/24,2023/09/23,
175,Q4 2022/23,New,2023/02/13,Transnet SOC Ltd,"NOTIFICATION TO TEDBAC REGARDING THE OF THE EFFECTED
AMENDMENT TO THE CONTRACT VALUE AND PERIOD ON THE EXISTING
CONTRACT NO:5600006566, 5600006569, 5600006574, 5600006575,
5600006571, 5600006572 FOR THE PROVISION OF SECURITY SERVICES FOR
TRANSNET ENGINEERING NATIONALLY FOR A PERIOD OF 24 MONTHS",BAMOGALE ENTERPRISE (PTY) LTD,"The request for increase of 15% for each contract relating to the provision of
security services for all Regions in TE is due to the contract ending 31
December 2022.
2. TE is currently busy with the tender process for the new security contract.
Based on the timelines submitted by the evaluation team and anticipated
response from the market, TE will not be able conclude the award of the new
contract that must resume on the 1st of January 2023.
3. Contract amendment should be considered for a flowing business
continuation for the provision of security services for all Regions in TE.","R5 126 235,91","R34 174 906,12","R0,00",Noting,2023/01/04,2021/01/01,2023/12/29,
176,Q4 2022/23,New,2023/02/13,Transnet SOC Ltd,"NOTIFICATION TO TEDBAC REGARDING THE OF THE EFFECTED
AMENDMENT TO THE CONTRACT VALUE AND PERIOD ON THE EXISTING
CONTRACT NO:5600006566, 5600006569, 5600006574, 5600006575,
5600006571, 5600006572 FOR THE PROVISION OF SECURITY SERVICES FOR
TRANSNET ENGINEERING NATIONALLY FOR A PERIOD OF 24 MONTHS",BAMOGALE ENTERPRISE (PTY) LTD,"The request for increase of 15% for each contract relating to the provision of
security services for all Regions in TE is due to the contract ending 31
December 2022.
2. TE is currently busy with the tender process for the new security contract.
Based on the timelines submitted by the evaluation team and anticipated
response from the market, TE will not be able conclude the award of the new
contract that must resume on the 1st of January 2023.
3. Contract amendment should be considered for a flowing business
continuation for the provision of security services for all Regions in TE.","R4 894 361,91","R32 629 079,41","R0,00",Noting,2023/01/04,2021/01/01,2023/12/29,
177,Q4 2022/23,New,2023/02/13,Transnet SOC Ltd,"FOR THE PROVISION OF COUNTER PARTY RISK MANAGEMENT SERVICES
FOR CREDIT AND SUPPLIER MANAGEMENT ON AN ""AS AND WEHN""
REQUIRED BASIS FOR A PERIOD OF THREE YEARS",EXPERIAN SOUTH AFRICA,"Tender was issued to the market and the evaluation process has been
completed and the tender need to be non-awarded..","R0,00","R25 500 000,00","R0,00",Noting,2023/01/04,2019/10/01,2022/12/31,
178,Q4 2022/23,New,2023/02/13,Transnet SOC Ltd,"PROVISION FOR THE APPOINTMENT OF THE ENGINEERING, PROCUREMENT
AND CONSTRUCTION MANAGEMENT CONTRACTOR (EPCM) FOR THE
RENOVATIONOF 96 RISSIK STREET BUILDING IN JOHANNESBURG CENTRAL
BUSINESS DISTRICT (CBD)",LODEMANN HOLDINGS (PTY) LTD,"Extension of the scope of work on the existing contract which impacts the
contract price for the duration of the contract.","R2 597 101,06","R23 797 380,00","R0,00",Noting,2023/01/04,2021/10/11,2024/10/10,
179,Q4 2022/23,New,2023/02/13,Transnet SOC Ltd,"FOR CREATING AND MAINTAINING THE TRANSNET VENDOR, MATERIALS,
SERVICES MASTER DATAT AND STRUCTURED GENERATOR/STRUCTURED
TEXT ANALYSER WITHIN THE TCB ON AN AS AND WHEN BASIS FOR A
PERIOD OF 36 MONTHS",PI-LOG SA,"Budget remaining on existing contract. Need to ensure maintenance and
support going forward.","R0,00","R22 000 000,00","R0,00",Noting,2023/01/04,2019/03/11,2023/04/30,
180,Q4 2022/23,New,2023/02/13,Transnet SOC Ltd,"PROVISION OF
CLEANING AND HYGIENE SERVICES IN INLAND, ORIGINALLY
AWARDED FOR A PERIOD 36 MONTHS.","(4 SUPPLIERS):
DHUNGU ZN
STHEMBISO & EDIE
MDITO ENTERPRISE
DIKAPI CLEANING SERVICES","Extend scope of existing contracts for the Provision of Cleaning and Hygiene
Services in Inland and Northern Regions to cover areas which were under
former TFR Real
Estate to Expire in 30 June 2022","R3 555 764,83","R20 456 324,76","R0,00",Noting,2023/01/04,2019/04/01,2022/03/31,
181,Q4 2022/23,New,,Transnet SOC Ltd,"FOR THE PROVISION OF SOFTWARE MAINTENANCE AND
SUPPORT ON THE PILOG SA MDRMS8 MASTER DATA
MANAGEMENT",PI-LOG SA,"Need to ensure maintenance and support going for period during which
market is approached for new systems.","R4 260 031,00","R18 000 000,00","R0,00",Noting,,,,
Number,,,,,,,,,,,"not supported/not
supported/Conditional supported
(Use dropdown List)","Award/recommended by AO/ AA
date
(yyyy/mm/dd)",Contract start date (yyyy/mm/dd),"Contract Expiry Date
(yyyy/mm/dd)",
,Period / Quarter,"Rollover / New
(Use dropdown List)","Date Received By GMC
(yyyy/mm/dd)","Entity/Department
(Use dropdown List)",Project Description,Supplier / Service Provider,"Reason for Expansion
(Use dropdown List)","Value of Contract Expansion
[R]","Original Contract Value
[R]","Value of Previous
Expansion
[R]",,,,,
182,Q4 2022/23,New,2023/02/13,Transnet SOC Ltd,SUPPLY OF END USER COMPUTING DEVICES,BUSINESS CONNEXION PTY LTD,"To replace the approved Lenovo ThinkPad L14 Gen 2 (part number
20X2S4WW000) which is no longer manufactured, with Model 1: Lenovo
ThinkPad L14 Gen 2 (PN 20X2S5T500), and Model 2: Lenovo ThinkPad L14
Gen 3 (PN 21C2CTO1WW).","R3 001 658,55","R17 400 246,29","R0,00",Noting,2023/01/04,2022/06/01,2025/05/31,
183,Q4 2022/23,New,2023/02/13,Transnet SOC Ltd,"FOR THE PROVISION OF COUNTER PARTY RISK
MANAGEMENT SERVICES FOR CREDIT AND SUPPLIER
MANAGEMENT ON AN ""AS AND WEHN"" REQUIRED BASIS
FOR A PERIOD OF THREE YEARS",INOXICO,"In order to conclude transactions that are in progress – A contract extension
with Inoxico is required so that
they can close off in progress transactions","R0,00","R15 000 000,00","R0,00",Noting,2023/01/04,2019/10/01,2022/10/31,
184,Q4 2022/23,New,2023/02/13,Transnet SOC Ltd,"PROVISION OF CLEANING AND HYGIENE SERVICES IN THE
CAPE TOWN AREA FOR 60 MONTHS",DIKAPING CLEANING SERVICES,Scope expansion,"R28 432,08","R9 554 294,33","R0,00",Noting,2023/01/04,2020/09/01,2025/08/31,
185,Q4 2022/23,New,2023/02/13,Transnet SOC Ltd,"PROVISION OF PREVENTATIVE, CORRECTIVE AND
EMERGENCY MAINTENANCE PLUS MINOR NEW WORKS
FOR CIVIL, GENERAL BUILDING MAINTENANCE AND
PLUMBING SERVICES AT CARLTON CENTRE FOR A PERIOD
OF 12 MONTHS",KIMOPAX PTY LTD,KIMOPAX PTY LTD,"R999 396,00","R5 793 600,00","R0,00",Noting,2023/01/04,2021/10/01,2022/10/01,
186,Q4 2022/23,New,2023/02/13,Transnet SOC Ltd,"HIRE A MOBILE AMBULATION, KITCHEN SPACE AND
BEDROOM IN DURBAN REGION HOAC-HO-27805",KWIKSPACE MODULAR BUILDINGS,KWIKSPACE MODULAR BUILDINGS,"R1 861 818,74","R3 657 797,10","R0,00",Noting,2023/01/04,2020/04/01,2022/06/30,
187,Q4 2022/23,New,2023/02/13,Transnet SOC Ltd,"PROVISION OF CLEANING SERVICES OF VARIOUS
BUILDINGS AND FACILITIES AT THE PORT OF PORT
ELIZABETH FOR A PERIOD OF 36 MONTHS","ZEDEK TRADING 388CC T/A ZEDEK
TRADING SERVICES",ZEDEK TRADING 388CC T/A ZEDEK TRADING SERVICES,"R545 855,22","R3 417 716,00","R4 476 258,28",Noting,2023/01/04,2022/09/01,2023/01/31,
188,Q4 2022/23,New,2023/02/13,Transnet SOC Ltd,"AD HOC WATER RETICULATION NETWORK AND PLUMBING
(INCLUDING MAINTENANCE) FOR 24 MONTHS (AS AND
WHEN REQUIRED)",STAR TIME TRADING,STAR TIME TRADING,"R0,00","R2 000 000,00","R2 000 000,00",Noting,2023/01/04,2022/11/01,2023/01/31,
189,Q4 2022/23,New,2023/02/13,Transnet SOC Ltd,"SUPPLY AND DELIVERY OF FOOD COMMODITIES AT
ESSELEN PARK FOR TRANSNET PROPERTY ON AS AND
WHEN REQUIRED BASIS FOR THE PERIOD OF THREE (3)
MONTHS",ATKINS TECH PTY LTD,ATKINS TECH PTY LTD,"R285 000,00","R1 900 000,00","R0,00",Noting,2023/01/04,2022/06/01,2022/08/31,
190,Q4 2022/23,New,2023/02/13,Transnet SOC Ltd,"PROVISION OF PREVENTATIVE, CORRECTIVE AND
EMERGENCY MAINTENANCE PLUS MINOR NEW WORKS
FOR ELECTRICAL, HVAC, GENERAL BUILDING AND
PLUMBING SERVICES FOR NORTHERN REGION FOR A
PERIOD OF 12 MONTHS","BLESSED TO BE A BLESSING TRADING
& PROJECTS",BLESSED TO BE A BLESSING TRADING & PROJECTS,"R346 990,46","R1 734 952,31","R0,00",Noting,2023/01/04,2022/04/01,2023/03/31,
191,Q4 2022/23,New,2023/02/13,Transnet SOC Ltd,"PROVISION OF SECURITY SERVICES AT THE WESTERN
CAPE REGION FOR A PERIOD OF 4 MONTHS","SINQOBILE EQUESTRIAN SECURITY
SERVICES",SINQOBILE EQUESTRIAN SECURITY SERVICES,"R241 000,00","R1 676 521,74","R32 113,23",Noting,2023/01/04,2021/12/11,2022/04/10,
"192
193","Q4 2022/23
Q4 2022/23","New
New","2023/02/13
2023/02/13","Transnet SOC Ltd
Transnet SOC Ltd","GENERAL BUILDING MAINTENANCE SERVICES
WASTE MANAGEMENT SERVICES AT WITBANK BELFAST
MIDDELBURG LYDENBURG, BRONKHORSTPRUIT CLEWER,
UITKYK, KOMATIPOORT, KAAPMUIDEN, NELSPRUIT,
HAZYVIEW, HOEDESPRUIT, PHALABORWA, STEELPOORT,
NGODWANA, WATERVAL BOVEN FOR A PERIOD OF
TWENTY FOUR (24) MONTHS","TRUFIX INDUSTRIAL SERVICES
BAYEKANE TRADING AND PROJECTS
(PTY) LTD","TRUFIX INDUSTRIAL SERVICES
BAYEKANE TRADING AND PROJECTS (PTY) LTD","R0,00
R220 272,00","R1 499 830,00
R1 468 480,00","R0,00
R0,00","Noting
Noting","2023/01/04
2023/01/04","2022/08/13
2020/07/30","2023/02/12
2022/07/31",
194,Q4 2022/23,New,2023/02/13,Transnet SOC Ltd,"CLEANING SERVICES AT BLUE TRAIN PRETORIA LOUNGE
197 PAUL KRUGER STREET PRETORIA",REMONE PRINTING & PROJECTS,REMONE PRINTING & PROJECTS,"R25 583,59","R1 170 061,70","R0,00",Noting,2023/01/04,2022/07/01,2022/12/31,
195,Q4 2022/23,New,2023/02/13,Transnet SOC Ltd,"PROVISION OF EMPLOYEE TRANSPORT SERVICES AT
PORT OF PORT ELIZABETH",CHUMILE HOLDINGS,CHUMILE HOLDINGS,"R127 612,62","R1 020 901,00","R1 148 513,62",Noting,2023/01/04,2022/09/01,2022/10/15,
196,Q4 2022/23,New,2023/02/13,Transnet SOC Ltd,"PROVISION OF SERVICES FOR THE REMOVAL OF GALLEY
WASTE WITHIN THE PORT OF CAPE TOWN FOR A PERIOD
OF THREE (3) MONTHS FOR THE TRANSNET NATIONAL
PORTS AUTHORITY FOR THE PORT OF CAPE TOWN,
(HEREAFTER REFERRED TO AS TNPA)",SANDAMELI INVESTMENT,SANDAMELI INVESTMENT,"R126 185,85","R841 800,00","R0,00",Noting,2023/01/04,2022/09/01,2022/11/30,
197,Q4 2022/23,New,2023/02/13,Transnet SOC Ltd,AIR CONDITIONING MAINTENANCE SERVICES,"MOSOMEDI REFRIDGERATION AND AIR
CONDITIONING",MOSOMEDI REFRIDGERATION AND AIR CONDITIONING,"R0,00","R623 100,52","R0,00",Noting,2023/01/04,2020/04/01,2023/03/31,
198,Q4 2022/23,New,2023/02/13,Transnet SOC Ltd,"PORT OF PE GENERAL AND HARZADOUS WASTE
MANAGEMENT FOR 3 MONTHS PERIOD",EXTREME PROJECTS,EXTREME PROJECTS,"R86 250,00","R575 000,00","R0,00",Noting,2023/01/04,2022/06/01,2022/08/31,
"199
200","Q4 2022/23
Q4 2022/23","New
New","2023/02/17
2023/02/17","South African Social Security Agency
South African Social Security Agency","Call Centre Services
Change Management services","ISON Xperiences Pty Ltd
The Pacific Institute Pty Ltd","ISON Xperiences Pty Ltd
The Pacific Institute Pty Ltd","R9 832 500,00
R848 804,00","R29 497 500,00
R5 658 696,00","R0,00
R0,00","Noting
Noting","2022/12/20
2023/02/09","Not stated
Not stated","Not stated
Not stated",
201,Q4 2022/23,New,2023/02/17,South African Social Security Agency,Investigation services,Special Investigating Unit,Special Investigating Unit,"R44 319 976,25","R13 681 680,00","R0,00",Noting,2023/02/06,Not stated,Not stated,
"202
203","Q4 2022/23
Q4 2022/23","New
New","2023/02/17
2023/02/28","South African Social Security Agency
Special Investigation Unit","SRD R350 Grants
Office Accomodation","Prosence Technology Pty Ltd
Vukile Property Fund Limited","Prosence Technology Pty Ltd
Vukile Property Fund Limited","R9 016 000,00
R712 412,88","R7 080 000,00
R7 528 234,35","R0,00
R3 846 196,94","Noting
Noting","2022/12/22
2023/12/15","2022/12/01
2023/01/01","2023/03/31
2023/05/31",
204,Q4 2022/23,New,2023/02/28,Special Investigation Unit,Corrie Engelbrecht,Nexus Forensic Service,Nexus Forensic Service,"R138 000,00","R736 000,00","R0,00",Noting,2023/01/13,2023/01/14,2023/05/31,
205,Q4 2022/23,New,2023/02/13,Department of Justice & Constitutional Development,"Provinsion of ICT Security support services for the department
of justice and constitutional development",fullstream Business solution (Pty) Ltd,fullstream Business solution (Pty) Ltd,"R800 000,00","R1 600 000,00","R3 200 000,00",Noting,2022/12/23,2022/12/24,2023/01/23,
206,Q4 2022/23,New,2023/02/13,Department of Justice & Constitutional Development,"Rendering of guarding and specialised services in variuse
offices of the department of justice and constitutional
development","1. Mabotwane Security Services 2. Fidelity
Security Services 3. Phepha MV Security
4. Vhugi Protection Services 5. Zack
Business Enterprise","Business Continuity to allow for the finalisation of the replacement
procurement process","R131 352 155,98","R749 586 384,22","R383 760 022,53",Noting,2022/12/23,2023/01/01,2023/02/28,
207,Q4 2022/23,New,2023/02/13,Department of Justice & Constitutional Development,"Appointment of service Provider for the ICT Central Support
Services","Retrieving data. Wait a few seconds and try to
cut or copy again.","Business Continuity to allow for the finalisation of the replacement
procurement process","R2 065 400,00","R12 392 400,00","R12 392 400,00",Noting,2022/12/23,2023/01/01,2023/01/23,
208,Q4 2022/23,New,2023/02/13,Department of Justice & Constitutional Development,"Provision of travel Mnangement Services to the department of
justice and constitutional development","1. Travel with Flair (Pty) Ltd 2. Wings
Naledi(Pty)Ltd) 3. XL Nexus Travel(Pty) Ltd","Business Continuity to allow for the finalisation of the replacement
procurement process","R54 000 000,00","R0,00","R60 209 013,91",Noting,2022/10/23,2022/11/01,2023/01/23,
209,Q4 2022/23,New,2023/02/13,Department of Justice & Constitutional Development,"Provision of travel Mnangement Services to the department of
justice and constitutional development","1. Travel with Flair (Pty) Ltd 2. Wings
Naledi(Pty)Ltd) 3. XL Nexus Travel(Pty) Ltd","Business Continuity to allow for the finalisation of the replacement
procurement process","R54 000 000,00","R0,00","R114 209 013,91",Noting,2023/01/31,2023/02/01,2023/05/31,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Quarter 4,,,,,,,,,,,,,,,
2022/2023 QUARTER 4,,,,,,,,,,,,,,,
Total number of Expansions received:,,209,,,,,,,,,,,,,
Total number of Expansions reviewed:,,209,,,,,,,,,,,,,
Applications from Q3,,0,,,,,,,,,,,,,
Number of Expansions - Not Reported as at 15,,0,,,,,,,,,,,,,
Percentage Achieved,,"100,00%",,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Signature______________________________________________,,,,,,,,,,,,,,,
"SIZI QOLOHLE
CHIEF DIRECTOR: SCM GMC",,,,,,,,,,,,,,,
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
