row_number,quarter,date_received_by_gmc,entity_department,project_description,supplier_service_provider,value_of_deviation,reason_for_deviation,award_by_ao_aa_date,contract_start_date,contract_expiry,status,supported,rollover_or_new
187,Q3 2022/23,2022/12/13,"Export Credit Insurance Corporation of South
Africa Limited",Licenses,Quantec (Pty) Ltd,"R 1 1 469 525,00",Procurement by other means,2022/10/13,Not stated,Not stated,,Noting,New
188,Q3 2022/23,2022/12/13,"Export Credit Insurance Corporation of South
Africa Limited",Maintenance of water coolers for 5 years,Servest (Pty) Ltd,"R 2 75 678,00",Procurement by other means,2022/11/24,Not stated,Not stated,,Noting,New
189,Q3 2022/23,2022/12/13,"Export Credit Insurance Corporation of South
Africa Limited","Packing ,removal, delivery and re-assembling ECIC
assets and documents",Biddulph removals and storage,"R 1 28 059,84",Procurement by other means,2022/12/12,Not stated,Not stated,,Noting,New
190,Q3 2022/23,2022/09/21,Financial Intelligence Centre,"Approval for advertising of the Financial
Intelligence Centre vacant positions on Pnet,
Career Junction and Careers 24 on a multiple
source basis",Various Suppliers,R -,"To meet its recruitment needs,FIC is still using Silversoft’s E-recruitment system for its recruitment needs.",2022/09/08,Not stated,Not stated,,Within AA/AO,New
191,Q3 2022/23,2022/12/02,Financial Intelligence Centre,"Approval for the renewal of Philips speechexec
transcription subscription and the appointment of
powerhouse dictation on a sole source basis",Philips,"R 1 4 817,75",This system has assisted in improving the quality of meeting minutes produced,2022/11/24,TBC,TBC,,Within AA/AO,New
192,Q3 2022/23,2022/10/27,Financial Intelligence Centre,"Approval to appoint the Korn Ferry Hay Group on a
sole source basis to provide job evaluation/grading
and professional services for the Financial
Intelligence Centre",Korn Ferry Hay Group,"R 800 000,00","For the purpose of continuity, it will be beneficial for the FIC to use the services of KFHG as the company is
already familiar with the FIC job profiles",2022/10/19,Not stated,Not stated,,Within AA/AO,New
193,Q3 2022/23,2022/10/27,Financial Intelligence Centre,"Recommendation for the Financial Intelligence
Centre to standardise on Dell and lenovo Laptop
models",Dell and Lonovo,R -,"Dell and Lenovo, has been effici Le en nt ob va os e lad o ton e sx gp ae ir nie en dc oe a en rtd ek n yo ew a- rh so w on the support of the Dell and
p p v h .",2022/10/12,Not stated,Not stated,,Within AA/AO,New
194,Q3 2022/23,2022/10/27,Financial Intelligence Centre,"Recommendation for the renewal of the Financial
Intelligence Centre Cape Town office lease from
three years to five years with an option to renew for
another five years",Ingenuity Property Investments,R -,"From a practical and fin wa on uc li da l ep qo uin irt eo f v sie imw i, th e m ho is gt p er ra cc oti sc ta )l ia nvn ed sc to ms et- ne f afe nc dt i fv ite o up tion as other premises
r a la r (a t h t o t",2022/10/19,Not stated,Not stated,,Within AA/AO,New
195,Q3 2022/23,2022/12/02,Financial Intelligence Centre,"Request approval for deviation from the request for
quotations process by making use of single source
suppliers for attendance of conferences,
workshops, seminars, webinars and industry
specialised training for a three-year period from 10
December 2022 until 09 December 2025",Various Suppliers,"R 1 000 000,00","The conferences, workshops, seminars, webinars and industry specialised training
are offered by specialist service providers on a once off basis or based on demand",2022/11/18,N/A,N/A,,Within AA/AO,New
196,Q3 2022/23,2022/12/02,Financial Intelligence Centre,"Request approval for the renewal of caseware
software license and support services on a sole-
source basis for a period of three (3) years",Caseware,"R 2 90 590,54","The FIC has been utilising Caseware software since 2010 and has incurred various costs in acquiring the
licenses, training staff in using the software and familiarising the Auditor-General with the outputs from
Caseware",2022/11/28,TBC,TBC,,Within AA/AO,New
197,Q3 2022/23,2022/12/02,Financial Intelligence Centre,"Request for approval for Silversoft South Africa Pty
Ltd to provide professional services for the
configuration of the career center development
solution on a sole source basis",Silversoft South Africa Pty Ltd,"R 2 6 189,55","Silversoft South Africa (Pty) as they are the sole and reseller of theDeltek Talent Management software
solution",2022/11/22,TBC,TBC,,Within AA/AO,New
198,Q3 2022/23,2022/09/21,Financial Intelligence Centre,"Request for approval for the renewal of the
Boardeffect software solution for a period of three
years on a sole source basis",SurTech Solutions RSA (Pty) Ltd,"R 1 389 545,00","SurTech Solutions RSA (Pty) Ltd is the sole authorised reseller in South Africa and only licensor of the
BoardEffect solution in South Africa that provides this license
renewal",2022/09/15,Not stated,Not stated,,Within AA/AO,New
199,Q3 2022/23,2022/12/13,Financial Intelligence Centre,"Request to contract for platform-as-a-service in
terms of the Microsoft Enterprise Agreement for
Azure Services for a period of three years",Microsoft,"R 8 511 615,00","To enable easier accessibility to all data required for different types of analysis. The data residing in the
platform will enable the performance of analytics within the scope of the projects",2022/12/12,TBC,TBC,,Within AA/AO,New
200,Q3 2022/23,2022/11/14,Government Printing Works,"1 Spare, Motor Assy, W/D ENV/CONV(806238-
782)",Altron Fintech,"R 1 8 643,80",Sole Supplier,2022/10/19,Not stated,Not stated,,Within AA/AO,New
201,Q3 2022/23,2022/10/03,Government Printing Works,100 liters Pigment Black Dye Ink,Thunderbolt Solutions,"R 84 668,75",Sole Supplier,2022/08/31,2022/09/06,Not stated,,Within AA/AO,New
202,Q3 2022/23,2022/11/14,Government Printing Works,"1000 Each Trodat Endorsing Ink, Black 28ml",Rubber Stamp & Engraving,"R 3 4 741,50",Sole Supplier,2022/10/21,Not stated,Not stated,,Within AA/AO,New
203,Q3 2022/23,2022/10/03,Government Printing Works,100kg Active Carbon Filter,NEC XON,"R 186 693,86",Sole Supplier,2022/08/31,2022/09/06,Not stated,,Within AA/AO,New
204,Q3 2022/23,2022/11/14,Government Printing Works,100Kg Flexo Yellow Tint Cont Ink,Continental Printing Inks,"R 4 2 090,00",Sole Supplier,2022/10/21,Not stated,Not stated,,Within AA/AO,New
205,Q3 2022/23,2022/11/14,Government Printing Works,"12 Buckets, Aquence/Suoerlock 644 Glue",Achievo Chem,"R 2 8 203,75",Sole Supplier,2022/10/25,Not stated,Not stated,,Within AA/AO,New
206,Q3 2022/23,2022/10/03,Government Printing Works,"1200 Plates, FPJE30606540898 Fuji P JE
Therminal LC 30, 654 x 898 WEB",Fujifilm South Africa,"R 66 294,17",National Deviation,2022/09/09,2022/09/19,Once off,,Within AA/AO,New
207,Q3 2022/23,2022/10/03,Government Printing Works,196 000 Sheets Watermark Paper with Flourescent,Enstra Paper,"R 320 129,16",Sole Supplier,2022/08/31,2022/09/05,Not stated,,Within AA/AO,New
208,Q3 2022/23,2022/10/03,Government Printing Works,"20 000Kg White Security Umalusi 120 gsm Blue
and Orange invisable Fluorescent Fibres",Powermark International,"R 1 715 180,33",Sole Supplier,2022/09/09,2022/09/14,Once off,,Within AA/AO,New
209,Q3 2022/23,2022/10/03,Government Printing Works,"2500 Each Die Plate Daters, Self-Inker with only
Die Plate Adjustable wheels",Rubber Stamp & Engraving,"R 347 875,00",Sole Supplier,2022/09/09,2022/09/19,Once off,,Within AA/AO,New
210,Q3 2022/23,2022/10/03,Government Printing Works,25Kg WEB Tinting Wash-up,Fellows Beswick,"R 2 386,25",Sole Supplier,2022/09/09,2022/09/14,Once off,,Within AA/AO,New
211,Q3 2022/23,2022/10/03,Government Printing Works,260 000kg Kraft Sheet Brown 180Mg 640mm,Enstra Paper,"R 614 736,34",Single Source,2022/08/30,2022/09/05,Not stated,,Within AA/AO,New
212,Q3 2022/23,2022/10/03,Government Printing Works,300 000 Kg Kraft Sheet Brown 180Mg 686mm,Enstra Paper,"R 6 183 080,00",Single Source,2022/08/31,2022/09/05,Not stated,,Within AA/AO,New
213,Q3 2022/23,2022/11/14,Government Printing Works,30Kg SUV B12 identity Green Ink,SICPA,"R 3 7 952,42",Sole Supplier,2022/10/25,Not stated,Not stated,,Within AA/AO,New
214,Q3 2022/23,2022/10/03,Government Printing Works,4500 boxes corrugated,Corruseal Corrugated Gauteng,"R 117 783,00",National Treasury Deviation,2022/08/31,2022/09/05,Not stated,,Within AA/AO,New
215,Q3 2022/23,2022/11/14,Government Printing Works,480 000 Sheets Paper Brown Ripped,Enstra Paper,"R 4 96 005,12",National Treasury Deviation,2022/10/21,Not stated,Not stated,,Within AA/AO,New
216,Q3 2022/23,2022/10/03,Government Printing Works,A3 Xerographic Bond Photocopy Paper,Mondi SA,"R 2 133 566,25",Sole Supplier,2022/09/09,2022/09/19,Once off,,Within AA/AO,New
217,Q3 2022/23,2022/10/03,Government Printing Works,A4 Xerographic Bond Photocopy Paper,Mondi SA,"R 626 750,00",Sole Supplier,2022/09/09,2022/09/19,Once off,,Within AA/AO,New
218,Q3 2022/23,2022/11/14,Government Printing Works,A4 Xerographic Bond Photocopy Paper,Sappi,"R 3 819 150,00",National Treasury Deviation,2022/10/21,Not stated,Not stated,,Within AA/AO,New
219,Q3 2022/23,2022/10/03,Government Printing Works,"Copperfoil Blocks, Umalusi Blocks",Packtech Tooling,"R 5 060,00",Sole Supplier,2022/08/31,2022/09/05,Not stated,,Within AA/AO,New
220,Q3 2022/23,2022/11/14,Government Printing Works,DG Vision Press Plates 24 inch 647x510,Fujifilm,"R 1 9 792,65",Sole Supplier,2022/10/25,Not stated,Not stated,,Within AA/AO,New
221,Q3 2022/23,2022/10/03,Government Printing Works,Fifteen (15) Sealing Wetter Fluid,Altron Fintech,"R 32 964,75",Single Source,2022/08/30,2022/09/05,Not stated,,Within AA/AO,New
222,Q3 2022/23,2022/10/03,Government Printing Works,"Fifty (50) Each Martini M/C: CAP Red size: 5/14 x
3, Part No:0345.3013.4",Thunderbolt Solutions,"R 2 104,50",Sole Supplier,2022/09/09,2022/09/14,Once off,,Within AA/AO,New
223,Q3 2022/23,2022/10/03,Government Printing Works,"Fifty (50) Each Martini M/C: CAP Red size:6/12 x 8,
Part no: 0020.1901",Thunderbolt Solutions,"R 563,50",Sole Supplier,2022/09/09,2022/09/14,Once off,,Within AA/AO,New
224,Q3 2022/23,2022/11/14,Government Printing Works,Five (5) Each Heater Assy Encapsulate Lam,Altron Fintech,"R 4 4 286,50",Sole Supplier,2022/10/21,Not stated,Not stated,,Within AA/AO,New
225,Q3 2022/23,2022/10/03,Government Printing Works,"Five(5) IDC MX76, SPR PCB Disk Sensor 4",Altron Fintech,"R 3 392,50",Sole Supplier,2022/09/07,2022/09/14,Once off,,Within AA/AO,New
226,Q3 2022/23,2022/10/03,Government Printing Works,FRU Boxed node XE board,Altron Fintech,"R 89 948,40",Single Source,2022/08/30,2022/09/05,Not stated,,Within AA/AO,New
227,Q3 2022/23,2022/10/03,Government Printing Works,Replenish Oil Spray 200ml,Maulbauer,"R 218 659,70",Sole Supplier,2022/08/31,2022/09/06,Not stated,,Within AA/AO,New
228,Q3 2022/23,2022/11/14,Government Printing Works,Therminal Positive Plates SP Master,Fujifilm,"R 2 3 775,02",Sole Supplier,2022/10/25,Not stated,Not stated,,Within AA/AO,New
229,Q3 2022/23,2022/10/03,Government Printing Works,"Three hundred (300) Each Rubber Stamp: Self-
Inking Stamp:Self-Inking Stamp: Trodat Plain Self-
Inker size:85x 55MM",Rubber Stamp & Engraving,"R 186 472,50",Sole Supplier,2022/09/09,2022/09/19,Once off,,Within AA/AO,New
230,Q3 2022/23,2022/11/14,Government Printing Works,Three Hundred (300) MS-006 UV Wash,Thunderbolt Solutions,"R 1 6 905,00",Sole Supplier,2022/10/25,Not stated,Not stated,,Within AA/AO,New
231,Q3 2022/23,2022/10/03,Government Printing Works,Twelve (12)ID Smart Card Full Colour Ribbon Set,Altron Fintech,"R 297 530,35",Single Source,2022/08/30,2022/09/05,Not stated,,Within AA/AO,New
232,Q3 2022/23,2022/11/14,Government Printing Works,Two (2) PWA Interlocked Powder,Altron Fintech ACS,"R 7 2 838,70",Sole Supplier,2022/10/25,Not stated,Not stated,,Within AA/AO,New
233,Q3 2022/23,2022/10/03,Government Printing Works,Two 568978-oo1 Solenoid Assy Affixer/ sticker,Altron Fintech,"R 4 075,00",Sole Supplier,2022/09/09,2022/09/14,Once off,,Within AA/AO,New
234,Q3 2022/23,2022/10/19,Home Affairs,DHA offices in Malls,Pareto Limited,R -,To increase the DHA footprint and to reduce the long queus in other busy offices,2022/06/15,2022/09/01,2025/08/31,,Within AA/AO,New
235,Q3 2022/23,2022/10/19,Home Affairs,"Forensic digital evidence extraction and analysis
services on the Zimbabwean Exemption Permit",Facts Consulting SA,"R 1 489 181,00",To assist with optimised forensic digital evidence extraction and analysis services,2022/07/08,2022/08/01,2022/04/30,,Within AA/AO,New
236,Q3 2022/23,2022/11/23,Home Affairs,Relocation of Uitenhage (New Office - Kariega),Superway Construction Pty Ltd,R -,"Provision of alternative office space in Kariega Jfo ar ua p re yr 2io 0d o 8f 5 years commencing 01 February 2023 to 31
n a 2",2022/11/14,2022/11/14,2023/03/31,,Within AA/AO,New
237,Q3 2022/23,2022/12/14,Home Affairs,"Supply, installation and maintence of backup
Generators, UPS and Airconditioners",Superway Construction Pty Ltd,R -,To mitigate service delivery challenges caused by laod shedding,2022/11/14,2022/11/14,2023/03/31,,Within AA/AO,New
238,Q3 2022/23,2022/12/01,Human Sciences Research Council (HSRC),"Registration fees for attend of the 75th
Annual WAPOR Conference","World Association For
public Opinion Research","R 5 601,70",Sole Supplier,2022/11/09,2022/11/10,2022/11/13,,Within AA/AO mandate Noting,New
239,Q3 2022/23,2022/10/12,Independent Regulatory Board for Auditors,DOC -IT Annual Lecense Renewal,DOC-IT,"R 114 261,83",Single Source,29/09/2022,Not stated,Not stated,,Within AA/AO,New
240,Q3 2022/23,2022/10/07,"Insurance Sector Education and Training Authority
(Inseta)SETA",Security Services,"S.K. SeseGolo Security Service (Pty) Ltd-
Maaa0207409.","R 29 440,00",Emergency,2022/06/14,2022/06/15,2022/11/30,,Noting,New
241,Q3 2022/23,2022/10/14,Iziko Museums of South Africa,Exhibition wall structure,Martin Wilson Fine Art,"R 36 400,00","Single source - Humanity Exhibition wall structure with Amacansi (grass-mat). 70% functionality test was
executed on quotes from various service providers, only one (Martin Wilson) scored more 70%.",2022/04/12,Not stated,Not stated,,Within AA/AO mandate Noting,New
242,Q3 2022/23,2022/10/14,Iziko Museums of South Africa,"Annual Iziko library database software licence
renewal",Mindex Stelsels,"R 104 673,00",Sole service provider - Inmagic annual Iziko library database software licence renewal1 May'22 - 30 April'23,2022/04/12,Not stated,Not stated,,Within AA/AO mandate Noting,New
243,Q3 2022/23,2022/10/14,Iziko Museums of South Africa,"Application for NCRST permit to conduct field
research in Namibia.","National Commission on Research, Science &
Technology (NCRST)","R 7 207,00","No other comparative quotes could be obtained. Application for NCRST permit to conduct field research in
Namibia.",2022/05/31,Not stated,Not stated,,Within AA/AO mandate Noting,New
244,Q3 2022/23,2022/10/14,Iziko Museums of South Africa,Goods,Transignal Electrical Sales,"R 3 912,30","Multiple source - Six service providers approached to quote. Only two were able to provide a quote, as the
others could not quote as items were out of stock and/or discontinued. The cheapest of the two quotes
received was selected.",2022/04/29,Not stated,Not stated,,Within AA/AO mandate Noting,New
245,Q3 2022/23,2022/10/14,Iziko Museums of South Africa,Goods- Deionizer purite filters,Lasec SA,"R 11 216,18",Sole service provider of Deionizer purite filters,2022/04/29,Not stated,Not stated,,Within AA/AO mandate Noting,New
246,Q3 2022/23,2022/10/14,Iziko Museums of South Africa,Goods- 3D printer,Caldeaz Manufacturing Technologies,"R 84 208,75","Multiple source - several service providers were requested to quote for a 3D printer. Other service
providers could not quote as they were not apply to supply the required item.",2022/06/24,Not stated,Not stated,,Within AA/AO mandate Noting,New
247,Q3 2022/23,2022/10/14,Iziko Museums of South Africa,Goods- Specimen boxes for fossils,Kohler Box,"R 12 873,73","Request to quote were sent to three different service providers. Only one service provider was able to
supply the required specimen boxes for storing prepared or unprepared fossils",2022/06/21,Not stated,Not stated,,Within AA/AO mandate Noting,New
248,Q3 2022/23,2022/10/14,Iziko Museums of South Africa,Goods- Styluses and pneumatic air scribes,Tiffany-Lee Van Zyl,"R 14 975,00",Sole service provider - Styluses and pneumatic air scribes to prepare karoo fossils.,2022/06/29,Not stated,Not stated,,Within AA/AO mandate Noting,New
249,Q3 2022/23,2022/10/14,Iziko Museums of South Africa,Heritage asset Acquisition,South Atlantic Press,"R 38 000,00",Unique piece of artwork by Yonela Makoba - 'Uyafihla Mhlaba',2022/04/12,Not stated,Not stated,,Within AA/AO mandate Noting,New
250,Q3 2022/23,2022/10/14,Iziko Museums of South Africa,Motor Vehicle Repairs,Motus Ford Cape Town,"R 28 772,38","Repairs for Ford Ranger that could not start. No comparative quotes could be obtained as one agent could
service the vehicle to avoid additional/unexpected costs.",2022/06/21,Not stated,Not stated,,Within AA/AO mandate Noting,New
251,Q3 2022/23,2022/10/14,Iziko Museums of South Africa,Recruitment services,O'Brien recruitment,"R 51 777,37","No comparative quotes were obtainable as the service relates to the renewals (3) of a staff contract for a
placement done by this recruitment agency.",2022/05/27,Not stated,Not stated,,Within AA/AO mandate Noting,New
252,Q3 2022/23,2022/10/14,Iziko Museums of South Africa,Renewal of Planetarium presenter contracts,Sally Macfarlane,"R 600,00",Renewal of Planetarium presenter contracts with fixed hourly rates for period April 2022 - 31 March 2022,2022/04/12,Not stated,Not stated,,Within AA/AO mandate Noting,New
253,Q3 2022/23,2022/10/14,Iziko Museums of South Africa,Renewal of Planetarium presenter contracts,Bret Marshall Yotti,"R 600,00",Renewal of Planetarium presenter contracts with fixed hourly rates for period April 2022 - 31 March 2023,2022/04/12,Not stated,Not stated,,Within AA/AO mandate Noting,New
254,Q3 2022/23,2022/10/14,Iziko Museums of South Africa,"Research conducted on specialised laboratory
equipment",University of Pretoria,"R 16 100,00","Research conducted on specialised laboratory equipment. Three comparative quotes not obtainable as the
scientific analysis for research can only be done at the University of Pretoria lab.",2022/04/12,Not stated,Not stated,,Within AA/AO mandate Noting,New
255,Q3 2022/23,2022/10/14,Iziko Museums of South Africa,SAMA membership renewal,South African Museums Association,"R 3 000,00",SAMA membership renewal for 2022. No comparative quotation were obtainable.,2022/06/13,Not stated,Not stated,,Within AA/AO mandate Noting,New
256,Q3 2022/23,2022/10/14,Iziko Museums of South Africa,Services - replacement of broken cable ropes,V&A Waterfront,"R 21 913,83","To avoid damages to the wooden walkway, V&A needed to immediately replace broken cable ropes to
secure the SAS Somerset berthed at the Marina. No comparative quotes could be obtained",2022/06/30,Not stated,Not stated,,Within AA/AO mandate Noting,New
257,Q3 2022/23,2022/10/14,Iziko Museums of South Africa,Services- catering,Chef Daddy,"R 22 781,50","Requests to quote were sent to 14 service providers, but only 2 were willing to quote. The cheapest quote
was selected.",2022/06/01,Not stated,Not stated,,Within AA/AO mandate Noting,New
258,Q3 2022/23,2022/10/14,Iziko Museums of South Africa,"Services-analysis of Raman and Sem in the same
instrument.",University of Cape Town,"R 10 000,00",Sole service provider - the simultaneous analysis of Raman and Sem in the same instrument.,2022/06/29,Not stated,Not stated,,Within AA/AO mandate Noting,New
259,Q3 2022/23,2022/10/14,Iziko Museums of South Africa,The moving of printers,Bytes Documents Solutions,"R 3 413,80","The moving of printers could only be done by the Bytes from whom they are leased in terms of the
contractual obligations.",2022/04/29,Not stated,Not stated,,Within AA/AO mandate Noting,New
260,Q3 2022/23,2022/10/14,Iziko Museums of South Africa,Travel - Accommodation,Flywell Travel,"R 11 875,00","The booked accommodation for participants from the Kalahari iro a community engagement 13-15/03/2022
was found to be uncomfortable and unsuitable and other safer and suitable accommodation needed to be
booked at short notice for participants.",2022/06/30,Not stated,Not stated,,Within AA/AO mandate Noting,New
261,Q3 2022/23,2022/10/14,Iziko Museums of South Africa,Travel - Flights,Flywell Travel,"R 23 724,85","Travel agency was the only service provider able to secure flights with suitable times for the Chairperson of
Council and the CEO to attend a conference as required by DSAC .",2022/05/31,Not stated,Not stated,,Within AA/AO mandate Noting,New
262,Q3 2022/23,2022/10/14,"Media, Information and Communication
Technologies Sector Education and Training
Authority (MICT SETA)SETA","Procurement of office space for the MICT SETA
Cape Town regional office",Redefine Commercial (Pty) Ltd,"R 4 908 188,92","MICT SETA advertised and cancelled three tenders due to the non-responsiveness of received bids. To
ensure that there was no fourth cancellation, MICT SETA embark on a market search/identification of
properties and a limited bidding process.",2022/10/04,2022/12/01,2027/11/30,,Noting,New
263,Q3 2022/23,2022/12/13,Mintek,"design, management & reporting of clinical trials for
HIV1&2 test kits",Ubuntu Clinical Research,"R 6 777 092,80",Preferred Supplier,2022/12/13,Not Stated,Not Stated,,Noting,New
264,Q3 2022/23,2022/11/23,National Consumer Commission,Catering,Obutsha Consulting development solutions (Pty) Ltd,"R 1 0 500,00",Procurement by other means,2022/11/15,Not stated,Not stated,,Noting,New
265,Q3 2022/23,2022/11/23,National Consumer Commission,Laboratory Fabric Testing services,SABS,"R 3 239,41",Procurement by other means,2022/11/15,Not stated,Not stated,,Noting,New
266,Q3 2022/23,2022/10/11,National Development Agency,"Government Technology (Govtech) Seminar for two
IT officials",State Information Technology Agency (SITA),"R 26 400,00",Procurement by other means,Not stated,Not stated,2022/09/06,,Noting,New
267,Q3 2022/23,2022/10/11,National Development Agency,"Office space for Provincial Office: Durban
(KwaZulu-Natal)",Delta Property Fund,"R 604 314,00",Procurement by other means,Not stated,Not stated,2022/09/06,,Noting,New
268,Q3 2022/23,2022/10/11,National Development Agency,"Profiling the NDA in the Trialogue Business in
Society Handbook 2022 Publication",Trialogue (Pty) Ltd,"R 58 650,00",Procurement by other means,Not stated,Not stated,2022/09/06,,Noting,New
269,Q3 2022/23,2022/10/11,National Development Agency,"Replace damaged Laptop Screen (Dell Latitude
E5420)",Dell Technologies,"R 2 511,54",Procurement by other means,Not stated,Not stated,2022/09/06,,Noting,New
270,Q3 2022/23,2022/11/04,National Research Foundation (NRF),Purchase two (2) licenses x Flip PDF Plus Pro,Flipbuilder.com,"R 7 038,04","Single Source: Purchase two (2) licenses for an application called Flip PDF Plus Pro which allows for the
uploading of the PDF to the NRF website as well as provides a range of user experience and GUI features
that make the PDF more interactive and easier to read. USD $399",2022/10/18,Once Off,Once Off,,Within AA/AO mandate Noting,New
271,Q3 2022/23,2022/10/24,National Research Foundation (NRF),"2nd Annual Employee Mental Health & Wellbeing
Conference to be held from 16 to 17 November
2022",Robert Edwin Conference,"R 56 316,00","Single Source: 2nd Annual Employee Mental Health & Wellbeing Conference offered by a preferred industry
specialist.",2022/10/21,Once Off,Once Off,,Within AA/AO mandate Noting,New
272,Q3 2022/23,2022/09/20,National Research Foundation (NRF),Access Control – Software system,Ian Stanbridge & Associates (PTY) (Ltd),"R 500,00",Emergency,2022/09/15,Once Off,Once Off,,Within AA/AO mandate Noting,New
273,Q3 2022/23,2022/10/07,National Research Foundation (NRF),Annual CORE™ License Maintenance Renewal,Imagine It (Pty) Ltd,"R 215 280,00","Single Source: Letter27 – Imagine It (Pty) Ltd is the Authorised Distributor of Zuken Vitech Inc. products in
South Africa amongs other resellers in the globe, it has an exclusive rights to supply their software solutions
and training, which includes CORE™.Annual renewal of CORE™ license maintenance is required for
continued use of the software with access to patches, upgrades and user call support",2022/09/24,2022/10/01,2023/09/30,,Within AA/AO mandate Noting,New
274,Q3 2022/23,2022/10/24,National Research Foundation (NRF),"Attended to various plumbing defects at security
guard house.",H.E.B Maintenance (PTY) LTD,"R 10 172,90",Emergency: Attended to various plumbing defects at security guard house.,2022/10/24,Once Off,Once Off,,Within AA/AO mandate Noting,New
275,Q3 2022/23,2022/09/20,National Research Foundation (NRF),"Checking /Repair / Calibration M208A 8 Channel
IEPE Signal Conditioner No. 150176",Metra MeB-und Frequenztechnik,"R 10 368,00",Single Source,2022/09/13,Once Off,Once Off,,Within AA/AO mandate Noting,New
276,Q3 2022/23,2022/09/20,National Research Foundation (NRF),"GAme drive services at Kruger National Park to be
provided by SANParks. This for transport for
delegates of the SAEON Science Meeting to a
research site for a scheduled fieldtrip day",SANPARKS,"R 40 425,00",Single source,2022/09/09,2022/09/19,2022/10/31,,Within AA/AO mandate Noting,New
277,Q3 2022/23,2022/10/21,National Research Foundation (NRF),"Geometric Setup and Service Test of Hwacheon Hi-
Tech 350BL YSMC",WD Hearn,"R 6 641,25","Sole Source: The Hwacheon machining center is an integral piece of equipment in the workshop. This is
preventative maintenance. WD Hearn are the agents for the machine. Please find accompanying
documents.",2022/10/11,Once Off,Once Off,,Within AA/AO mandate Noting,New
278,Q3 2022/23,2022/09/20,National Research Foundation (NRF),Internet Services for iThemba LABS,TENET,"R 73 811,04",Single Source,2022/09/09,Once Off,Once Off,,Within AA/AO mandate Noting,New
279,Q3 2022/23,2022/09/27,National Research Foundation (NRF),IPM Annual Convention of 2022,Institute of People Management,"R 96 600,00","Single Source: Seven Human Resources Managers to attend the 66th IPM Annual Convention 2022 at Sun
City Resort from the 17th – 18th October 2022. IPM is the preferred professional membership body
representing the Human Resource and People Management",2022/09/22,Once Off,Once Off,,Within AA/AO mandate Noting,New
280,Q3 2022/23,2022/10/07,National Research Foundation (NRF),Major Service of Generator,Devco Power,"R 14 419,00","Emergency: We have tested the market and done an RFQ on numerous occasions. The recommended
service providers were found to be non-compliant. The 3 quotes system may result in the generator failing.
Business cannot afford the generator to fail as then the core business will be affected.",2022/10/04,Once Off,Once Off,,Within AA/AO mandate Noting,New
281,Q3 2022/23,2022/09/20,National Research Foundation (NRF),"Mathworks MATLAB institute wide license (IWL)
ramp-up version pricing",Opti-Num Solutions,"R 690 000,00",Sole Source,2022/09/15,2022/10/01,2023/09/30,,Within AA/AO mandate Noting,New
282,Q3 2022/23,2022/11/04,National Research Foundation (NRF),Monthly Service Fee,Aqua King SA (PTY) LTD,"R 37 359,90","Single source: This is the service provider who installed the Water Filtration System At Sutherland and is
currently used to service the system on a monthly basis as well as monitoring it and replacing chemicals if,
and when necessary.",2022/10/27,Once Off,Once Off,,Within AA/AO mandate Noting,New
283,Q3 2022/23,2022/09/20,National Research Foundation (NRF),One NRF exhibition space at Sciefest Africa 2022,National Arts FestivalGrahamstown,"R 49 676,40",Single source,2022/08/19,2022/09/07,2022/09/13,,Within AA/AO mandate Noting,New
284,Q3 2022/23,2022/11/04,National Research Foundation (NRF),"Participation fee for 2022 Nano Africa
Conference",CPUT,"R 50 000,00","Single Source:The rights to organize and facilitate the conference have only been granted to CPUT. South
African Nanotechnology Initiative (SANI) has not given permission to any other vendors or organizations to
plan and host the 2022 NanoAfrica conference including the South African Nanoscience and
Nanotechnology Summer School.",2022/10/27,28-Oct-22,29-Oct-22,,Within AA/AO mandate Noting,New
285,Q3 2022/23,2022/10/21,National Research Foundation (NRF),"Payment of Customs duty and tax to Fedex Express
for Agatha Inflatable gasket and Loading cell that
were procured from Comecer S.P.A (an
international company)",Fedex Express South Africa,"R 2 842,35","Single Source: The autoclave needs to be stripped before a quotation can be submitted and it is impractical
to send the autoclave to a minimum of three supplier for strip and quote.",2022/10/19,Once Off,Once Off,,Within AA/AO mandate Noting,New
286,Q3 2022/23,2022/09/27,National Research Foundation (NRF),Procurement of AA Lamps from Perkin Elmer.,Perkin Elmer South Africa,"R 29 670,00","Sole Source: Perkin Elmer is the sole supplier for Perkin Elmer Analytical Science, Life Science and
Diagnostics equipment and service within South Africa.",2022/09/16,Once Off,Once Off,,Within AA/AO mandate Noting,New
287,Q3 2022/23,2022/09/27,National Research Foundation (NRF),"Procurement of Beckhoff Components from
Beckhoff Pty Ltd",Beckhoff Automation,"R 29 790,24",Sole Source: Beckhoff Automation is the sole supplier of the components.,2022/09/19,Once Off,Once Off,,Within AA/AO mandate Noting,New
288,Q3 2022/23,2022/09/27,National Research Foundation (NRF),"Procurement of Thermal paper, parafilm and ICP
water from Merck Life Science Pty Ltd",Merck Life Sciences (Pty) Ltd,"R 17 826,15",Sole Source: Merck Life Science is the sole supplier of items within South Africa.,2022/09/19,Once Off,Once Off,,Within AA/AO mandate Noting,New
