3.1 GOVERNANCE MONITORING AND COMPLIANCE: 2024/2025 QUARTER 1 REPORT EXPANSIONS,,,,,,,,,,,,,
Number,"Period / Quarter
(Use dropdown List)","Date Received By GMC
(yyyy/mm/dd)","Entity/Department
(Use dropdown List)",Project Description,Supplier / Service Provider,Reason for Expansion,"Value of Contract Expansion
[R]","Original Contract Value
[R]","Value of Previous
Expansion
[R]","Award by AO/ AA date
(yyyy/mm/dd)","Contract start date
(yyyy/mm/dd)","Contract expiry date
(yyyy/mm/dd)","Status
(Use dropdown List)"
191,Q1 2024/25,2024/04/11,"The South African National Roads Agency SOC Ltd
(SANRAL)","Routine Road Maintenance Of National Route 2, Section 29,
From Km 53.57 To Section 31, Km 32.89; And National Route 22,
Section 1, From Km 0.00 To Section 5, Km 40.32 In The
Umkhanyakude District Municipality",Rail Refurb Cc,Countinuation of service,"R79 135 461,80","R121 924 019,48","R201 059 481,28",2024/04/11,Not Stated,2024/08/31,Reported
192,Q1 2024/25,2024/04/11,"The South African National Roads Agency SOC Ltd
(SANRAL)","Consulting Engineering Services For The Routine Road
Maintenance Of National Routes 2, Section 31, Km 32.89, To
Section 32, Km 70.16 And National Route 69, Section 5, Km 0.00
To Km 9.63, In The Zululand District Municipality",Zimile Consulting Engineers (Pty) Ltd,Countinuation of service,R -,"R19 730 550,00","R19 730 550,00",2024/04/11,Not Stated,2024/08/31,Reported
193,Q1 2024/25,2024/04/11,"The South African National Roads Agency SOC Ltd
(SANRAL)","Routine Road Maintenance Of National Routes 2, Section 31, Km
32.89, To Section 32, Km 70.16 And National Route 69, Section
5, Km 0.00 To Km 9.63, In The Zululand District Municipality",Rail Refurb Cc,Countinuation of service,"R45 112 766,65","R75 939 885,45","R121 052 652,10",2024/04/11,Not Stated,2024/08/31,Reported
194,Q1 2024/25,2024/04/11,"The South African National Roads Agency SOC Ltd
(SANRAL)","Consulting Engineering Services For The Routine Road
Maintenance On National Route N11 From The Bergville
Interchange (N11/1- Km 0.00) To Volksrust (N11/4 - Km 50.4)",Zimile Consulting Engineers (Pty) Ltd,Countinuation of service,R -,"R17 520 250,00","R17 520 250,00",2024/04/11,Not Stated,2024/08/31,Reported
195,Q1 2024/25,2024/04/11,"The South African National Roads Agency SOC Ltd
(SANRAL)","The Routine Road Maintenance On National Route N11 From The
Bergville Interchange (N11/1- Km 0.00) To Volksrust (N11/4 - Km
50.4) In The Uthukela And Amajuba District Municipalities",Rail Refurb Cc,Countinuation of service,R -,"R121 518 518,18","R121 518 518,18",2024/04/11,Not Stated,2024/08/31,Reported
196,Q1 2024/25,2024/04/11,"The South African National Roads Agency SOC Ltd
(SANRAL)","Consulting Engineering Services For The Routine Road
Maintenance Of National Routes N2 Section 21X Km 0.00 To N2
Section 22X Km 29.60 And N2 Section 22 Km 0.00 To N2 Section
23 Km 44.78 In The Sisonke And Ugu District Municipalities",Zimile Consulting Engineers (Pty) Ltd,Countinuation of service,R -,"R17 151 634,75","R17 151 634,75",2024/04/11,Not Stated,2024/08/31,Reported
197,Q1 2024/25,2024/04/11,"The South African National Roads Agency SOC Ltd
(SANRAL)","Routine Road Maintenance Of National Route 2 Section 21X Km
0.00 To N2 Section 22X Km 29.60 And N2 Section 22 Km 0.00 To
N2 Section 23 Km 44.78, In The Harry Gwala And Ugu District
Municipalities",Vea Road Maintenance & Civils (Pty) Ltd,Countinuation of service,"R65 691 961,17","R211 355 895,25","R277 047 856,42",2024/04/11,Not Stated,2024/08/31,Reported
198,Q1 2024/25,2024/04/17,Air Traffic and Navigation Services (ATNS),"Repair flood damaged roads as well as areas where the power
supply cables to ATNS Blesberg Radar Site were exposed and
damaged",Western Ocean Investment 112cc,Countinuation of service,"R1 477 405,00","R7 537 918,38",R-,2024/03/03,2024/04/12,2031/01/31,Reported
199,Q1 2024/25,2024/04/19,South African Civil Aviation Authority (SACAA),"Additional Tickets and Speed fencing for the SACAA 25 years
Anniversary Celebration Airshow",Creative Space Media,Countinuation of service,"R28 450,00","R891 192,50","R108 744,00",2024/04/19,Not Stated,Not Stated,Reported
200,Q1 2024/25,2024/05/02,Road Traffic Management Corporation (RTMC),Office space and classrooms at Denel Kempton Park campus,ACSA and Denel,Increasing capacity to accomodate more learners,"R23 804 754,50","R113 020 653,14","R46 824 892,47",2024/03/27,2024/04/01,2024/06/30,Reported
201,Q1 2024/25,2024/04/12,Railway Safety Regulator (RSR),Security Services,Sinqobile Equestrian Security Services,"Extension of contract duration for a period of six (6) months, from 1 April 2024 to 30 September
2024","R468 993,00","R1 386 046,84",R-,2024/03/25,2024/04/01,2024/09/30,Reported
202,Q1 2024/25,2024/04/26,"Petroleum, Oil and Gas Corporation of South Africa
(PetroSA)",Fuelline Ser Kpa,Spm Aircraft Fuelline Services,Operational Requirement,"R963 558,00","R2 410 000,00",R-,2024/04/26,2023/05/04,2024/06/30,Reported
203,Q1 2024/25,2024/04/26,"Petroleum, Oil and Gas Corporation of South Africa
(PetroSA)",Agency Fees,Nncd Trading,Operational Requirement,"R963 558,00","R2 410 000,00",R-,2024/04/26,2023/05/05,2024/06/30,Reported
204,Q1 2024/25,2024/04/30,Road Accident Fund (RAF),Audio-Visual equipment rental,Sizwe IT,Countinuation of service,"R1 134 598,95","R20 076 878,25","R1 890 998,23",2024/04/30,Not Stated,2024/09/24,Reported
205,Q1 2024/25,2024/04/30,Road Accident Fund (RAF),Security Guarding Services,Sekwayo Holdings (Pty) Ltd,Countinuation of service,"R197 940,80","R494 852,01",R-,2024/04/30,Not Stated,2024/05/31,Reported
206,Q1 2024/25,2024/04/30,Road Accident Fund (RAF),Security Guarding Services,"Inspired Management Projects and security
services (Pty) Ltd",Countinuation of service,"R222 631,60","R679 894,80","R204 719,80",2024/04/30,Not Stated,2024/05/31,Reported
207,Q1 2024/25,2024/04/30,Road Accident Fund (RAF),Security Guarding Services,Charley Tite Security (Pty) Ltd,Countinuation of service,"R170 884,30","R341 688,60","R85 422,15",2024/04/30,Not Stated,2024/05/31,Reported
Number,"Period / Quarter
(Use dropdown List)","Date Received By GMC
(yyyy/mm/dd)","Entity/Department
(Use dropdown List)",Project Description,Supplier / Service Provider,Reason for Expansion,"Value of Contract Expansion
[R]","Original Contract Value
[R]","Value of Previous
Expansion
[R]","Award by AO/ AA date
(yyyy/mm/dd)","Contract start date
(yyyy/mm/dd)","Contract expiry date
(yyyy/mm/dd)","Status
(Use dropdown List)"
208,Q1 2024/25,2024/04/30,Road Accident Fund (RAF),Security Guarding Services,Rakhutsetsa Security (Pty) Ltd,Countinuation of service,"R161 690,00","R323 380,00","R80 845,00",2024/04/30,Not Stated,2024/05/31,Reported
209,Q1 2024/25,2024/04/30,Road Accident Fund (RAF),Security Guarding Services,Femani Security (Pty) Ltd,Countinuation of service,"R175 050,00","R328 700,00","R87 525,00",2024/04/30,Not Stated,2024/05/31,Reported
210,Q1 2024/25,2024/04/30,Road Accident Fund (RAF),Security Guarding Services,Elkon Security (Pty) Ltd,Countinuation of service,"R101 915,44","R203 830,88","R50 957,72",2024/04/30,Not Stated,2024/05/31,Reported
211,Q1 2024/25,2024/04/30,Road Accident Fund (RAF),Security Guarding Services,Distinctive Choice Security (Pty) Ltd,Countinuation of service,"R232 324,00","R348 486,00",R-,2024/04/30,Not Stated,2024/05/31,Reported
212,Q1 2024/25,2024/04/30,Road Accident Fund (RAF),Additional Licenses,Gartner South Africa(Pty) Ltd,Countinuation of service,"R3 378 076,00","R10 398 875,00",R-,2024/04/30,Not Stated,2024/04/30,Reported
213,Q1 2024/25,2024/04/30,Road Accident Fund (RAF),Openscape telephony system,Plus1X Communications (Pty)Ltd,Countinuation of service,"R3 478 579,80","R9 441 414,83",R-,2024/04/30,Not Stated,2024/05/31,Reported
214,Q1 2024/25,2024/05/08,"Petroleum, Oil and Gas Corporation of South Africa
(PetroSA)",Internet Services,Vodacom,Operational Requirement,"R900 000,00","R12 166 900,00","R4 141 000,00",5/8/2024,4/1/2024,6/30/2024,Reported
215,Q1 2024/25,2024/05/08,"Petroleum, Oil and Gas Corporation of South Africa
(PetroSA)",Wan & Voice Services,Vodacom,Operational Requirement,"R454 500,00","R15 500 000,00","R1 211 500,00",5/8/2024,4/1/2024,6/30/2024,Reported
216,Q1 2024/25,2024/05/09,Road Accident Fund (RAF),Additional Funds to cover office Electricity Bill,Al Kimmie Properties (Pty) Ltd,Countinuation of service,"R40 286,80","R743 707,20",R-,5/9/2024,Not Stated,2/28/2025,Reported
217,Q1 2024/25,2024/05/09,Road Accident Fund (RAF),Gheberha Lease Extension,Premier Precision Properties (Pty)Ltd,Countinuation of service,"R517 446,46","R1 239 138,76",R-,5/9/2024,Not Stated,9/30/2024,Reported
218,Q1 2024/25,2024/05/09,Road Accident Fund (RAF),Cape Town Regional Office lease,Thibault Investments (Pty) Ltd,Countinuation of service,"R21 273 295,02","R43 278 570,00","R28 650 180,00",5/9/2024,Not Stated,10/31/2024,Reported
219,Q1 2024/25,2024/05/09,Road Accident Fund (RAF),East London Regional Office lease,Eagle House (Pty) Ltd,Countinuation of service,"R14 297 199,93","R34 609 488,18","R45 862 817,61",5/9/2024,Not Stated,10/31/2024,Reported
220,Q1 2024/25,2024/05/09,Road Accident Fund (RAF),Durban Regional Office lease,Delta Fund (Pty) Ltd,Countinuation of service,"R23 376 012,53","R21 329 465,24","R17 791 683,12",5/9/2024,Not Stated,11/9/2024,Reported
221,Q1 2024/25,2024/05/09,Road Accident Fund (RAF),IBM database tools and modernization,"Reagola Computer and Management
Services (Pty) Ltd",Countinuation of service,R-,"R989 000,00",R-,5/9/2024,4/22/2024,8/1/2025,Reported
222,Q1 2024/25,2024/05/09,Road Accident Fund (RAF),Offsite storage- JHB Office (extension of period of contract),Metrofile (Pty) Ltd,Countinuation of service,R-,"R1 000 000,00",R-,5/9/2024,4/16/2024,10/24/2024,Reported
223,Q1 2024/25,2024/05/09,Road Accident Fund (RAF),Offsite storage-Menlyn office,Metrofile (Pty) Ltd,Countinuation of service,R-,"R1 000 000,00",R-,5/9/2024,4/16/2024,10/24/2024,Reported
224,Q1 2024/25,2024/05/09,Road Accident Fund (RAF),Offsite storage-Cape Town Office,Metrofile (Pty) Ltd,Countinuation of service,R-,"R500 000,00",R-,5/9/2024,4/16/2024,10/25/2024,Reported
225,Q1 2024/25,2024/05/09,Road Accident Fund (RAF),Offsite storage-Durban Office,Metrofile (Pty) Ltd,Countinuation of service,R-,"R1 000 000,00",R-,5/9/2024,4/16/2024,11/19/2024,Reported
226,Q1 2024/25,2024/05/09,Road Accident Fund (RAF),Security system maintenance,PT Alarms Fire and Security (Pty) Ltd,Countinuation of service,"R179 491,82","R179 493,13",R-,5/9/2024,4/19/2024,9/19/2024,Reported
227,Q1 2024/25,2024/05/09,Road Accident Fund (RAF),Security system maintenance,Omega Fire and Security,Countinuation of service,"R115 632,50","R353 682,50","R351 932,50",5/9/2024,4/26/2024,10/31/2024,Reported
228,Q1 2024/25,2024/05/09,Road Accident Fund (RAF),Security system maintenance,Multi-Locking Vehicle Tracking (Pty) Ltd,Countinuation of service,"R149 730,00","R149 730,00","R149 730,00",5/9/2024,4/26/2024,10/31/2024,Reported
229,Q1 2024/25,2024/05/09,Road Accident Fund (RAF),Security system maintenance,Multi-Locking Vehicle Tracking (Pty) Ltd,Countinuation of service,"R149 730,00","R174 685,00","R149 730,00",5/9/2024,4/26/2024,10/31/2024,Reported
230,Q1 2024/25,2024/05/09,Road Accident Fund (RAF),Security system maintenance,Multi-Locking Vehicle Tracking (Pty) Ltd,Countinuation of service,"R149 730,00","R174 685,00","R149 730,00",5/9/2024,4/26/2024,10/31/2024,Reported
231,Q1 2024/25,2024/05/09,Road Accident Fund (RAF),Datacentre Hosting Service Power billing,Vodacom (Pty) Ltd,Countinuation of service,"R1 388 456,64","R50 345 946,34","R72 822 180,32",5/9/2024,4/30/2024,9/29/2024,Reported
232,Q1 2024/25,2024/05/09,Road Accident Fund (RAF),Extension of lease agreement,Mamari Holdings (Pty) Ltd,Countinuation of service,"R529 031,00","R470 835,00",R-,5/9/2024,4/30/2024,10/31/2024,Reported
233,Q1 2024/25,2024/05/09,National Energy Regulator of South Africa (NERSA),Support Services for SAGE VIP,Red Ember Technology Pty Ltd,Extension of the contract period to accommodate the implementation of SAGE 300 People Module.,R-,"R342 730,00",R-,2024/04/17,2024/05/24,2025/05/31,Reported
234,Q1 2024/25,2024/05/09,National Energy Regulator of South Africa (NERSA),Insurance Brokerage Services,"Silver Lakes Trading 305 Pty Ltd t/a
Opulentia Financial Services Pty Ltd",Variation of contract value to cover the 2024/2025 Financial year.,"R962 180,00","R3 604 843,96",R-,2024/04/23,2020/09/01,2025/03/31,Reported
235,Q1 2024/25,2024/05/17,"South African Health Products Regulatory Authority
(SAPHRA)","WAN, internet and data contract services",MTN,New tender yet to be finalised,"R297 260,00","R4 547 615,66","R525 900,88",2024/05/03,2024/05/01,2024/07/31,Reported
236,Q1 2024/25,2024/05/17,"South African Health Products Regulatory Authority
(SAPHRA)","Office Space Rental expansion for Port/Border for Medicines
Control Technicians",ACSA,Office space,"R427 176,97","R1 691 280,28","R252 815,41",2024/05/17,2023/04/01,2028/03/31,Reported
237,Q1 2024/25,2024/05/23,Department of Basic Education (DBE),Mimecast services,SMS ICT Choice,New tender yet to be finalised at SITA,"R36 245,70","R1 304 845,20","R362 457,00",2023/06/21,2024/04/01,2024/04/30,Reported
238,Q1 2024/25,2024/05/20,"Petroleum, Oil and Gas Corporation of South Africa
(PetroSA)",FA Platform Link,Business Connexion,Operational Requirement,"R375 000,00","R2 289 326,47","R1 537 069,95",2024/05/13,2019/10/01,2024/07/31,Reported
239,Q1 2024/25,2024/05/22,"Petroleum, Oil and Gas Corporation of South Africa
(PetroSA)",Security Services,Fidelity Security Services,Operational Requirement,"R354 203,00","R550 000,00",R-,2024/05/20,2023/06/01,2024/09/30,Reported
240,Q1 2024/25,2024/05/14,Mining Qualifications Authority (MQA),investigation in relation to theft of assets,Analytical Forensic Investigation Services,Extension of Services Level Agreement period,R-,"R222 283,75",R-,2024/05/03,Not Stated,2024/08/04,Reported
241,Q1 2024/25,2024/05/14,Mining Qualifications Authority (MQA),Tracking and tracer research,Khumbula Consulting,Extension of Services Level Agreement period,R-,"R678 500,00",R-,2024/05/13,Not Stated,2024/07/31,Reported
242,Q1 2024/25,2024/05/14,Mining Qualifications Authority (MQA),Tracking and tracer research,Mzabalazo Advisory Services,Extension of Services Level Agreement period,R-,"R487 600,00",R-,2024/05/13,Not Stated,2024/07/31,Reported
243,Q1 2024/25,2024/05/31,Road Accident Fund (RAF),Security guarding services,MMZ21 Security Services (Pty) Ltd,Continuation of service,"R422 142,00","R422 142,00",,5/31/2024,2024/05/15,2024/07/31,Reported
244,Q1 2024/25,2024/05/31,Road Accident Fund (RAF),Security guarding services,Bagale Security Protocols (Pty) Ltd,Continuation of service,"R124 277,52","R188 566,28","R124 277,52",5/31/2024,2024/05/09,2024/07/12,Reported
245,Q1 2024/25,2024/05/31,Road Accident Fund (RAF),Support and maintenance of Oracle licenses,Oracle Corporation South Africa (Pty) Ltd,Continuation of service,"R5 176 750,78","R15 632 705,11",R-,5/31/2024,2024/04/26,Not Stated,Reported
246,Q1 2024/25,2024/06/06,Road Traffic Management Corporation (RTMC),Office leases,Various Lease Providers,Continuation of service,"R11 590 649,76","R153 280 910,50","R42 000 974,93",5/30/2024,2024/07/01,2024/12/31,Reported
247,Q1 2024/25,2024/06/04,"Petroleum, Oil and Gas Corporation of South Africa
(PetroSA)",Book Safety Authorisation A4 50 per Book,Mosselbaai Grafika,Operational Requirement,"R516,33","R1 032,67",R-,5/30/2024,2024/05/30,2024/05/30,Reported
248,Q1 2024/25,2024/06/04,"Petroleum, Oil and Gas Corporation of South Africa
(PetroSA)",Cleaning Services at Tzaneen Depot & Bloemfontein Depot,Pest Control Hygiene and Cleaning,Operational Requirement,"R300 720,00","R1 604 534,40",R-,5/31/2024,2021/03/01,2024/08/30,Reported
249,Q1 2024/25,2024/06/13,Road Accident Fund (RAF),Maintainance and Support of licenses,Oracle (South Africa) (Pty) Ltd,Continuation of service,"R11 894 674,69","R15 632 705,11","R5 176 750,78",2024/06/13,2023/02/21,2025/08/31,Reported
250,Q1 2024/25,2024/06/13,Road Accident Fund (RAF),Intergrated Claims Management System(ICMS) Project Bokamoso,PricewaterhouseCoopers (PwC),Continuation of service,"R18 939 590,55","R841 916 085,00",R-,2024/06/13,2022/10/31,2027/10/31,Reported
251,Q1 2024/25,2024/06/13,Road Accident Fund (RAF),Rental of Laptops,Savvy ICT Solution (Pty) Ltd,Continuation of service,"R61 198,00","R663 250,00","R164 399,20",2024/06/13,2023/08/31,30/06/2024,Reported
252,Q1 2024/25,2024/03/15,SENTECH,"The comprehensive classification of records in accordance with
the file plan",MetroFile,Request for extension of Records and Arching contract with Metrofile,"R 2 70 000,00","R 2 70 000,00",R -,2024/03/05,2018/12/10,2025/03/08,Reported
253,,,,,,,,,,,,,Reported
Number,"Period / Quarter
(Use dropdown List)","Date Received By GMC
(yyyy/mm/dd)","Entity/Department
(Use dropdown List)",Project Description,Supplier / Service Provider,Reason for Expansion,"Value of Contract Expansion
[R]","Original Contract Value
[R]","Value of Previous
Expansion
[R]","Award by AO/ AA date
(yyyy/mm/dd)","Contract start date
(yyyy/mm/dd)","Contract expiry date
(yyyy/mm/dd)","Status
(Use dropdown List)"
254,Q1 2024/25,2024/03/18,Department of Employment and Labour (DEL),"1.1 approve the extension of the contract between the
Department of Employment and Labour and Alteram soulutions for
a period not exceeding two years of the master service
agreement. 1.2 approve the contract variation (back-billing and
future contractual) cost relating to high-call volume as a results of
high demand of the unemployment insurance fun services.",Alteram solutions,"Clause 2.2 of the master service agreement allows the department to consider an extension of the
contract by s period not exceeding two years.","R 429 555 974,00","R 3 12 969 188,00","R 8 6 164 955,97",2024/03/15,2024/05/26,2026/05/27,Reported
255,Q1 2024/25,2024/03/20,Brand South Africa,Internal Audit Services,Blitz Forensics (Pty) Ltd,Expansion of Scope of work,"R 9 00 908,00","R 2 360 119,13",R -,2021/07/15,2021/08/16,2024/08/15,Reported
256,Q1 2024/25,2024/03/20,National Treasury,"NT001-2020│Appointment of a service provider to render
Security Guarding Services for the NT Building, 240 Madiba
Street Building, 40 Church Square Building, Tender Information
Centre, Karabo Parking cc",XTLG Consulting & Projects CC,"Adjustments based on the Annual Statutory Wage increases by the Private Security Industry
Regulatory Authority (PSIRA).","R 719 408,60","R 32 737 330,40","R 2 1 417 479,57",2024/03/18,2021/01/01,2024/06/30,Reported
257,Q1 2024/25,2024/03/24,South African Revenue Service (SARS),"Request to vary the existing contract with the State Information
Technology Agency (SITA) to maintain a dedicated SARS
Disaster Recovery (DR) facility at SITA as well as to procure
“housing services” from SITA","SITA PTY LTD (State Information
Technology Agency)",Value&time,"R 2 208 000,00","R 5 355 369,09","R 941 406,10",2024/03/19,2024/04/01,2025/03/25,Reported
258,Q1 2024/25,2024/03/26,Independent Regulatory Board for Auditors (IRBA),Internet services,Electronic Communication Networks,Extension of Duration,"R 50 253,00","R 324 347,00",R -,2024/04/01,2023/04/01,2024/03/30,Reported
259,Q1 2024/25,2024/03/26,South African Revenue Service (SARS),"Variation of the maintenance and support services of Baggage
and Cargo Scanners contract with Nuctech South Africa.",Nuctech South Africa (Pty) Ltd,Value&time,"R 72 607 940,58","R 281 400 000,00","R 5 174 477,67",2024/03/24,2024/04/01,2030/03/31,Reported
260,Q1 2024/25,2024/03/26,International Frontier Technologies SOC Ltd (Interfront),Internet links contract expansion and variation,Adept Internet (Pty) Ltd,"Business continuity-Thus we are asking for a 5-months extension to facilitate the move as opposed
to signing a new annual contract.","R 221 720,00","R 532 128,00",R -,2023/10/03,2022/11/18,2024/03/31,Reported
261,Q1 2024/25,2024/03/27,Independent Police Investigative Directorate (IPID),Departmental Catering Services: Thaba Nchu Pre-packed meals,Lioseole Trading Enterprise,Impracticality,"R 8 000,00","R 12 000,00",R -,2023/03/15,Not indicated,Not indicated,Reported
262,Q1 2024/25,2024/03/27,Independent Police Investigative Directorate (IPID),Departmental Catering Services: Thaba Nchu Pre-packed meals,Mamotse Kitchen,Impracticality,"R 12 500,00","R 23 592,00",R -,2023/03/11,Not indicated,Not indicated,Reported
263,Q1 2024/25,2024/03/27,Independent Police Investigative Directorate (IPID),"Provision for the supply, delivery and assembly of Office Furniture",Balistrom Trading & Projects (Pty) Ltd,Poor planning,"R 218 224,23","R 2 158 297,00",R -,2024/03/13,Not indicated,Not indicated,Reported
264,Q1 2024/25,2024/04/28,South African Revenue Service (SARS),Mitchells Plain - add diesel replenishment,"2 Degrees Properties (Pty) Ltd (a subsidiary
of Liberty Holdings Limited)","Addition of generator diesel replenishment on the current lease for the Mitchell’s Plain branch office
for the remaining period of lease.","R 170 359,22","R 14 362 608,70","R 20 054 143,56",2024/03/11,2024/03/01,2024/11/30,Reported
265,Q1 2024/25,2024/03/29,South African Revenue Service (SARS),Kiosk space,Various landloards,"To vary the scope and cater for the addition scope within the remaining funds as provided for under
EX 032/2022, to make use of various sites as facilities for the placement of SARS kiosks.","R 1,00","R 2 000 000,00",R -,2026/03/26,2022/11/22,2027/11/21,Reported
266,Q1 2024/25,2024/03/31,South African Revenue Service (SARS),Bokburg Lease renewal,Emerald Fire Investments,Extension of lease,"R 16 887 061,93","R 9 161 601,32","R 21 962 180,96",2024/03/11,2024/04/01,2029/03/31,Reported
267,Q1 2024/25,2024/03/31,South African Revenue Service (SARS),Paarl lease extension,Willie Rousseau Trust,Lease extension,"R 2 831 179,02","R 9 897 083,70","R 22 981 480,19",2024/03/31,2024/04/01,2025/03/31,Reported
268,Q1 2024/25,2024/03/31,South African Revenue Service (SARS),Krugersdorp Lease Extension,SA Dutch Investment CC,Lease Extension,"R 11 036 428,97","R 12 706 580,70","R 38 391 098,74",2024/03/31,2025/05/01,2027/04/30,Reported
269,Q1 2024/25,"Land
2024/04/03",and Agricultural Development Bank of South Africa (Land,"Bank)
Infinitus software training",Infinitus reporting PTY LTD,"The request for extension of the Financial Reporting Tool Service Level Agreement with Infinitus
Reporting for a period of 6.5 days and conversion of two “user” licences to “super user”","R 179 668,00","R 1 987 708,00","R 246 744,00",2024/02/21,2024/03/11,2025/09/19,Reported
270,Q1 2024/25,2024/04/03,Department of Employment and Labour (DEL),Approval for additional hours for the Lap review audit,Rain chartered accountants,Extension of duration,"R 24 610,00","R 285 064,00",R -,2024/03/18,Not indicated,Not indicated,Reported
271,Q1 2024/25,2024/04/04,South African Revenue Service (SARS),"Variation of Master Service Agreement (MSA) contract awarded
to Barone Budge and Dominick (Pty) Ltd for maintenance and
development",Barone Budge and Dominick (PTY) Ltd,Value,"R 176 190 289,00","R 396 073 100,00","R 1 975 099 615,00",2024/03/31,2023/01/31,2024/12/31,Reported
272,Q1 2024/25,2024/04/04,South African Post Office (SAPO),Insurance Broker,Indwe Risk Services,"The extension of the contract with another year of the balance of the original RFP term with the
option of renewal for the remainder of the RFP term of five (5) years from 01 July 2021. The bid of
five (5) years were awarded for a period of one (1) year due to SAPO's own moratorium on multi-","R 287 000,00","R 875 000,00","R 927 500,00",2023/07/30,2023/07/01,2024/06/30,Reported
273,Q1 2024/25,2024/04/04,South African Post Office (SAPO),Co-loading services for Docex,Skynet Courier,"Extension of contract is for period (on a month to month basis) and value while a competitive
bidding process is underway. Higher volumes depleted the original contract value","R 400 000,00","R 800 000,00",R -,2023/07/07,2022/08/01,2023/07/31,Reported
274,Q1 2024/25,2024/04/04,South African Post Office (SAPO),Co-loading services for Docex,Skynet Courier,"Extension of contract is for a value extension while a competitive bidding process is underway.
Higher volumes depleted the original contract value","R 400 000,00","R 800 000,00","R 400 000,00",2023/07/27,2022/08/01,2023/07/31,Reported
275,Q1 2024/25,2024/04/04,South African Post Office (SAPO),Guarding services for KZN,Vikela Protection Services,Extension of the contract while the RFP process is in progress and being finalised,"R 368 058,00","R 343 234,00",R -,2023/12/06,2023/12/28,2024/01/31,Reported
276,Q1 2024/25,2024/04/04,South African Post Office (SAPO),"Checkpoint Firewall Appliances Licences with maintenance and
support",Crocodile Dynamics,"The renewal process for the Checkpoint Firewalls and Management system started in November
2023 and then it came to lights that the appliances has been declared at end of life, meaning that
here will be no licences and support available. Therefore an extension of the contract for a period","R 5 200 000,00","R 5 213 079,00",R -,2024/02/19,2024/03/01,2025/02/28,Reported
277,Q1 2024/25,2024/04/04,South African Post Office (SAPO),Trend Micro Smart Protection Complete,Blue Turtle,"The extension of the contract for a period of one (1) year will allow SAPO to protect the environment
whilst the projects as part of the Business Rescue plan are implemented.","R 8 670 453,00","R 5 213 079,00",R -,2024/02/19,2024/04/01,2025/02/28,Reported
278,Q1 2024/25,2024/04/05,Department of Home Affairs (DHA),"Change request to implement morpho card capture (MCC) auto-
cropping solution on ABIS (IDEMIA)",IDEMIA,"Risk of slow processing of manual applications of IDs and passports that are received from the non-
modernised offices and will create an ongoing back-log that is created by the current MCC solution","R 1 271 647,00","R 409 885 716,00","R 67 576 974,80",2024/03/28,2024/04/01,2024/09/30,Reported
279,Q1 2024/25,2024/04/05,Department of Home Affairs (DHA),"Expansion of the scope of the existing security contracts of the
current service provider at Head Office to include digitization
project sites for a period of six months",Phuthadichaba Trading Enterprise CC,To cover the digitisation project sites,"R 2 024 001,56","R 21 769 741,22",R -,2024/03/28,2024/04/01,2024/10/03,Reported
280,Q1 2024/25,2024/04/05,Department of Home Affairs (DHA),"Expansion of scope for Phethogo JV contract to include the
search after limited indexing including data management and
analytics change order PHE0003",Phetogo JV,"Due to the huge indexing backlog which resulted in the inability to retrieve scanned documents that
have not been indexed.","R 3 211 139,25","R 498 691 138,20",R -,2024/03/28,2024/04/01,2025/12/20,Reported
281,Q1 2024/25,2024/04/05,Department of Home Affairs (DHA),"Expansion of scope for SMEC contract to cover the digitisation
project and the remaining seven months of the repositioning PMO
contract",SMEC,To cover the digitisation project,"R 3 211 139,25","R 14 533 816,86",R -,2024/03/28,2024/04/01,2024/10/03,Reported
282,Q1 2024/25,2024/04/05,Department of Home Affairs (DHA),Extension of HANIS and IJS support and maintenance,XON Systems,"Verification of BMCS exclusively for non-citizen travellers, conducted solely through HANIS, will not
be supported and the online verification services are extended to the banking and insurance sectors
and all security entities through the IJS","R 111 007 343,37","R 205 009 897,75","R 120 493 511,40",2024/03/28,2024/04/01,2025/03/31,Reported
283,Q1 2024/25,2024/04/05,Department of Home Affairs (DHA),"Extension to appoint Thales /Gemalto for continued use of Assure-
ID sentinel software to DHA systems at all Ports of Entry for a
period of one year",Thales / Gemalto SA,"Software is in use to authenticate passports of different countries during the processing of all
travelers in and out of the Republic.","R 5 096 468,80","R 13 409 947,60","R 4 972 319,40",2024/03/25,2024/04/01,2025/03/31,Reported
284,,2024/04/05,Department of Home Affairs (DHA),"Extention for the acquisition of two resources and appointment of
one additional resource for the support of mainframe systems for
a period of three years period lapsing 2027",N Smith,Scarcity of programming language knowledge in the market,"R 1 618 848,00",R -,R -,2024/03/18,2024/04/01,2025/03/31,Reported
Number,"Period / Quarter
(Use dropdown List)","Date Received By GMC
(yyyy/mm/dd)","Entity/Department
(Use dropdown List)",Project Description,Supplier / Service Provider,Reason for Expansion,"Value of Contract Expansion
[R]","Original Contract Value
[R]","Value of Previous
Expansion
[R]","Award by AO/ AA date
(yyyy/mm/dd)","Contract start date
(yyyy/mm/dd)","Contract expiry date
(yyyy/mm/dd)","Status
(Use dropdown List)"
285,Q1 2024/25,2024/04/05,Department of Home Affairs (DHA),"Extention for the acquisition of two resources and appointment of
one additional resource for the support of mainframe systems for
a period of three years period lapsing 2027",J Van Der Merwe,Scarcity of programming language knowledge in the market,"R 1 382 976,00",R -,R -,2024/04/18,2024/04/01,2025/03/31,Reported
