1059,Q4 2023/24,2024/03/13,,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and
dignity packs",Mahlethato,"R 13 560,00","Deviation,Emergency case as per SCM delegation 3.20 when
there is a serious and unexpected situation that poses an
immediate risk to health, life, property or environment.",2024/02/29,Once-off,Once-off,Reported
1060,Q4 2023/24,2024/03/13,,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and
dignity packs",Sqalo Holdings,"R 15 965,00","Deviation,Emergency case as per SCM delegation 3.20 when
there is a serious and unexpected situation that poses an
immediate risk to health, life, property or environment.",2024/02/29,Once-off,Once-off,Reported
1061,Q4 2023/24,2024/03/13,,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and
dignity packs",World Focus 1322,"R 45 995,00","Deviation,Emergency case as per SCM delegation 3.20 when
there is a serious and unexpected situation that poses an
immediate risk to health, life, property or environment.",2024/02/29,Once-off,Once-off,Reported
1062,Q4 2023/24,2024/03/14,,South African National Accreditation System (SANAS),PTS & Cal standards,SABS Commercial,"R 30 711,83",Sole source,2024/02/22,2024/02/22,2024/02/22,Reported
1063,Q4 2023/24,2024/03/14,,South African National Accreditation System (SANAS),Accreditation standards,SABS Commercial,"R 116 645,09",Sole source,2024/02/26,2024/02/26,2024/02/26,Reported
1064,Q4 2023/24,2024/03/12,,Special Investigating Unit (SIU),EHRG-M Ethics and HR Governance Conference,sa board for people practices (“sabpp”),"R 13 800,00","Single Source, Training (Conference)",2024/03/12,Not Stated,Not Stated,Reported
1065,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),supply and delivery of fruit and vegetables,phaahla mmakadikwe trading and projects,"R 866 500,00",No contract in place,2024/01/05,Once-off,Once-off,Reported
1066,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),bread ingredients,encemeni enterprise,"R 899 100,00",No contract in place,2024/01/08,Once-off,Once-off,Reported
1067,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),coal peas,untapped business,"R 996 300,00",No contract in place,2024/01/08,Once-off,Once-off,Reported
1068,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),jam & syrup,gaunet solutions,"R 453 000,00",No contract in place,2024/01/05,Once-off,Once-off,Reported
1069,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),fish hake,airpic life,"R 864 000,00",No contract in place,2024/01/04,Once-off,Once-off,Reported
1070,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),beef halaal,dee connects,"R 999 790,00",No contract in place,2024/01/11,Once-off,Once-off,Reported
1071,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),chicken halaal,maphisa group,"R 999 840,00",No contract in place,2024/01/16,Once-off,Once-off,Reported
1072,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),fruit & vegetables,tshwelelang lo dire,"R 780 500,00",No contract in place,2024/01/29,Once-off,Once-off,Reported
1073,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),brown sugar,mokgadikelucia trading,"R 980 000,00",No contract in place,2024/01/24,Once-off,Once-off,Reported
1074,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),beef halaal,izimpendulo,"R 999 900,00",No contract in place,2024/01/31,Once-off,Once-off,Reported
1075,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),perishable provisionings (bread brown sliced 700 grams),tasveer trading cc.,"R 918 000,00",No contract in place,2024/01/09,Once-off,Once-off,Reported
1076,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),perishable provisions (poultry - chicken),delfina trading (pty) ltd.,"R 859 740,00",No contract in place,2024/01/12,Once-off,Once-off,Reported
1077,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),perishable provisions (beef halaal),siphonzi trading (pty) ltd.,"R 998 100,00",No contract in place,2024/01/12,Once-off,Once-off,Reported
1078,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),perishable provisions (fruit & vegetables),nanak wholesalers,"R 994 000,00",No contract in place,2024/01/15,Once-off,Once-off,Reported
1079,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),beef meat,shany services,"R 845 000,00",No contract in place,2024/01/15,Once-off,Once-off,Reported
1080,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),toiletries,umcebo we africa reading & projects,"R 576 080,00",No contract in place,2024/01/15,Once-off,Once-off,Reported
1081,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),non-perishable provisions (milk powder),empowerment now group (pty) ltd.,"R 960 000,00",No contract in place,2024/01/30,Once-off,Once-off,Reported
1082,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),whey milk,chilogo agricultural supplies,"R 306 000,00",No contract in place,2024/01/16,Once-off,Once-off,Reported
1083,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),brown bread,tasveer trading,"R 45 800,00",No contract in place,2024/01/22,Once-off,Once-off,Reported
1084,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),brown bread,ligciniwe services,"R 50 000,00",No contract in place,2024/01/22,Once-off,Once-off,Reported
1085,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),fish hake,valuemark trading,"R 398 400,00",No contract in place,2024/01/25,Once-off,Once-off,Reported
1086,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),fruits and vegetables,phemba dobo 58 services,"R 950 200,00",No contract in place,2024/01/26,Once-off,Once-off,Reported
1087,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),bread,gories enterprise,"R 903 340,00",No contract in place,2024/01/18,Once-off,Once-off,Reported
1088,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),supply and delivery of beef forequater,al mabroor,"R 981 820,00",No contract in place,2024/01/31,Once-off,Once-off,Reported
1089,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),supply and delivery of sliced brown bread,rising fast,"R 743 400,00",No contract in place,2024/01/31,Once-off,Once-off,Reported
1090,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),supply and delivery of whole frozen chicken,spectator supplies,"R 932 362,40",No contract in place,2024/01/31,Once-off,Once-off,Reported
1091,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),perishables,tura tura,"R 243 340,00",No contract in place,2024/01/18,Once-off,Once-off,Reported
1092,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),perishables,tinymart solutions & services,"R 378 049,00",No contract in place,2024/01/17,Once-off,Once-off,Reported
1093,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),perishables,fizzjen,"R 55 000,00",No contract in place,2024/01/17,Once-off,Once-off,Reported
1094,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),perishables,krooz,"R 197 800,00",No contract in place,2024/01/23,Once-off,Once-off,Reported
1095,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),perishables,cg & son,"R 931 500,00",No contract in place,2024/01/23,Once-off,Once-off,Reported
1096,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),perishables,tugals,"R 366 080,00",No contract in place,2024/01/24,Once-off,Once-off,Reported
1097,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),non-perishables,carbon cense,"R 64 375,00",No contract in place,2024/01/26,Once-off,Once-off,Reported
1098,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),perishables,malans factory shop,"R 409 311,00",No contract in place,2024/01/26,Once-off,Once-off,Reported
1099,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),perishables,mantech security systems,"R 21 624,00",No contract in place,2024/01/12,Once-off,Once-off,Reported
1100,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),non-perishables,sehume supply,"R 827 100,00",No contract in place,2024/01/22,Once-off,Once-off,Reported
1101,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),non-perishables,bright view projects,"R 762 550,00",No contract in place,2024/01/27,Once-off,Once-off,Reported
1102,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),non-perishables,winfred contracting,"R 573 751,00",No contract in place,2024/01/02,Once-off,Once-off,Reported
1103,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),non-perishables,mandzunyu holdings,"R 123 413,00",No contract in place,2024/01/02,Once-off,Once-off,Reported
1104,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),perishables,irmasing ent,"R 892 000,00",No contract in place,2024/01/10,Once-off,Once-off,Reported
1105,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),perishables,busy corner wholesalers,"R 788 900,00",No contract in place,2024/01/11,Once-off,Once-off,Reported
1106,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),perishables,olweba,"R 137 500,00",No contract in place,2024/01/17,Once-off,Once-off,Reported
1107,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),perishables,veloster,"R 330 000,00",No contract in place,2024/01/18,Once-off,Once-off,Reported
1108,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),perishables,olweba,"R 191 400,00",No contract in place,2024/01/17,Once-off,Once-off,Reported
1109,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),perishables,fluffdog pty ltd,"R 648 900,00",No contract in place,2024/01/24,Once-off,Once-off,Reported
1110,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),perishables,sanners trading,"R 915 200,00",No contract in place,2024/01/31,Once-off,Once-off,Reported
1111,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),non-perishables,bright view projects,"R 762 550,00",No contract in place,2024/01/27,Once-off,Once-off,Reported
1112,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),perishables,big chest,"R 288 820,30",No contract in place,2024/01/30,Once-off,Once-off,Reported
1113,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),perishables,ipirani trading,"R 43 000,00",No contract in place,2024/01/17,Once-off,Once-off,Reported
1114,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),perishables,fysh trading,"R 110 000,00",No contract in place,2024/01/24,Once-off,Once-off,Reported
1115,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),perishables,sanners trading,"R 915 200,00",No contract in place,2024/01/31,Once-off,Once-off,Reported
1116,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),non-perishables,bright view projects,"R 762 550,00",No contract in place,2024/01/27,Once-off,Once-off,Reported
1117,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),perishables,njabulo kandaba,"R 982 752,00",No contract in place,2024/01/22,Once-off,Once-off,Reported
1118,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),groceries,danz wellness and fitness special,"R 121 600,00",No contract in place,2024/01/22,Once-off,Once-off,Reported
1119,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),groceries,khupa construction and projects,"R 64 242,00",No contract in place,2024/01/22,Once-off,Once-off,Reported
1120,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),groceries,dzuvha consulting,"R 203 856,45",No contract in place,2024/01/23,Once-off,Once-off,Reported
1121,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),groceries,kwenabel trading,"R 149 340,00",No contract in place,2024/01/26,Once-off,Once-off,Reported
1122,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),bread,food cuisen distributors,"R 628 314,12",No contract in place,2024/01/29,Once-off,Once-off,Reported
1123,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),chicken (whole bird),mangungubala (pty) ltd,"R 330 000,00",No contract in place,2024/01/16,Once-off,Once-off,Reported
1124,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),beef,mangungubala (pty) ltd,"R 228 300,00",No contract in place,2024/01/16,Once-off,Once-off,Reported
1125,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),fish hake,mangungubala (pty) ltd,"R 195 000,00",No contract in place,2024/01/16,Once-off,Once-off,Reported
1126,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),apples (green),mangungubala (pty) ltd,"R 36 000,00",No contract in place,2024/01/16,Once-off,Once-off,Reported
1127,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),brown sugar,emy and sanny (pty) ltd,"R 88 000,00",No contract in place,2024/01/24,Once-off,Once-off,Reported
1128,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),maltabella,emy and sanny (pty) ltd,"R 22 800,00",No contract in place,2024/01/24,Once-off,Once-off,Reported
1129,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),oats meal,emy and sanny (pty) ltd,"R 34 800,00",No contract in place,2024/01/24,Once-off,Once-off,Reported
1130,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),brown rice,emy and sanny (pty) ltd,"R 27 600,00",No contract in place,2024/01/24,Once-off,Once-off,Reported
1131,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),margarine yellow spread,emy and sanny (pty) ltd,"R 32 400,00",No contract in place,2024/01/24,Once-off,Once-off,Reported
1132,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),soya mince,emy and sanny (pty) ltd,"R 13 000,00",No contract in place,2024/01/24,Once-off,Once-off,Reported
1133,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),"tea, rooibos",emy and sanny (pty) ltd,"R 21 900,00",No contract in place,2024/01/24,Once-off,Once-off,Reported
1134,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),sunflower oil,emy and sanny (pty) ltd,"R 68 000,00",No contract in place,2024/01/24,Once-off,Once-off,Reported
1135,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),golden syrup,emy and sanny (pty) ltd,"R 23 000,00",No contract in place,2024/01/24,Once-off,Once-off,Reported
1136,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),curry powder,emy and sanny (pty) ltd,"R 11 600,00",No contract in place,2024/01/24,Once-off,Once-off,Reported
1137,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),full cream milk powder,emy and sanny (pty) ltd,"R 42 000,00",No contract in place,2024/01/24,Once-off,Once-off,Reported
1138,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),maize rice,emy and sanny (pty) ltd,"R 17 600,00",No contract in place,2024/01/24,Once-off,Once-off,Reported
,,,3.1 GOVERNANCE MONITORING AND COMPLIANCE: 2023/2024 QUARTER 4 REPORT DEVIATIONS,,,,,,,,,
Number,"Period/ Quarter
(Use dropdown List)","Date Received By GMC
(yyyy/mm/dd)",,"Entity/Department
(Use dropdown List)",Project Description,Supplier / Service Provider,"Value of Deviation
(R)",Reason for Deviation,"Award by AO/ AA
date
(yyyy/mm/dd)","Contract start date
(yyyy/mm/dd)","Contract expiry
(yyyy/mm/dd)","Status
(Use dropdown List)"
1139,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),sugar beans,emy and sanny (pty) ltd,"R 54 000,00",No contract in place,2024/01/24,Once-off,Once-off,Reported
1140,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),soup powder assorted,emy and sanny (pty) ltd,"R 33 000,00",No contract in place,2024/01/24,Once-off,Once-off,Reported
1141,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),super maize meal,emy and sanny (pty) ltd,"R 28 050,00",No contract in place,2024/01/24,Once-off,Once-off,Reported
1142,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),peanut butter,emy and sanny (pty) ltd,"R 52 800,00",No contract in place,2024/01/24,Once-off,Once-off,Reported
1143,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),jam assorted,emy and sanny (pty) ltd,"R 30 800,00",No contract in place,2024/01/24,Once-off,Once-off,Reported
1144,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),table salt,emy and sanny (pty) ltd,"R 6 000,00",No contract in place,2024/01/24,Once-off,Once-off,Reported
1145,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),powder fruit drink,emy and sanny (pty) ltd,"R 33 600,00",No contract in place,2024/01/24,Once-off,Once-off,Reported
1146,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),samp,emy and sanny (pty) ltd,"R 20 400,00",No contract in place,2024/01/24,Once-off,Once-off,Reported
1147,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),tomato puree,emy and sanny (pty) ltd,"R 27 132,00",No contract in place,2024/01/24,Once-off,Once-off,Reported
1148,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),maltabella,lwandle coastal suppliers,"R 21 150,00",No contract in place,2024/01/29,Once-off,Once-off,Reported
1149,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),oats meal,lwandle coastal suppliers,"R 35 400,00",No contract in place,2024/01/29,Once-off,Once-off,Reported
1150,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),margarine yellow spread,sobachri trading,"R 33 804,00",No contract in place,2024/01/29,Once-off,Once-off,Reported
1151,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),maize rice,lwandle coastal suppliers,"R 18 000,00",No contract in place,2024/01/29,Once-off,Once-off,Reported
1152,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),"tea, rooibos",lwandle coastal suppliers,"R 17 010,00",No contract in place,2024/01/29,Once-off,Once-off,Reported
1153,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),golden syrup,lwandle coastal suppliers,"R 17 200,00",No contract in place,2024/01/29,Once-off,Once-off,Reported
1154,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),barberque spice,lwandle coastal suppliers,"R 6 360,00",No contract in place,2024/01/29,Once-off,Once-off,Reported
1155,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),full cream milk powder,lwandle coastal suppliers,"R 46 050,00",No contract in place,2024/01/29,Once-off,Once-off,Reported
1156,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),brown bread flour,lwandle coastal suppliers,"R 3 840,00",No contract in place,2024/01/29,Once-off,Once-off,Reported
1157,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),sugar beans,lwandle coastal suppliers,"R 26 300,00",No contract in place,2024/01/29,Once-off,Once-off,Reported
1158,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),soup powder assorted,sobachri trading,"R 10 304,00",No contract in place,2024/01/29,Once-off,Once-off,Reported
1159,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),super maize meal,lwandle coastal suppliers,"R 80 000,00",No contract in place,2024/01/29,Once-off,Once-off,Reported
1160,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),peanut butter,lwandle coastal suppliers,"R 22 350,00",No contract in place,2024/01/29,Once-off,Once-off,Reported
1161,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),table salt,lwandle coastal suppliers,"R 2 010,00",No contract in place,2024/01/29,Once-off,Once-off,Reported
1162,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),fruit juice,lwandle coastal suppliers,"R 8 280,00",No contract in place,2024/01/29,Once-off,Once-off,Reported
1163,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),chicken (whole bird),velos holdings,"R 305 000,00",No contract in place,2024/01/29,Once-off,Once-off,Reported
1164,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),beef,velos holdings,"R 310 000,00",No contract in place,2024/01/29,Once-off,Once-off,Reported
1165,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),fish cake,velos holdings,"R 217 700,00",No contract in place,2024/01/29,Once-off,Once-off,Reported
1166,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),apples (green),sm ngomane holdings,"R 112 000,00",No contract in place,2024/01/29,Once-off,Once-off,Reported
1167,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),mop cleaning,matlala connection,"R 3 475,00",No contract in place,2024/01/09,Once-off,Once-off,Reported
1168,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),toothbrush,neo giften trading,"R 24 984,00",No contract in place,2024/01/11,Once-off,Once-off,Reported
1169,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),"cleaner,pine gel rb -011569",grimo group,"R 30 000,00",No contract in place,2024/01/11,Once-off,Once-off,Reported
1170,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),general purpose green soap,mansatrix,"R 1 098,00",No contract in place,2024/01/12,Once-off,Once-off,Reported
1171,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),mop floor,mansatrix,"R 5 994,00",No contract in place,2024/01/12,Once-off,Once-off,Reported
1172,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),disinfectant ;general purpose liquid,mansatrix,"R 18 500,00",No contract in place,2024/01/12,Once-off,Once-off,Reported
1173,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),onion,asante pheladi,"R 44 200,00",No contract in place,2024/01/05,Once-off,Once-off,Reported
1174,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),golden syrup,investment,"R 14 917,50",No contract in place,2024/01/10,Once-off,Once-off,Reported
1175,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),cooking oil,investment,"R 27 534,00",No contract in place,2024/01/10,Once-off,Once-off,Reported
1176,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),yellow margarine,chemco holdings,"R 31 068,00",No contract in place,2024/01/10,Once-off,Once-off,Reported
1177,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),powder soup minestrone,capraw,"R 9 500,00",No contract in place,2024/01/11,Once-off,Once-off,Reported
1178,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),powder soup beef,capraw,"R 9 500,00",No contract in place,2024/01/11,Once-off,Once-off,Reported
1179,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),toothpaste,neo giften trading,"R 17 820,00",No contract in place,2024/01/11,Once-off,Once-off,Reported
1180,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),toothbrush,neo giften trading,"R 5 760,00",No contract in place,2024/01/11,Once-off,Once-off,Reported
1181,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),toothpaste,neo giften trading,"R 12 330,00",No contract in place,2024/01/11,Once-off,Once-off,Reported
1182,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),powder soup cream of chicken,capraw,"R 2 850,00",No contract in place,2024/01/11,Once-off,Once-off,Reported
1183,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),potatoes,tshepo,"R 14 900,00",No contract in place,2024/01/12,Once-off,Once-off,Reported
1184,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),disinfectant ;general purpose liquid,mansatrix,"R 18 500,00",No contract in place,2024/01/12,Once-off,Once-off,Reported
1185,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),soap liquid dishwashing,serenity general,"R 9 100,00",No contract in place,2024/01/12,Once-off,Once-off,Reported
1186,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),onion,tshepo,"R 15 900,00",No contract in place,2024/01/12,Once-off,Once-off,Reported
1187,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),apple,varsityextra,"R 29 910,00",No contract in place,2024/01/18,Once-off,Once-off,Reported
1188,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),apple,mothlabane,"R 13 848,88",No contract in place,2024/01/24,Once-off,Once-off,Reported
1189,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),banana,mothlabane,"R 19 432,36",No contract in place,2024/01/24,Once-off,Once-off,Reported
1190,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),pear,mothlabane,"R 16 640,62",No contract in place,2024/01/24,Once-off,Once-off,Reported
1191,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),yellow margarine,pcdn,"R 29 400,00",No contract in place,2024/01/25,Once-off,Once-off,Reported
1192,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),powder soup mushroom,oxy trading,"R 15 000,00",No contract in place,2025/01/24,Once-off,Once-off,Reported
1193,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),powder soup minestrone,oxy trading,"R 15 000,00",No contract in place,2024/01/25,Once-off,Once-off,Reported
1194,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),maize meal,stone of virtue,"R 44 200,00",No contract in place,2024/01/26,Once-off,Once-off,Reported
1195,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),maize meal,makumbila group,"R 40 813,50",No contract in place,2024/01/26,Once-off,Once-off,Reported
1196,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),banana,lalamula solution,"R 10 500,00",No contract in place,2024/01/26,Once-off,Once-off,Reported
1197,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),pear,lalamula solution,"R 11 000,00",No contract in place,2024/01/26,Once-off,Once-off,Reported
1198,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),apple,lalamula solution,"R 10 500,00",No contract in place,2024/01/26,Once-off,Once-off,Reported
1199,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),coal,rapruject general trading,"R 120 042,00",No contract in place,2024/01/24,Once-off,Once-off,Reported
1200,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),supply and delivery of fruit and vegetables,bulkchem ec,"R 128 800,00",No contract in place,2024/01/10,Once-off,Once-off,Reported
1201,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),groceries,viscow trading,"R 113 164,00",No contract in place,2024/01/12,Once-off,Once-off,Reported
1202,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),milk powder,netconix,"R 11 400,00",No contract in place,2024/01/12,Once-off,Once-off,Reported
1203,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),cooking oil,sioyamanga traders,"R 46 900,00",No contract in place,2024/01/18,Once-off,Once-off,Reported
1204,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),curry powder,tshakatshaka trading,"R 27 500,00",No contract in place,2024/01/18,Once-off,Once-off,Reported
1205,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),bread,gamedze industries,"R 43 200,00",No contract in place,2024/01/24,Once-off,Once-off,Reported
1206,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),perishables-fruit &vegetables,royal tlc pty(ltd),"R 988 258,00",No contract in place,2024/01/30,Once-off,Once-off,Reported
1207,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),perishable provisions: brown bread,kasey general trading (pty) ltd t/a kasey gt,"R 998 640,00",No contract in place,2024/01/30,Once-off,Once-off,Reported
1208,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),provita biscuits,edimor trading & suppliers,"R 26 934,00",No contract in place,2024/01/23,Once-off,Once-off,Reported
1209,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),fish,maplanka enterprise,"R 770 400,00",No contract in place,2024/01/31,Once-off,Once-off,Reported
1210,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),supply and delivery of vegetables,chatunga trading,"R 295 796,00",No contract in place,2024/01/31,Once-off,Once-off,Reported
1211,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),supply and delivery of vegetables,nhlasue enterprises,"R 685 050,00",No contract in place,2024/01/23,Once-off,Once-off,Reported
1212,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),"supply and delivery of meat (beef,chicken & fish)",juli distributors,"R 807 500,00",No contract in place,2024/01/23,Once-off,Once-off,Reported
1213,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),fish and chicken,mbonya projects,"R 609 000,00",No contract in place,2024/01/24,Once-off,Once-off,Reported
1214,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),peanut butter,pitch blach trading enterprise,"R 697 500,00",No contract in place,2024/02/01,Once-off,Once-off,Reported
1215,Q4 2023/24,2024/03/12,,Department of Correctional Services (DCS),toiletries,mufhatutshedzi construction & projects,"R 365 000,00",No contract in place,2024/02/01,Once-off,Once-off,Reported
