5.5.2 GOVERNANCE MONITORING AND COMPLIANCE: 2022/2023 QUARTER 3 REPORT EXPANSIONS,,,,,,,,,,,,,,
EXPANSIONS REPORT,,,,,,,,,,,,,,
Number,Period / Quarter,"Rollover / New
(Use dropdown List)","Date Received By GMC
(yyyy/mm/dd)","Entity/Department
(Use dropdown List)",Project Description,Supplier / Service Provider,"Reason for Expansion
(Use dropdown List)","Value of Contract Expansion
[R]","Original Contract Value
[R]","Value of Pevious Expansion
[]","not supported/not
supported/Conditional
supported
(Use dropdown List)","Award/recommended by AO/
AA date
(yyyy/mm/dd)","Contract start date
(yyyy/mm/dd)","Contract expiry
(yyyy/mm/dd)"
169,Q3 2022/23,New,2022/10/05,Transport Education Training Authority (TETA)SETA,Increase of Sage Licenses from 250 employees to 400 employees.,Msuthu Technologies,Continuity of Service,"R 99 834,66","R 496 482,60",R -,Noting,2022/04/08,Not stated,Not Stated
170,Q3 2022/23,New,2022/10/05,Transport Education Training Authority (TETA)SETA,Increase on the CTC of the resource as the quotation was percentage based,Okhela Consulting,Continuity of Service,"R 74 905,86","R 367 094,14",R -,Noting,2022/09/22,Not stated,Not Stated
171,Q3 2022/23,New,2022/12/09,Water Research Commission (WRC),Provision of legal services for the office of the CEO and Board,R Masilo Attorneys,Continuity of Service,"R 750 000,00","R 250 000,00",R -,Noting,2022/10/15,2022/10/01,2023/09/30
172,Q3 2022/23,New,2022/10/18,Water Research Commission (WRC),Provision of legal support support services to the office of the CEO and the Board,R Masilo Attorneys,Continuity of Service,"R 250 000,00","R 750 000,00",R -,Noting,2022/09/29,2022/10/01,2023/09/30
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,2022/2023 QUARTER 3,,,,,,,,,,
,,,,Total number of Expansions received:,172,,,,,,,,,
,,,,Total number of Expansions reviewed:,172,,,,,,,,,
"Pecentage Achieved
100%
Signature______________________________________________
2022/01/06",,,,Pecentage Achieved,100%,,,,,,,,,
