,,,3.1 GOVERNANCE MONITORING AND COMPLIANCE: 2023/2024 QUARTER 4 REPORT EXPANSIONS,,,,,,,,,,,
Number,Period / Quarter (Use dropdown List),"Date Received By GMC
(yyyy/mm/dd)",,"Entity/Department
(Use dropdown List)",Project Description,Supplier / Service Provider,Reason for Expansion,"Value of Contract
Expansion
[R]","Original Contract Value
[R]","Value of Previous
Expansion
[R]","Award by AO/ AA date
(yyyy/mm/dd)","Contract start date
(yyyy/mm/dd)","Contract expiry date
(yyyy/mm/dd)","Status
(Use dropdown List)"
EXPANSIONS REPORT,,,,,,,,,,,,,,
1,Q4 2023/24,2023/12/18,,National Arts Council of South Africa (NAC),PABX Support and Maintenance,Rivoni Matimba,"Due to a delay in the porting of numbers from the previous to the current service provider, it is
hereby requested that the PABX service and support to be extended by an additional two (02)
months period to allow for the telephone number porting process to be concluded as well as a
smooth transition from the current to the new service provider.","R 26 187,18","R 380 918,00","R 57 305,91",2023/12/11,2023/12/12,2024/01/31,Reported
2,Q4 2023/24,2024/01/15,,National Development Agency (NDA),"Conduct psychometric assessments for candidates who applied for
CEO position",Mogoma Research and Development,"The initial purchase order issued covered only two candidates but the Board resolved that the
top three candidates must go through the psychometric assessments.","R 13 116,40","R 48 258,60",R-,2023/12/21,2024/01/03,2024/03/31,Reported
3,Q4 2023/24,2024/01/10,,Legal Aid South Africa,National Office Cleaning Services,OKS Investments 2009,New tender process to appoint service provider not yet concluded,"R 318 780,00","R 2 902 518,00","R 85 733,10",2023/11/27,2024/01/01,2024/03/31,Reported
4,Q4 2023/24,2024/01/10,,Legal Aid South Africa,National Office Security Services,Lettie Top Security,New tender process to appoint service provider not yet concluded,"R 372 471,36","R 3 737 009,50","R 1 228 208,32",2023/11/30,2024/01/01,2024/03/31,Reported
5,Q4 2023/24,2024/01/10,,Legal Aid South Africa,Eastern Cape Provincial Office - Security Contract,Atlas Security,Alignment to lease period ending 31 March 2024,"R 5 078,34","R 26 481,12",R-,2023/11/20,2023/12/01,2024/03/31,Reported
6,Q4 2023/24,2024/01/10,,Legal Aid South Africa,Elliot Cleaning Services,Executive Cleaning & Hygiene,"RFQ process non-responsive, new process will be undertaken","R 24 589,60","R 24 589,60",R-,2023/11/27,2023/12/01,2024/05/31,Reported
7,Q4 2023/24,2024/01/10,,Legal Aid South Africa,Elliot Hygiene Services,Executive Cleaning & Hygiene,"RFQ process non-responsive, new process will be undertaken","R 3 300,00","R 3 300,00",R-,2023/11/27,2023/12/01,2024/05/31,Reported
8,Q4 2023/24,2024/01/10,,Legal Aid South Africa,Vryheid Local Office (Lease of office accomodation),Hester Davel,New tender process to appoint service provider not yet concluded,"R 320 157,42","R 2 556 602,98","R 320 157,42",2023/11/24,2024/01/01,2024/06/30,Reported
9,Q4 2023/24,2024/01/10,,Legal Aid South Africa,Graaff-Reinet Local Office (Lease of office accomodation),Karl Benjamin Putter t/a Radium Cleaners,New tender process to appoint service provider not yet concluded,"R 160 390,68","R 1 364 116,68",R-,2023/11/24,2024/01/01,2024/06/30,Reported
10,Q4 2023/24,2024/01/10,,Legal Aid South Africa,Ladybrand Satellite Office (Lease of office accomodation),Oos Vrystaat Kaap,New tender process to appoint service provider not yet concluded,"R 70 472,64","R 376 930,31","R 67 116,78",2023/11/24,2024/01/01,2024/06/30,Reported
11,Q4 2023/24,2024/01/10,,Legal Aid South Africa,"Makhanda (Grahamstown) Local Office (Lease of office
accomodation)",Karoovlakte Trust,New tender process to appoint service provider not yet concluded,"R 597 897,60","R 5 339 352,00",R-,2023/11/24,2024/02/01,2024/07/31,Reported
12,Q4 2023/24,2024/01/10,,Legal Aid South Africa,Modimolle Local Office (Lease of office accomodation),Nyl Sakesentrum (Pty) Ltd,New tender process to appoint service provider not yet concluded,"R 116 616,36","R 2 080 406,99","R 233 232,72",2023/11/24,2024/01/01,2024/03/31,Reported
13,Q4 2023/24,2024/01/10,,Legal Aid South Africa,Mokopane Satellite Office (Lease of office accomodation),Rayveen CC,"RFQ process non-responsive, new process will be undertaken","R 130 430,04","R 1 164 767,72",R-,2023/11/24,2024/01/01,2024/06/30,Reported
14,Q4 2023/24,2024/01/10,,Legal Aid South Africa,Secunda Satellite Office (Lease of office accomodation),Dipula Property Investments Trust,"RFQ process non-responsive, new process will be undertaken","R 133 572,96","R 1 173 835,33","R 133 572,96",2023/11/24,2024/01/01,2024/06/30,Reported
157,Q4 2023/24,2024/02/06,Financial Intelligence Centre (FIC),"Request foPrl eaipn pSrtorveaelt fionr Cthaep ee xTteonwsnio fno ro af tpheer cioodn toraf c3t yoefa Inrste.llehub for
the solutions architect for a period of two months and eleven days
(from 19 February 2023 to 30 April 2024) for phase 2 of the Line of
Business (LOB) solutions modernisation programme",Intellehub,To allow finalisation of phase 2 of the Line of Business solutions modernisation programme,"R 534 334,53","R 5 432 590,80","R 2 749 715,72",2024/01/31,2024/02/19,2024/04/30,Reported
158,Q4 2023/24,2024/02/07,South African Revenue Service (SARS),"Appointment of serivice providers for the provision of 50 Tax
specialist resources","Tipp Focus Holdings Accounting & Financial Advisory
Deloitte & Touche",Value,"R 6 951 405,00","R 21 393 833,20",R-,2024/02/06,2024/02/08,2024/04/30,Reported
159,Q4 2023/24,2024/02/08,South African Revenue Service (SARS),"Appointment of service providers for the provision of 50 Tax specialist
resources","Tipp Focus Holdings Accounting & Financial Advisory
Deloitte & Touche",Business continuation,"R 6 951 405,00","R 21 393 833,20",R-,2024/02/06,2024/02/08,2024/04/30,Reported
160,Q4 2023/24,2024/02/13,"National School of Government (NSG)National
Department","Provision of Support and maintenance ofthe training Management
System (TMS)",Esoftware,"The deployment of a new system to rreplace the old system has not yet completed however the
maintenance of the current TMS is not part of the contract","R 903 071,54","R 4 486 401,56","R 774 016,32",2019/01/18,2019/10/22,2024/01/31,Reported
161,Q4 2023/24,2024/02/14,Electoral Commission (IEC) of South Africa,Acces Point Name (APN),Vodacom (Pty) Ltd,"The Electoral Commission issued an APN tender IEC/ICT-03-2023 on 12 June 2023 and it
closed on 11 July 2023. This tender was evaluated, however it yielded no successful bidder.
EXCO approved a cancellation on 22 September 2023.","R 9 845 958,00","R 14 126 795,88","R 4 214 448,50",2023/12/22,2024/01/01,2024/06/30,Reported
162,Q4 2023/24,2024/02/14,South African Revenue Service (SARS),Umthatha Lease Extension,Street Talk Trading 161 (Pty) Ltd,"Extension of the lease agreement between SARS and Street Talk Trading 161 (Pty) Ltd for
Umthatha Branch Office office for a period of 5 years commencing 1 April 2024 to 31 March
2029 with an option for early exit at a total cost of R17 008 220.00, VAT inclusive and escalating
at 5%.","R 14 585 945,11","R 17 008 220,00","R 19 502 544,72",2024/02/05,2024/04/01,2029/03/31,Reported
163,Q4 2023/24,2024/02/16,National Treasury,"NT001-2022 Appointment of a service provider to render Security
Guarding Services for the NT Building, 240 Madiba Street Building,
40 Church Square Building, Tender Information Centre, Karabo
Parking cc",XTLG Consulting & Projects CC,"To allow SCM to initiate and finalise the re-advertisement of the tender and the appointment of
a new service provider.","R 5 157 617,80","R 32 737 330,14","R 16 259 861,77",2024/02/12,2021/01/01,2024/06/30,Reported
164,Q4 2023/24,2024/02/20,National Treasury,"NT015-2021: Appointment of a service provider to render
comprehensive hygiene and cleaning services for National Treasury
buildings 240 Madiba Street, tender information centre wing, 40
church square in Pretoria CBD and 3rd floor Parliament offices at 120",M-Jnr and Olwethi Consulting Pty (Ltd),"Adjustment based on the Annual Statutary Wage increases as promolugated by the Mister of
Labour in terms of the Sectoral Determination 1, Contract Cleaning Sector.","R 607 970,52","R 19 891 891,08","R 376 371,24",2024/02/19,2022/02/01,2025/01/31,Reported
165,Q4 2023/24,2024/02/26,South African Revenue Service (SARS),"Plein Street in Cape Town for a period of 3 years.
Lease agreement for the Ashlea Gardens TPS Office for a period of
five (5) years, with an option for early exit, at an estimated total cost of
R 29,720,499.03 VAT incl.",K Carrim Commercial Properties (Pty) Limited,Ashlea Gardens Lease Extension,"R 20 326 681,00","R 29 720 499,03","R 37 196 973,06",2024/02/24,2024/03/01,2029/02/28,Reported
166,Q4 2023/24,2024/02/27,Department of Employment and Labour (DEL),"to conised and approve the change request under the Alteram
Solutions contract, Schedule B for the Deployment of SAP ERP into
Production from Testing Environment",Alterma Solutions,"As a result of the gap, the Dept (UIF) should create a new SAP development instance in Linux
Redhat to move away from the old unstable Solaris environment and also redevelop theSAP PI
interfaces in the new Linux environment. The change request will aslo covers the change in
tbusiness requirements due to change in regulations/policies etc. post 2015. Over and above","R 11 213 420,00","R 312 969 188,00","R 86 164 955,97",2024/02/21,2023/11/23,2024/05/22,Reported
167,Q4 2023/24,2024/02/28,National Treasury,2024 Budget Lock-Ups Catering,Epirus Holdings,"the 75 reports already contracted. The change request aslo covers additional reports (25) plus
Increased number of attendees for Pretoria","R 3 720,00","R 19 840,00",R-,2024/02/22,Not stated,Not stated,Reported
168,Q4 2023/24,2024/02/28,National Treasury,2024 Budget Lock-Ups Catering,Parliament Cateres,Increased number of attendees for Cape Town,"R 8 500,00","R 41 930,00",R-,2024/02/24,Not stated,Not stated,Reported
169,Q4 2023/24,2024/02/28,Film and Publication Board,Off-site storage of records for Film and Publication Board,Metrofile Holdings,"High volume of records which arecurrently in proces and the PO amount is depleted and
contract still valid to 08 June 2024","R 14 081,47","R 93 876,52",Not indicated,2022/12/09,2022/12/09,2024/06/08,Reported
170,Q4 2023/24,2024/03/07,Government Technical Advisory Centre,"Provision of Long-Term Technical Advisory and Project Management
Services to Government Technical Advisory Centre: Public Sector
Business Development and Management Expert",Blue Planet Consulting CC,"The Long-Term Technical Advisor has largely been responsible for managing and providing
technical advice on more than 14 projects for the past 2 years. These have included large,
strategic, and very complex projects for GTAC to the value of R27.6 million. He is one of the
most senior IDS advisors, and continuously demonstrates his excellent project management","R 5 184 000,00","R 1 805 400,00",Not indicated,2021/11/08,2021/12/01,2024/11/30,Reported
171,Q4 2023/24,2024/03/07,Government Technical Advisory Centre,"Provision of Communication, Marketing and Social Media Services to
the Governement Technical Advisory Centre",Grounded Media (Pty)Ltd,"and analytical skills, and ability to produce high quality deliverables within very tight deadlines.
For a seamless continuity on the website and knowledge hubs which are key and integral to
GTAC’s key service provision to clients as well as brand visibility.","R 7 367 130,00","R 51 569,91","R 1 105 069,50",2020/11/18,2020/11/19,2024/04/19,Reported
172,Q4 2023/24,2024/03/07,Government Technical Advisory Centre,"Provision of services to the Jobs Fund by serving on the Technical
Evaluation Committee (TEC)",Ms Mahlakore Matsaba,"To allow for the finalisation of the current funding round and for her remuneration given the
additional responsibility/effort of serving as the Chairperson of the committee and serving on
the JFIC as an ex officio member.","R 1 110 720,00","R 650 000,00",Not indicated,2021/01/13,2021/03/16,2024/03/15,Reported
Number,Period / Quarter (Use dropdown List),"Date Received By GMC
(yyyy/mm/dd)","Entity/Department
(Use dropdown List)",Project Description,Supplier / Service Provider,Reason for Expansion,"Value of Contract
Expansion
[R]","Original Contract Value
[R]","Value of Previous
Expansion
[R]","Award by AO/ AA date
(yyyy/mm/dd)","Contract start date
(yyyy/mm/dd)","Contract expiry date
(yyyy/mm/dd)","Status
(Use dropdown List)"
173,Q4 2023/24,2024/03/08,South African Revenue Service (SARS),"Variation of the current contract (EX 049/2017), for Smart Access
(0800 Toll Free number) with Telkom Soc Limited t/a BCX. The
proposed variation amounts to R51 816 359.72 VAT inclusive, for a
period of 12 months from 01 April 2024 to 31 March 2025, on a month-",Telkom Soc Limited t/a BCX,Value & Time,"R 240 135 739,00","R 51 135 739,00","R 62 471 829,00",2024/03/07,2024/04/01,2025/03/31,Reported
174,Q4 2023/24,2024/03/08,South African Revenue Service (SARS),"tVoa mriaotniothn baagsaiisn sutn tthile c oomrigpinleatilo cno natnrda cat wfoarr dS IoPf Ta rnuenwk wteinthd Tereflokro Tmo wBeCrX V,
in terms National Treasury Instruction SCM Instruction Note 3 of
2021/2022 and the DOA for a period of 12 months from 01 April 2024
to 31 March 2025 on a ""month-to-month"" basis at an amount of R",Telkom Soc Limited t/a BCX,Value & Time,"R 49 200 297,00","R 4 371 504,38",R-,2024/03/06,2024/04/01,2025/03/31,Reported
175,Q4 2023/24,2024/03/14,State Information Technology Agency (SITA),"4371 504.38 (VAT inclusive)
Next Generation Firewall including supply of equipment, installation,
configuration, licenses, training, support and maintenance for a period
of 36 months for the Gauteng Provincial Government",Dido Digital Document (Pty) Ltd,Scope expansion to include servers at Terraco.,"R 33 510 804,48","R 1 896 610,57",R-,Not stated,Not stated,Not stated,Reported
176,Q4 2023/24,2024/03/14,State Information Technology Agency (SITA),Additional Mimecast licences,Galix Networking (Pty) Ltd,Additional licences are required due to merger of two provincial departments.,"R 848 585,00","R 1 820 647,80",R-,2023/12/22,2024/02/01,2024/09/30,Reported
177,Q4 2023/24,2024/03/14,State Information Technology Agency (SITA),"Contract Variation For The Upgrade Of Access Link (KZN0256-20) Of
The Department Of Health Site (Turning Clinic) From 1 Meg To 10
Meg For A Period Of Sixty (60) Months, Under The Existing Contract
Req 211.",Brilliant Telecommunications (Pty) Ltd,Not indicated,"R 515 600,00","R 178 250,00",R-,Not stated,Not stated,Not stated,Reported
178,Q4 2023/24,2024/03/14,State Information Technology Agency (SITA),Request for extension of contract SITA switching centre,Infrasol (Pty) Ltd,To allow finalisation of the replacement tender.,"R 1 961 775,33","R 11 030 271,77","R 12 992 074,10",2024/02/09,2024/03/01,2024/08/08,Reported
179,Q4 2023/24,2024/03/14,State Information Technology Agency (SITA),"Contract Price And Scope Expansion Of IBM Mainframe
Implementation For North West Provincial Government To
Procurement Of DB2 And CICS2 Resource.",IBM South Africa Pty Ltd,Customisation of the mainframe and the storage device installed.,"R 4 259 522,04","R 2 092 799,35",R-,Not stated,Not stated,Not stated,Reported
180,Q4 2023/24,2024/03/14,State Information Technology Agency (SITA),"Extension of an office space for SITA Eastern Cape East London
through an operating lease for a period of five (5) years",SKG Africa (Pty) Ltd,Renewal of lease,"R 5 198 557,55","R 4 410 571,78",R-,Not stated,Not stated,Not stated,Reported
181,Q4 2023/24,2024/03/14,State Information Technology Agency (SITA),"Procurement of BeyondTrust Remote Support Integration License for
SITA",Wire Speed Systems (Pty) Ltd,"Additional licence is required for integration to the ITSM solution to enable automatic updates of
ITSM incidents with details from each remote support session and advanced logging and
recording capabilities for a complete record of the support transaction.","R 323 771,51","R 9 588 678,00",R-,2024/03/05,2024/03/01,2024/09/30,Reported
182,Q4 2023/24,2024/03/15,South African Revenue Service (SARS),Asset In Transit Services,Asset In Transit Services,"Extension of time for the contract between SARS and Fidelity Security Services for RFP
60/2018 Provision of Assets in Transit Services to SARS. The extension is on a month-to-month
basis for a maximum period of 12 months.",R-,"R 54 058 010,61",R-,2024/02/28,2024/03/01,2025/02/28,Reported
183,Q4 2023/24,2024/03/15,Sentech,Request for extension of records and archiving contract with Metrofile,Metrofile Holdings,The comprehensive classification of records in accordance with the file plan.,"R 270 000,00","R 2 700 000,00",R-,2024/03/05,2018/12/10,2025/03/08,Reported
184,Q4 2023/24,2024/03/15,Sentech,"To seek approval/notification for contract adjustment of the ADT/Citek
Telecom Planning Tool System for Broadcasting and Broadband
Planning",ADTI/Citek,"The ADTI/Citek contract is up for annual payment. The system is giving error when a purchase
order is generated because of shortfall in the current contract.","R 367 320,00","R 1 027 584,00",R-,2024/03/05,2022/02/01,2025/01/31,Reported
185,Q4 2023/24,2023/12/18,"Insurance Sector Education and Training Authority
(Inseta)SETA","Request for approval from the Chief Executive Officer for financial
adjustments to Microsoft Azure Services and scope CIBECS cloud-to-
cloud backups in the ICT Licenses",Grandwell Pty Ltd,"Request for approval from the Chief Executive Officer for financial adjustments to Microsoft
Azure Services and scope CIBECS cloud to cloud backups in the ICT Licenses Contract
between INSETA and Grandwell PTY LTD.","R 1 921 910,48","R 5 155 756,66","R 774 228,51",2023/12/14,2024/01/01,2025/03/07,Reported
186,Q4 2023/24,2024/01/05,"Manufacturing, Engineering and Related Services Sector
Education and Training Authority (merSETA)SETA","Probity checks: merSETA current & former employees, as well as AA
members and related parties",Nexus Forensic Investigations,"Expansion of scope: merSETA appointed services of a forensic investigation firm, Nexus, to
assist with conducting probity checks on multiple individuals who have served or continue to
serve on the merSETA Accounting Authority. The scope of work included that the provider cast
a wider check, by including merSETA current and former employees identified through an","R 42 908,51","R 478 374,77",R-,2023/10/10,2023/10/10,2024/06/30,Reported
187,Q4 2023/24,2023/12/18,"Insurance Sector Education and Training Authority
(Inseta)SETA","Request to conduct system assessment, stabilization, and
improvement services (as and when required)",Strategic Dimension,"Auditor General testing exercise on disclosure of interest and subsequent conflict of interest.
INSETA would like to include support to the MIS systerm which is a new element in the
contract.","R 275 310,00","R 977 500,00",R-,2023/11/24,2023/12/01,2024/03/31,Reported
188,Q4 2023/24,2024/01/11,Quality Council for Trades and Occupations (QCTO),"Maintenance and Enhancement of the CV's and apprentice
certification system",iSolve Business Solutions,Extension of existing contract,"R 112 412,50","R 750 720,00",R-,2023/10/13,2023/01/12,2024/06/30,Reported
189,Q4 2023/24,2024/01/16,"Manufacturing, Engineering and Related Services Sector
Education and Training Authority (merSETA)SETA",Mpumalanga Regional Office Lease,De Bruyn Commercial Property Brokers,"During 2019, the merSETA embarked on a procurement process for corporate office
accommodation for all the merSETA offices which included the Head Office in Johannesburg
(Melville), plus 5 (five) regional (provincial) offices, as all these lease agreements were expiring
on 31 March 2020. All procurement process were adversely impacted by the global COVID-19","R 4 534 505,20","R 1 449 315,96","R 255 453,63",2023/11/01,2023/11/01,2024/01/31,Reported
190,Q4 2023/24,2024/01/16,"Manufacturing, Engineering and Related Services Sector
Education and Training Authority (merSETA)SETA",Internal Audit Services,Shumba Inc.,"pandTehme imc werhSicEhT rAe seunltteerde din i nmtoe raS SEeTrAv irceeq Lueevsetiln Agg sreeveemraeln itn wteirtihm S ehxutmenbsaio Innsc dfruolmy athpep r0o1vsetd by
September 2020 to 31st August 2023 for Internal Audit services and any ancillary services
thereto. The initial contract value is R1 477 516.13.The merSETA launched an investigation into
allegations of serious misconduct made against two (2) merSETA senior employees.","R 541 048,78","R 1 477 516,13","R 206 288,29",2023/09/01,2023/09/01,2023/11/30,Reported
191,Q4 2023/24,2024/01/16,"Manufacturing, Engineering and Related Services Sector
Education and Training Authority (merSETA)SETA",Rental of 15 Laptops,Govtek,"Subsequently the Accounting Authority and Audit and Risk committees requested Shumba Inc
Extended for 2 Months while procurement process is underway from 01 November 2023 to 31
December 2023.","R 124 637,40","R 343 586,36",R-,2023/11/01,2023/11/01,2023/12/31,Reported
192,Q4 2023/24,2024/01/15,"Safety and Security Sector Education and Training
Authority (SASSETA)SETA",Provision of physical security services for a period of a month,Mphosha Security Services,To allow for the completion of the new procurement,"R 169 576,61","R 5 724 590,47",R-,2023/10/31,2023/11/01,2023/11/30,Reported
193,Q4 2023/24,2024/01/15,"Safety and Security Sector Education and Training
Authority (SASSETA)SETA","Contract period and the extraction of date costs for the provision and
implementation of the integrated management information system",Solugrowth(Pty) Ltd,To allow for the transitioning process between the old service provider and the new,"R 2 260 531,39","R 8 047 975,76","R 12 323 250,28",2023/11/06,2024/01/01,2024/07/31,Reported
194,Q4 2023/24,2024/01/16,"Department of Sports, Arts and Culture (DSAC)","Request for variation of an order for payment of the service provider
for the design, layout and printing of the 2022/23 annual performance
report",Gijana Trading,"The specifications quoted 230 pages of the annual report based on the previous financial years
reports. Due to PFMA compliance report guidelines for 2022/23, as result pages increased to
292 pages to design, layout and printing of the annual performancr report for 2022/23","R 32 912,00","R 148 396,00",R-,2023/10/19,once-off,once-off,Reported
195,Q4 2023/24,2024/01/16,"Department of Sports, Arts and Culture (DSAC)","Request for variation of an order for payment of the service provider
for Chief Bungeni rehabilitated grave, memorial construction and
hosting of the official unveiling event of the grave.",Favour Switch,"Bungeni Royal council requested the extension in length an breadth of the palisade fence,
artificial grass and paving","R 68 386,00","R 688 545,00",R-,2023/10/23,once-off,once-off,Reported
196,Q4 2023/24,2024/01/16,"Department of Sports, Arts and Culture (DSAC)","Request to extend the contract of security guards for two months for
Dr JL Dube Amphitheatre from January to February 2024",Igovu Protection Services,"The security service provider was appointed for a period of two months November and
December 2023 to secure the site. Ethekwini Municipality is supposed to take over for
operationalization. The two months contract extension is premised on the notion that Ethekwini
Municipality would take ove the amphitheatre for operationalization and appoint its own security","R 127 000,00","R 127 000,00",R-,2023/12/22,2024/01/01,2024/02/28,Reported
197,Q4 2023/24,2024/01/20,"Media, Information and Communication Technologies
Sector Education and Training Authority (MICT
SETA)SETA","Appointment of a service provice for the provision of one (1)
temporary assets & contracts specialist for a period of six (6) months",Mastech General Trading CC,"SCM unit is currently in the process of reccorumitpinagn ya. Temporary asset contract management
specialist position within MICT SETA for period of 12 months and it is envisaged that the
process of filling this position will not be concluded by end of contract period on 13 December
2023.","R 163 012,50","R 362 025,00",R-,2023/12/18,2024/01/01,2024/03/31,Reported
198,Q4 2023/24,2023/12/26,"Education, Training and Development Practices Sector
Education and Training Authority (ETDP SETA)SETA",Lease of office space for the ETDP SETA Potchefstroom office,"Market Demand Trading 249 (Pty) Ltd T/A Engel &
Völkers",ETDP SETA advertised a tender but there were no bids received for this province.,"R 1 661 768,64","R 1 366 374,46","R 8 034 204,20",2023/12/13,2024/01/03,2025/01/02,Reported
199,Q4 2023/24,2023/12/26,"Education, Training and Development Practices Sector
Education and Training Authority (ETDP SETA)SETA",Lease of office space for the ETDP SETA Western Cape office,SKG Properties,ETDP SETA advertised a tender but there were no compliant bidders for this province.,"R 1 268 987,56","R 1 219 976,18","R 6 878 164,84",2023/12/13,2024/01/03,2025/01/02,Reported
200,Q4 2023/24,2023/12/26,"Education, Training and Development Practices Sector
Education and Training Authority (ETDP SETA)SETA",Lease of office space for the ETDP SETA Northern Cape office,JHI Frederick Carter,ETDP SETA advertised a tender but there were no compliant bidders for this province.,"R 376 500,00","R 932 616,00","R 6 497 563,45",2023/12/13,2024/01/03,2024/06/30,Reported
201,Q4 2023/24,2023/12/20,Human Sciences Research Council (HSRC),"LRMG, to provide the HSRC with an e-learning platform, including
superuser training for the system",LRMG,Increase in the scope of work,"R 913 570,00","R 939 492,50",R-,2023/12/18,2024/01/04,2024/12/30,Reported
202,Q4 2023/24,2023/12/20,Human Sciences Research Council (HSRC),"PO variation Addition Security Guarding Services for a period of 30
months for the HSRC Sweetwaters office",Siva Security services,Additional of two security officers ate HSRC Sweetwaters office,"R 884 120,00","R 5 393 958,50",R-,2023/12/13,2024/01/01,2026/04/01,Reported
203,Q4 2023/24,2023/12/20,Human Sciences Research Council (HSRC),PO variation Torch On Waterproofing on 1st and 9th floors,Bangu Construction,Square meters provided are not correct (9th floor),"R 684 909,80","R 1 252 225,80",R-,2023/12/13,2023/12/13,2024/01/03,Reported
204,Q4 2023/24,2023/12/20,Human Sciences Research Council (HSRC),"PO variation to facilitate the payment of external legal service
providers",Gildenhuys Lessing Malatji,"Increase in the scope of work as the service required are senior indivividual then what was
expected.","R 102 788,50","R 60 000,00",R-,2023/12/14,2023/12/14,2024/12/03,Reported
205,Q4 2023/24,2024/01/24,Council for Scientific and Industrial Research (CSIR),"Removal and repacking of Gabion walls to the T1 and T7 at the DBEL
Facility in Paardefontein (CSIR 2023-245-11-09-2023)",Bajadi Investments and Projects 133 CC,"The torn and worn baskets need to be replaced with the new ones. These would require
supply, delivery and installation of baskets including binding wires.","R 148 665,79","R 28 813,25",R-,2023/11/30,2023/11/30,2023/11/30,Reported
206,Q4 2023/24,2024/01/24,Council for Scientific and Industrial Research (CSIR),"The Provision of Seasonal Casual Labour/Temporary Staffing
Solutions to the CSIR International Convention Centre (ICC).",SD Recruitment (Pty) Ltd,Extention of the existing contract,"R 1 500 000,00","R 1 000 000,00","R 1 500 000,00",2023/06/26,2023/12/24,2024/03/31,Reported
207,Q4 2023/24,2024/01/05,South African National Space Agency (SANSA),Comprehensive Travel Management Services,Travel with Flair,"The originally estimated amount for travel and events costs were not sufficient. The contract is
being extended to increase the budget amount for travel expenditure and to extend the period
to allow for sufficient time to conclude the current procurement process and award the new
contract","R 4 900 000,00","R 25 000 000,00",R-,2023/11/03,2024/01/01,2024/03/31,Reported
208,Q4 2023/24,2024/01/05,South African National Space Agency (SANSA),Medical Assessment,Life Health Solution (Careways),"Referred specialised medical assessment service required is not covered in the current
Employee Assistance contract","R 21 133,40","R 1 029 167,82",R-,2023/11/04,2019/05/01,2024/04/30,Reported
Number,Period / Quarter (Use dropdown List),"Date Received By GMC
(yyyy/mm/dd)","Entity/Department
(Use dropdown List)",Project Description,Supplier / Service Provider,Reason for Expansion,"Value of Contract
Expansion
[R]","Original Contract Value
[R]","Value of Previous
Expansion
[R]","Award by AO/ AA date
(yyyy/mm/dd)","Contract start date
(yyyy/mm/dd)","Contract expiry date
(yyyy/mm/dd)","Status
(Use dropdown List)"
209,Q4 2023/24,2024/01/05,South African National Space Agency (SANSA),Supplier of Earth Observation software development,Kartoza (Pty) Ltd,Extension of period while the finalisation of take over is still in progress,R -,"R 2 533 692,00",R-,2023/11/09,2023/11/10,2024/03/30,Reported
210,Q4 2023/24,2024/01/31,Civilian Secretariat for Police Service (CSPS),Travel Management Services,Hamba Nathi Travel,New bid in the bidding process,"R 6 000 000,00","R 23 710 183,59",R-,2023/08/17,2023/08/17,2024/02/16,Reported
211,Q4 2023/24,2024/01/31,Civilian Secretariat for Police Service (CSPS),Deep Cleaning & Sanitary bin service,Manasa (Pty) Ltd,New quotations in process,"R 23 122,80","R 202 886,86",R-,2023/12/21,2024/01/01,2024/02/29,Reported
212,Q4 2023/24,2024/01/31,"Energy and Water Sector Education and Training
Authority (EWSETA)SETA",Provision of Graphic Design Services,Epi Creative,"Continuity of services as Epi Creative is currently assisting the EWSETA and the Marketing
department with the required services.","R 95 800,00","R 598 414,00",R-,2023/08/16,2023/03/10,2024/01/31,Reported
213,Q4 2023/24,2024/01/31,"Energy and Water Sector Education and Training
Authority (EWSETA)SETA",Provision of Board Secretariat Services,Baruch Memoirs,"Continuity of services as Baruch Memoirs is currently assisting the EWSETA and its Board with
their required services.","R 93 351,80","R 201 404,00",R-,2023/09/10,2023/08/03,2023/09/30,Reported
214,Q4 2023/24,2024/01/31,"Energy and Water Sector Education and Training
Authority (EWSETA)SETA",Outsourcing Interim Financial Accounting Manager,Equi-Lab Solutions,"Continuity of services and additional time required as Equilab Solutions is currently assisting
the EWSETA and the Finance department on with their services.","R 300 000,00","R 650 000,00",R-,2023/10/20,2023/05/10,2024/01/31,Reported
215,Q4 2023/24,2024/01/31,"Energy and Water Sector Education and Training
Authority (EWSETA)SETA",Provision of Project Management Services,Socikwa Management,"Continuity of services and additional time required as Socikwa is currently assisting the
EWSETA and the PMU department on with their services.","R 250 000,00","R 999 000,00",R-,2023/10/31,2023/06/05,2023/01/31,Reported
216,Q4 2023/24,2024/01/31,"Energy and Water Sector Education and Training
Authority (EWSETA)SETA",Provision of ICT Management Services (Desktop Support),Mosibudi Rosah Nchachi,"Continuity of services and additional time required as Ms. Nchachi is currently assisting the
EWSETA and the ICT department on with their services.","R 117 612,00","R 705 888,00",R-,2023/11/11,2023/06/01,2024/04/30,Reported
217,Q4 2023/24,2024/02/01,"Health and Welfare Sector Education and Training
Authority (HWSETA)SETA","Additional payment to cover the expenses incured for the venue and
catering for the RPL graduation ceremony in Gauteng Province",Kievits Kroon,"The procurement process was followed. When the end user went to the venue the day before to
check the state of rediness, they discovered that the breakfast and water were not included in
the conference package","R 86 891,52","R 227 274,60",R-,2023/08/29,2023/08/29,2023/08/09,Reported
