3.1 GOVERNANCE MONITORING AND COMPLIANCE: 2023/2024 QUARTER 3 REPORT EXPANSIONS,,,,,,,,,,,,
Number,"Period / Quarter
(Use dropdown List)",Date Received By GMC (yyyy/mm/dd),"Entity/Department
(Use dropdown List)",Project Description,Supplier / Service Provider,"Reason for Expansion
EXPANSIONS REPORT","Value of Contract Expansion
[R]","Original Contract Value
[R]","Value of Previous Expansion
[R]","Award by AO/ AA date
(yyyy/mm/dd)",Contract start date (yyyy/mm/dd),Contract expiry date (yyyy/mm/dd)
151,Q3 2023/24,2023/09/20,South African Revenue Service (SARS),Bloemfontein Shredders,AZ Trading CC,"The replacement of blades and air filters as well as the provision of plastic
bags,","R 517 500,00","R 429 148,41",R -,2023/09/15,2023/03/31,2023/03/30
152,Q3 2023/24,2023/09/21,South African Revenue Service (SARS),"Extension of scope of work for Veterinary services to include the
provision of special dog food.","Various Suppliers/ CSD registered veterinary
service providers",Expansion of scope and funds,"R 1 440 000,00","R 1 824 083,50",R -,2023/09/18,2022/02/03,2027/03/31
153,Q3 2023/24,2023/09/22,South African Revenue Service (SARS),"Variation of the current contract with Orange Cyberdefense South Africa
Pty Ltd (OCD) for consolidated External and internal vulnerability
monitoring services including 50 additional IP target growth, for a period
of twelve (12) months",Orange Cyberdefense South Africa Pty (Ltd),Value and Time,"R 1 564 023,00","R 3 099 261,96",R -,2023/09/21,2024/01/24,2024/12/31
154,Q3 2023/24,2023/10/12,South African Social Security Agency (SASSA),"Expansion of Gasegonyana Local Office Lease Agreement with Argmar
Beleggings to include additional square meters which are currently
occupied by John Taolo Gaetsewe District at R80.31 per square meter.",Armaer Beleggings CC,"Unfolding BPR Process - District Offices not included in future SASSA
Operating Model. There to avoid procuring building that will not be utilised in
the future, expansion of contract was requested. Both Offices are in the
same Building (Adjacent). This will allow DPWI to finalise the Procurement
Process for Gasegonyana Local Office and the future requirement of the
district inline with BPR","R 343 726,80","R 701 748,00",R -,2023/01/09,2023/01/10,2024/03/31
155,Q3 2023/24,2023/10/12,South African Social Security Agency (SASSA),"To extend the current contract with Diversity Turbine Hall Building (Pty)
Ltd for the leasing of 70 parking bays at sterland complex",Diversity,"SASSA management took a decision to procure Head Office building through
the National Department of public Works and Infrastructure to avoid further
court interdicts by the landlord of of the current building","R 76 475,00","R 917 700,00","R 483 299,00",2023/09/29,2023/10/01,2023/10/31
156,Q3 2023/24,2023/10/12,South African Social Security Agency (SASSA),"The extension for the Support and Maintenance Services fo the Opentext
ContentLifecycle Management Suite (Livelink) and Associated systems",Faranani,"The process to acquire a service provider for the support and maintenance of
the Opentext solution post the contract expiration is in progress and is unlikely
to be concluded by the 30 september 2023.","R 5 237 420,98","R 109 222 007,00","R 10 474 841,95",2023/09/27,2023/10/01,2023/11/30
Number,"Period / Quarter
(Use dropdown List)",Date Received By GMC (yyyy/mm/dd),"Entity/Department
(Use dropdown List)",Project Description,Supplier / Service Provider,Reason for Expansion,"Value of Contract Expansion
[R]","Original Contract Value
[R]","Value of Previous Expansion
[R]","Award by AO/ AA date
(yyyy/mm/dd)",Contract start date (yyyy/mm/dd),Contract expiry date (yyyy/mm/dd)
157,Q3 2023/24,2023/10/24,South African Social Security Agency (SASSA),"Extension of Lease Agreement for Office Accommodation for Idutywa
Local Office",Ndlovu Property Trust,"A procurement process was initiated to appoint a service provider for
alternative office accommodation and parking for the the Idutywa Local Office
during February 2023. Only one bid, that of the existing Landlord was
received on the closing day of the bid. A letter of award was issued to the
preferred bidder after hte evaluation and adjudication process. The bidder
subsequently rejected the offer on the grounds of having erroneously omitted
inclusion of the parking in their bid offer. The RBAC agreed to extend both the
lease agreement as allowed in paragraph 5.1 in the signed lease agreement
whilst a new procurement process is initiated to ensure the Local Office
continue functioning and serving the beneficiaries in the area.","R 763 733,12","R 1 899 291,24","R 694 320,84",2023/07/12,2023/07/01,2024/06/30
158,Q3 2023/24,2023/10/24,South African Social Security Agency (SASSA),Extension of Lease for Office Parking for Idutywa Local Office,Mesranet (Pty) Ltd,"A procurement process was initiated to appoint a service provider for
alternative office accommodation and parking for the the Idutywa Local Office
during February 2023. Only one bid, that of the existing Landlord was
received on the closing day of the bid. A letter of award was issued to the
preferred bidder after hte evaluation and adjudication process. The bidder
subsequently rejected the offer on the grounds of having erroneously omitted
inclusion of the parking in their bid offer. The RBAC agreed to extend both the
lease agreement as allowed in paragraph 5.1 in the signed lease agreement
whilst a new procurement process is initiated to ensure the Local Office
continue functioning and serving the beneficiaries in the area.","R 252 444,12","R 687 467,95","R 240 422,97",2023/07/12,2023/05/01,2024/04/30
159,Q3 2023/24,2023/11/10,South African Social Security Agency (SASSA),"Provision Of Cleaning, Sanitation And Car Wash Services For Sassa
Free State Region Office, District And Local Offices",KAMATSHIKA SERVICES,Contract is expiring on the 30 of November 2023,"R 2 443 989,90","R 28 800 000,00",R -,2023/10/31,2023/12/01,2024/02/28
160,Q3 2023/24,2023/12/04,South African Social Security Agency (SASSA),"Installation of hybrid inverter solar systems at Douglas, Calvinia and
Olifantshoek local offices",AYIZE ELECTRICAL AND TRADING (PTY) LTD,"Douglas and Calvinia Local Offices - The main building office does not have
a north facing roof for installation of panels which is critical for solar
production, the outbuilding has been identified for the installation of panels and
an elevated structure is required as the roof is flat.
Olifantshoek Local Office - The north facing roof of the building is covered by
a tree, this tree needed to be cut down completely and treated to avoid future
growth and shading of the solar panels.","R 27 025,00","R 633 828,73",R -,2023/11/28,2023/12/01,2024/03/31
161,Q3 2023/24,2023/12/04,South African Social Security Agency (SASSA),"The Extension of a lease agreement with LC Faber H/A LNN Besighede
for a period of six (6) months for Danielskuil Local Office.",LC Faber H/A LNN Besighede,"No Bids were received for advertised tender by both NDPWI and
subsequently SASSA. There is currently no alternative accomodation, thus the
contract needs to be extended to allow for alternative procurement strategy in
sourcing office accomodation for Danielskuil Local Office","R 107 997,84","R 107 997,84",R -,2023/11/28,2023/12/01,2024/05/31
162,Q3 2023/24,2023/12/04,South African Social Security Agency (SASSA),"Support and Maintenance Services fo r the Opentext Content Lifecycle
Management Suite 16 (Livelink) and associated systems",Faranani,"Duplicate entry in one of the returnable documents and there was
misalignment in the pricing responses template.","R 10 474 841,95","R 109 222 007,00","R 5 237 420,98",2023/11/30,2023/12/01,2024/05/31
163,Q3 2023/24,2023/12/04,South African Social Security Agency (SASSA),Co-sourcing of the Benefitiary Records Management,Document Warehoue,There is a pending court interdict,"R 78 951 441,38","R 480 182 800,00","R 76 829 248,12",2023/11/30,2023/12/01,2024/06/30
164,Q3 2023/24,2023/12/06,South African Social Security Agency (SASSA),"Request for Temporary Securiyty Guards for Mdatnsane 2 Local Office
for a period of 1 month",Tyeks Security,"SASSA Facilities Management relocated the Local Office to newly renovated
office. SASSA assets such as furniture and fittings were moved to the new
Local Office. The new location of the Mdantsane 2 Local Office was identified
by Security Management as a blind spot and is high to breaking and theft. In
order to safeguard the assets until a alarm has been installed and burglar
bars have been procured, temporary night shift guards need to be employed
to safeguard SASSA assets.","R 36 085,76","R 134 994 976,63",R -,2023/11/08,2021/11/01,2024/10/30
165,Q3 2023/24,2023/12/07,South African Social Security Agency (SASSA),"Renewal of Lease Agreement for Zastron Local Office for a period of
Five years with effect from 01 May 2024 to 30 April 2029.",Mohokare Local Municipality,Contract to exceed 15% of the original contract value,"R 412 747,64","R 288 035,28",R -,2023/12/02,2024/05/01,2029/04/30
166,Q3 2023/24,2023/10/17,South African Weather Service,"Variation to the TENET contract for the additional services required for
the Teraco Isando Datacentre",TENET,"Continuity of Service- Install internet connectivity at the new Datacentre
location that will be hosting all South African Weather Service Server
systems. Due to the critical services that South African Weather Service must
deliver to its partners and the public; it is crucial for ICT to make sure Internet
connectivity is always available","R 501 404,60","R 1 498 934,15",R -,2023/09/21,Once-Off,Once-Off
167,Q3 2023/24,2023/11/16,South African Weather Service,"Extension of the existing security contract with Khensani security service
for the provision of security service at the Waterkloof Land and also
provision of two additional security personnel at SAWS site",Khensani Security Services,"Continuation of service for Waterkloof Vacant Land whilst SAWS still finalising
the eviction process and erection of the security fencing and two additional
security gaurds at the SAWS head office to look after the SAWS assests","R 589 859,58","R 4 580 103,52","R 1 526 701,14",2023/10/04,2023/10/05,2024/04/30
"168
169","Q3 2023/24
Q3 2023/24","2023/11/16
2023/09/29","South African Weather Service
Special Investigating Unit (SIU)","Extension of the existing security contracts with Khensani security
service for a period of one month for the new head office
Close Protection Services","Khensani Security Services
Prime African Security (Pty) Ltd","Continuation for a period of one (1) month for the new Head office (ABSA
Building) whilst the tender process for the appointment of a new service
provoder is being finalised.
Extension of security services for the SIU employee","R 161 922,85
R 222 939,00","R 4 580 103,52
R 411 390,42","R 2 116 560,72
R 205 695,21","2023/10/27
2023/08/31","2023/11/01
2023/09/01","2023/11/30
2023/11/30"
170,Q3 2023/24,2023/10/11,State Information Technology Agency (SITA),"Scope expansion of CVT-REG 0000103 for the upgrade of access link
DHA0220-20 (DHA0065-18) from 2 MEG to 10 MEG from TELKOM SA
SOC LIMITED / BCX",Telkom SA SOC Limited,"The department has committed in a project of deploying office 365 which
required much better bandwidth performance.","R 161 865,93","R 266 631,60",R -,2023/04/19,Not indicated,Not indicated
171,Q3 2023/24,2023/10/11,State Information Technology Agency (SITA),"Access link services for National Department: DHET, DWA, DHA and
NPSA for 60 months MONTHS, 5 YEARS",Vodacom (Pty) Ltd,"Upgrade the primary access link bandwidth from 10Mbps to 50Mbps for the
sites two (2) located at Golden Acres in Cape Town and Marshalltown in
Johannesburg to improve on the speed of the bandwidth to access critical
government systems and render services to citizens.","R 262 323,86","R 1 323 549,72",R -,2023/06/24,2020/03/23,2025/03/22
172,Q3 2023/24,2023/10/11,State Information Technology Agency (SITA),"Upgrade of access link KZN0219-17 from 2 MEG TO 10 MEG for the
DOT site RTI midway",Brilliant Telecommunications (Pty) Ltd,"To enable the department to continue to have access to critical government
systems and render services to citizens.","R 455 000,00","R 212 750,00",R -,2023/07/25,2022/04/05,2027/04/04
173,Q3 2023/24,2023/10/11,State Information Technology Agency (SITA),Preperations and readiness in all aeas in SITA finance Department,OMC Chartered Accountant,"Increase in the audit activity and the need to further improve quality control
measures.","R 1 260 400,00","R 3 859 400,00",R -,2023/08/07,2023/08/22,2024/08/21
174,Q3 2023/24,2023/10/11,State Information Technology Agency (SITA),Maintenance and support agreement for trelational software product,Bateleur Software (Pty) Ltd,Business continuity,"R 2 396 855,82","R 9 976 817,00",R -,2023/08/03,2023/08/07,2024/08/06
"175
176","Q3 2023/24
Q3 2023/24","2023/10/11
2023/10/11","State Information Technology Agency (SITA)
State Information Technology Agency (SITA)","Provision of 3 x 1 GBPS links for the Government Printing Works
Supply and installation of Juniper Network SFPS for SAPS","Mubvumela Corporation (Pty) Ltd
Blue Networks and Infrastructure (Pty) Ltd","Business continuity
SFPs are required for installation of the additional sites.","R 926 439,90
R 2 148 199,59","R 1 840 000,00
R 13 489 350,73","R -
R -","2023/08/29
2023/08/31","2023/09/24
2022/04/08","2024/03/23
2025/05/07"
177,Q3 2023/24,2023/10/11,State Information Technology Agency (SITA),"Upgrade of access link DHA0026-21 (DHA0038-23) from 2 MEG to 4
MEG for Waterkloof Airport DHA",Brilliant Telecommunications (Pty) Ltd,"The link upgrade will ensure that the department has sufficient bandwidth for
the traffic, and much better bandwidth performance.","R 249 100,00","R 212 750,00",R -,2023/09/11,2023/01/30,2028/01/29
178,Q3 2023/24,2023/10/11,State Information Technology Agency (SITA),"Scope extension of an existing contract to increase number of emulation
software licenses for EC provincial Government",Ikhaya Technology Solutions Pty Ltd,"The initial licences licences that were procured have been exhausted and
additional licences are required.","R 522 387,50","R 2 394 000,00",R -,2023/09/21,2021/04/01,2026/03/31
179,Q3 2023/24,2023/10/11,State Information Technology Agency (SITA),"Upgrade of access link DEA0000-20(DEA0019-21) from 2 MEG to 10
MEG for DEA",Amber Falcon Properties 187 (Pty) Ltd,"Upgrade to ensure sufficient bandwidth for the traffic and much better
bandwidth performance.","R 378 080,00","R 429 933,25",R -,2023/08/16,2020/07/01,2025/06/30
180,Q3 2023/24,2023/10/11,State Information Technology Agency (SITA),Access links for the DWS,Brilliant Telecommunications,"Upgrade to ensure sufficient bandwidth for the traffic and much better
bandwidth performance.","R 1 593 600,00","R 341 750,00",R -,2023/09/19,2020/09/30,2025/09/29
181,Q3 2023/24,2023/11/03,State Information Technology Agency (SITA),"Software development services for Intergrated Person Management
Solution for the South African Police Service (SAPS)",Gijima Holdings (Pty) Ltd,To include maintenance.,"R 31 776 103,29","R 7 198 060,83",R -,2023/10/24,2023/11/03,2024/11/04
182,Q3 2023/24,2023/11/17,State Information Technology Agency (SITA),"For the upgrade of Access Link (DEA0035-19) from 2Meg to 10Meg for
the Department of Environmental Affairs for the remaining period of
twenty-four (24) months",Brilliant Telecommunications (Pty) Ltd,"The upgrade of access link to ensure continuous connectivity and better
bandwidth performance.","R 275 700,00","R 173 347,83",R -,2023/11/14,2020/06/10,2025/10/09
183,Q3 2023/24,2023/10/19,The South African National Roads Agency SOC Ltd (SANRAL),"Detailed Design and Construction Monitoring of the Port Edward
Interchange on National Route R61 Section 1 (Km 3.50).",Royal Haskoningdhv (Pty) Ltd,Changes of constructors,"R 103 187 131,51","R 43 356 180,18","R 43 607 793,93",2024/11/01,2023/10/11,2023/10/18
184,Q3 2023/24,2023/10/19,The South African National Roads Agency SOC Ltd (SANRAL),"Consulting Engineering Services for the upgrade of National Route R61
Between Mpenjati River (Km 15.0) and Mbizana River (Km 24.0).",Royal Haskoningdhv (Pty) Ltd,Changes of constructors,"R 130 266 762,14","R 77 623 986,47","R 78 304 898,63",2013/08/10,2023/10/11,2023/10/18
185,Q3 2023/24,2023/10/19,The South African National Roads Agency SOC Ltd (SANRAL),"Consulting Engineering Services for the Design And Construction
Monitoring of the upgrade to National Route 2 Section 24 and Section 25
Between Lovu River (Km 12.0) And Umlaas Canal (Km 2.7).","Nathoo Mbenyane Engineers / Leporogo Jv
(Nme)",Changes of constructors,"R 93 854 311,12","R 133 850 140,64",R -,2015/10/13,2023/10/11,2023/10/18
186,Q3 2023/24,2023/12/08,The South African National Roads Agency SOC Ltd (SANRAL),"Detailed Design And Construction Monitoring Of The Port Edward
Interchange On National Route R61 Section 1 (Km 3.50).",Royal Haskoningdhv (Pty) Ltd,Poor planning,"R 103 187 131,51","R 43 356 180,18","R 43 607 793,93",2023/12/08,2023/10/11,2028/04/30
187,Q3 2023/24,2023/12/08,The South African National Roads Agency SOC Ltd (SANRAL),"Consulting Engineering Services For The Design And Construction
Monitoring Of The Upgrade To National Route 2 Section 24 And Section
25 Between Lovu River (Km 12.0) And Umlaas Canal (Km 2.7).","Nathoo Mbenyane Engineers / Leporogo Jv
(Nme)",Poor planning,"R 93 854 311,12","R 133 850 140,64",R -,2023/12/08,2023/10/11,2029/12/31
