row_number,quarter,date_received_by_gmc,entity_department,project_description,supplier_service_provider,value_of_deviation,reason_for_deviation,award_by_ao_aa_date,contract_start_date,contract_expiry,status,
387,Q3 2023/24,2023/11/20,National Arts Council of South Africa (NAC),UPS configuration,Neo Technologies,"R 2 725,50","Neo Technologies was appointed by NAC on 18 April 2023 to supply and install of
UPS batteries to allow our servers in the server room to keep running for at least a
short period of time when the incoming power is interrupted. Unfortunately, the UPS
needs to be reconfigured to be able to operate efficiently and effectively.",2023/11/20,2023/11/20,2023/11/24,,
388,Q3 2023/24,2023/09/26,"National Economic Development and Labour
Council (NEDLAC)","CIPS UK is the only professional body for procurement officials worldwide. In addition, the candidate had already started with this programme on their own through Harvesthouse Consulting and
Training South Africa hence the deviation is just a continuation to complete the remaining modules",CIPS UK,"R 16 231,10",Sole Service Supplier,2023/09/23,2023/09/21,2023/12/15,,
389,Q3 2023/24,2023/10/03,National Gambling Board (NGB),Payment for electricity account on newly acquired building,Prestige metering services (Pty) Ltd,"R 5 880,00",Business decision,2023/09/29,Not stated,2023/10/03,,
390,Q3 2023/24,2023/11/29,National Gambling Board (NGB),Post box/bag,Post Office,"R 2 670,00",sole supplier,2023/11/27,2024/01/01,2024/12/31,,
391,Q3 2023/24,2023/11/15,National Heritage Council South Africa (NHC),Approval for the relocation of HESOP participation due to fire damages at the Wilgenhof Enviromental Education Centre,South African National Parks (SanParks),"R 41 531,20","HESOP is held annually. The year the HESOP National Camp took place at Golden
Gate National Park at the EEC which required the NHC to establish alternative
accomodation for the participants. SanParks paid for 3 October 2023 but requested
NHC to pay for accomodation for the remaining period.",2023/10/04,2023/10/04,2023/10/07,,
392,Q3 2023/24,2023/09/15,National Heritage Council South Africa (NHC),Request to deviate from normal SCM process to procure catering services for Gosha Awards,Cape Town International Convention Centre,"R 163 449,88","The NHC is hosting the annual Golden Shields National Heritage Acwards (GOSHA).
NHC has partnered with Artscape Theatre in Cape Town who offered the venue for
the Gosha event for free but they have an internally contracted caterer, Cape Town
International Convention Centre (CTICC) who NHC must use to provide catering
services during the event.",2023/09/12,2023/09/12,2023/09/14,,
393,Q3 2023/24,2023/09/15,National Heritage Council South Africa (NHC),Request to deviate from normal SCM process for payment of overtime for electrician and foyer coordinator at Artscape during the preparation for the Gosha awards,Artscape Threatre,"R 3 424,08","The NHC team needs to setup the venue the day before the GOSHA event that was
taking place on 14 Sep 2023. The event was booked for the 13th of Sep 2023 and
Artscape agreed that NHC may start the setup at 24:00 but need to pay for the
overtime of the electrician and foyer coordinator as they must be present to assist.",2023/09/12,2023/09/13,2023/09/14,,
394,Q3 2023/24,2023/11/09,"National Home Builders Registration Council
(NHBRC)",Woolworths,Gift Vouchers,"R 261 390,00",Single Source,2023/11/10,2023/11/10,2023/11/10,,
395,Q3 2023/24,2023/11/14,National Library of South Africa (NLSA),Appointment of LIASA for hosting NLSA at the 2023 Annual LIASA,LIASA,"R 312 852,75",Sole supplier,2023/10/11,2023/10/11,2023/10/13,,
396,Q3 2023/24,2023/10/02,National Nuclear Regulator (NNR),Provision of ISO/SANS 27001,SABS,"R 24 335,44",Sole Supplier,2023/09/29,Not Stated,Not Stated,,
397,Q3 2023/24,2023/10/02,National Nuclear Regulator (NNR),Medical Examinations,NECSA,"R 828 743,26",Sole Supplier,2023/09/29,Not Stated,Not Stated,,
398,Q3 2023/24,2023/10/02,National Nuclear Regulator (NNR),Assessment of gamma spectrometry and accreditation of NNR laboratory with a unique accreditation number,SANAS,"R 19 283,72",Sole Supplier,2023/09/29,Not Stated,Not Stated,,
399,Q3 2023/24,2023/10/02,National Nuclear Regulator (NNR),Replacement of leaking pipe at NNR basement,Plum-IT,"R 11 257,81",Emergency,2023/09/29,Not Stated,Not Stated,,
400,Q3 2023/24,2023/10/30,"National Prosecuting Authority of South Africa
(NPA)",Publications,Ligwa advisory services,"R 1 588 206,40","Single source supplier - forensic investigative services - natural continuation from
state capture commission",2023/10/19,2023/10/19,2023/11/30,,
401,Q3 2023/24,2023/10/02,National Research Foundation (NRF),"Procurement of Acoustic Telemetry Hardware, Repairs, Servicing and Associated items",Oceans Research Institute (Pty) Ltd,"R 16 904 837,00","Single Source Deviation: e majority of the transmitters currently deployed on or in
animals by the research community and ATAP researchers are only detectable by
receivers manufactured by Innovasea (confirmed by other receiver manufacturers),
which are the only receivers that NRF currently own.",2023/09/21,2023/10/01,2030/09/30,,
402,Q3 2023/24,2023/11/14,National Research Foundation (NRF),The procurement of three (3) rebuilt Tetrode Tubes (4CW25000A),Denver Technical Products (Pty) Ltd,"R 328 077,75","Single source: This bid was not openly advertised as Denver Technical Products
(Pty) Ltd is the Authorized Exclusive Distributor of Vacuum Tubes rebuilt by Econco
for the Region of South Africa, since 1997. These spares form an integral part of the
power amplifiers at iThemba LABS, requiring replacement from the original
Manufacturer",2023/11/07,Once-Off,Once-Off,,
403,Q3 2023/24,2023/11/14,National Research Foundation (NRF),Supply and delivery of two OEM NETZSCH Progressive Cavity pumps from one source,Dune Engineering (Pty) Ltd,"R 408 307,50","Single Source: This bid was not openly advertised as Dune Engineering has been
appointed as the official distributor of NETZSCH Southern Africa (Pty) LTD. The
appointment is renewed annually and is valid for one calendar year from 1 January
2023.",2023/11/07,Once-Off,Once-Off,,
404,Q3 2023/24,2023/11/14,National Research Foundation (NRF),"Procurement of peristaltic pumps and tubing from Watson-Marlow Bredel S.A Pty Ltd for the
Production of Radiopharmaceuticals over a period of three (3) years",Watson-Marlow Bredel S.A (Pty) Ltd,"R 900 000,00","Single Source: The Peristaltic pumps and tubing ordered from Watson-Marlow
Bredel SA Pty Ltd (sole distributor) are in line with the requirements of quality
assurance requirements in the production of Radioisotopes. It should be noted that
in South Africa, medicines and health products must be registered as per the
provisions and requirements of the Medicines and Related Substances Act, 1965 (Act
No. 101 of 1965). These consumbales were registered as per requirements in the
dossiers submitted to SAHPRA.",2023/10/11,2023/11/14,2026/11/13,,
405,Q3 2023/24,2023/11/14,National Research Foundation (NRF),Emergency for the replacement of the speed drive for the fan in the microbiology cleanroom,Motor Control Cape,"R 19 524,59","Emergency Procurement: Emergency was declared and approved by Managing
Director as per NRF SCM policy.",2023/11/14,Once-Off,Once-Off,,
406,Q3 2023/24,2023/09/26,National Research Foundation (NRF),Elsevier Citation databases and research evaluation tools subscription renewals for a period of three (3) years,Elsevier B.V,"R 11 235 838,00","Single source: The market is very small for these resources with the various
products being complimentary to each other. The entire integrated platform is not
available from other providers.",2023/09/21,2023/10/01,2026/09/30,,
407,Q3 2023/24,2023/09/26,National Research Foundation (NRF),Clarivate Citation databases and research evaluation tools subscription renewals,Worldwide Information Services (Pty) Ltd,"R 11 040 006,25","Single source: The market is very small for these resources with the various
products being complimentary to each other. The entire integrated platform is not
available from other providers.",2023/09/21,2023/10/01,2026/09/30,,
408,Q3 2023/24,2023/10/02,National Treasury,Sabinet online subscription for 2023-2026,Sabinet Online,"R 84 145,79",Sole supplier,2023/08/28,Not indicated,Not indicated,,
409,Q3 2023/24,2023/10/02,National Treasury,Request to procure Institute of Internal Auditors South Africa (IIASA) as a sole provider for the 26th Saia Hybrid Conference,"Institute of
Internal Auditors South Africa (IIASA)","R 44 850,00",IIASA is the only service provider that offers the programme,2023/09/04,Not indicated,Not indicated,,
410,Q3 2023/24,2023/10/02,National Treasury,Request for acceptance of quote for the repair of a broken laptop,HP,"R 9 416,20",Only one quote was obtained because HP is the original equipment manufacturer,2023/09/06,Not indicated,Not indicated,,
411,Q3 2023/24,2023/10/02,National Treasury,Request for approval of the RSA Retail Savings Bond promotion plan for 2023/24,Synergy Business Events,"R 1 200 000,00","The objectives of these promotions will be to reinforce investor confidence and attract
new investors.",2023/09/10,Not indicated,Not indicated,,
412,Q3 2023/24,2023/10/02,National Treasury,"Request to procure Association of Certified Fraud Examiners (ACFE) as a sole provider for the 16th annual African Fraud conference and exhibition for National Treasury officials to take place
from the 13th - 15th September 2023",Association of Certified Fraud Examiners (ACFE),"R 51 000,00",ACFE is a sole service provider,2023/09/10,Not indicated,Not indicated,,
413,Q3 2023/24,2023/10/02,National Treasury,Request to procure National Occupational Safety Association (NOSA) as a sole provider for the safety management training course (SAMTRAC) for two National Treasury employees.,NOSA,"R 42 078,50","National Occupation Safety Association (NOSA) as a sole provider for the Safety
Management Training Course",2023/09/18,Not indicated,Not indicated,,
414,Q3 2023/24,2023/10/02,National Treasury,Request to Procure Bussynet Advanced Trading (Pty) Ltd as a sole provider for the Cyber Security Conference,Bussynet Advanced Training (Pty) Ltd,"R 57 442,50","Bussynet Advanced Training (Pty) Ltd is the only service provider that offers the
programme,",2023/09/15,Not indicated,Not indicated,,
415,Q3 2023/24,2023/10/02,National Treasury,Request to procure Institute Auditors South Africa (IIASA) as a sole provider for the 26th SAIA hybrid Conference,Institute of Internal Auditors South Africa (IIASA),"R 44 850,00",IIASA is the only service provider that offers the programme,2023/09/04,Not indicated,Not indicated,,
416,Q3 2023/24,2023/10/02,National Treasury,Request for acceptance of quote for the repair of a broken laptop,HP,"R 9 416,20",Only one quote was obtained because HP is the original equipment manufacturer,2023/09/06,Not indicated,Not indicated,,
417,Q3 2023/24,2023/10/02,National Treasury,Request for approval of the RSA Retail Savings Bond promotion plan for 2023/24,Synergy Business Events,"R 1 200 000,00","The objectives of these promotions will be to reinforce investor confidence and attract
new investors",2023/09/10,Not indicated,Not indicated,,
418,Q3 2023/24,2023/10/02,National Treasury,"Request to procure Association of Certified Fraud Examiners (ACFE) as a sole provider for the 16th annual African Fraud conference and exhibition for National Treasury officials to take place
from the 13th-15th Sept 2023",Association of certified Fraud Examiners (ACFE),"R 51 000,00",ACFE is a sole service provider,2023/09/10,Not indicated,Not indicated,,
419,Q3 2023/24,2023/10/02,National Treasury,Request to procure National Occupational Safety Association (NOSA) as a sole provider for the safety management training course (SAMTRAC) for two National Treasury employees,NOSA,"R 42 078,50","National Occupation Safety Association (NOSA) as a sole provider for the Safety
Management Training Course",2023/09/18,Not indicated,Not indicated,,
420,Q3 2023/24,2023/10/02,National Treasury,Request for procure Bussynet Advanced Trading (Pty) Ltd as a sole provider for the Cyber Security Conference,Bussynet Advanced Training (Pty) Ltd,"R 57 442,50","Bussynet Advanced Training (Pty) Ltd is the only service provider that offers the
programme",2023/09/15,Not indicated,Not indicated,,
421,Q3 2023/24,2023/10/02,National Treasury,Request for approval of payment of administration and membership fees to the Private Security Industry Regulatory Authority (PSIRA) for members of the directorate: security management,PSIRA,"R 11 665,71","Administration fees to register Security Management as a security service provider;
and membership certificates renewal fees for all in-house security personnel",2023/09/19,Not indicated,Not indicated,,
422,Q3 2023/24,2023/10/16,National Treasury,Request to deviate from normal Procurement processes for the appointment of International service providers to undertake an independent assessment of Transnet's freIght rail corridors,Transnet Freight Rail Corridors,"R 5 000 000,00","A specialised skillse is required for the independent assessment, hence a closed
bidding method was applied",2023/07/27,Not indicated,Not indicated,,
423,Q3 2023/24,2023/11/14,National Treasury,Request for approval to effect payment post-factum for the repair of audio-visual equipment in the DG’s boardroom to link to Cape Town for the MTBPS as a matter of urgency,Tushia Consulting Agency,"R 6 900,00","The Audio-Visual system in the Small Boardroom at 40 Church required urgent
repairs",2023/11/01,Not indicated,Not indicated,,
424,Q3 2023/24,2023/11/14,National Treasury,"Request for approval to deviate from the normal procurement process to acquire a Hosted Amazon Web Services (AWS) subscription for the Vulekamali Portal, and to add the subscription to the
demand plan",Amazon Web Services (AWS),R -,"The contract with OpenUp is coming to an end in December, which led to the Budget
Reform unit approaching NT ICT to request ICT to host the Vulekamali portal",2023/11/09,Not indicated,Not indicated,,
425,Q3 2023/24,2023/11/14,National Treasury,Request to procure Institute of Risk Management South Africa (IRMSA) as a sole provider to provide the public sector ERM: aligning risk and strategy course,Institute of Risk Management South Africa (IRMSA),"R 5 846,60","The Institute of Risk Management South Africa (IRMSA) is the sole provider of the
Continuing Professional Development (CPD) training programs for members and
non-members",2023/11/09,Not indicated,Not indicated,,
426,Q3 2023/24,2023/11/14,National Treasury,"feasibility study on the financial implications of extending the operating life of Eskom coal plants beyond their currently planned decommissioning schedules for a period of 6 months through a
closed bid system",Closed bid,"R 35 000 000,00","Domestic service providers are conflicted in that they are already key players in the
local coal-fired power generation and electricity sector which may influence their
objectivity in assessing Eskom, hence a closed bidding process was adopted.",2023/10/31,Not indicated,Not indicated,,
427,Q3 2023/24,2023/11/24,National Treasury,Request for approval to effect payment post-factum for the repair of audio-visual equipment in the DG’s boardroom to link to Cape Town for the MTBPS as a matter of urgency,Wolter Kluwer Tax & Accounting,"R 29 844,56","Wolters Kluwer is the sole distributor of the Teammate Audit Management Software,
including its packages, support services and training",once off,Not indicated,Not indicated,,
428,Q3 2023/24,2023/11/24,National Treasury,"RFQ897-2023- Request to procure the Institute of Risk Management South Africa (IRMSA) as a sole provider for the Governance, Risk and Compliance training scheduled to take place on 17
November 2023",Institute of Risk Management South Africa (IRMSA),"R 3 606,40","The Institute of Risk Management South Africa (IRMSA) is the sole provider of the
Risk Management discipline training programs, which covers a wide range of
services/products",Not Applicable,Not indicated,Not indicated,,
429,Q3 2023/24,2023/11/30,National Treasury,Renewal of Information Systems Audit and Control Association (ISACA) Professional Body Memberships,ISACA,"R 19 949,20","It is the National Treasury’s practice to promote accreditation by paying these
membership fees to maintain a high-quality working relationship with its staff
members and thus securing their future in this profession.",2023/11/24,Not indicated,Not indicated,,
430,Q3 2023/24,2023/12/08,National Treasury,Requesting approval for the continued electronic membership from the International Bureau of Fiscal Documentation (IBFD),Bureau of Fiscal Documentation (IBFD),"R 222 683,81",IBFD is the sole supplier of this membership,2023/12/05,Not indicated,Not indicated,,
431,Q3 2023/24,2023/12/08,National Treasury,Subscription to Municipal IQ,Municipal IQ,"R 280 500,50","Users of Municipal IQ are required to subscribe annually to the website to access its
services. In response to the need of the IGR Division to have a profile for each of the
municipalities in South Africa, Municipal IQ is best positioned to populate such
profiles. Municipal IQ is the sole provider",2023/11/30,Not indicated,Not indicated,,
432,Q3 2023/24,2023/12/08,National Treasury,"Request to deviate from a normal procurement process and appoint the University of South Africa (UNISA) to deliver online structured vocational training for National Treasury employee, Ms
Phiwengesihle Mashabane, within the Office of the Chief Procurement Officer",Unisa,"R 19 100,00","This is critical in the procurement environment where she is operating, as every
procurement decision and action is an administrative decision. Unisa is the sole
supplier",2023/12/08,Not indicated,Not indicated,,
433,Q3 2023/24,2023/12/08,National Treasury,Renewal of Financial Times subscription,The Financial Times,"R 3 248 473,00","Access to the Financial Times is an important resource in the work of many different
units in the National Treasury. It allows for multiple readers to access the online FT ,
and to share articles of interest. Articles on the website cannot be accessed without a
subscription.",2023/11/11,2023/11/11,2020/12/09,,
434,Q3 2023/24,2023/10/16,NTP Radioscopes Ltd SOC,Purolite Resin,Purolite,"R 547 350,00",Quality Validated Supplier,2023/07/04,2023/07/19,2023/11/19,,
435,Q3 2023/24,2023/10/16,NTP Radioscopes Ltd SOC,supply and delivery of Reagents and Cassettes for PSMA synthesis,ABX,"R 99 665,76",Sole Supplier,2023/07/07,2023/07/07,2023/11/30,,
436,Q3 2023/24,2023/10/16,NTP Radioscopes Ltd SOC,"Supply, maintenance and re-qualification of critical process equipment",Sykam,"R 180 644,19",Sole Supplier,2023/07/07,2023/07/07,2024/07/06,,
437,Q3 2023/24,2023/10/16,NTP Radioscopes Ltd SOC,Business Case,Clientelis,"R 227 500,00",Quality Validated Supplier,2023/07/08,2023/08/28,2023/10/31,,
438,Q3 2023/24,2023/10/16,NTP Radioscopes Ltd SOC,Delivery and Supply of Yb-176,Terthera,"R 3 085 485,82",Quality Validated Supplier,2023/07/08,2023/07/08,2024/07/07,,
439,Q3 2023/24,2023/10/16,NTP Radioscopes Ltd SOC,0-18 Enriched Water,Jiangsu Huayi,"R 705 196,80",Sole Supplier,2023/08/06,2023/08/06,2023/10/30,,
440,Q3 2023/24,2023/10/16,NTP Radioscopes Ltd SOC,Sterile Vials,Comecer,"R 354 803,68",Sole Supplier,2023/08/02,2023/08/08,2023/11/30,,
441,Q3 2023/24,2023/10/16,NTP Radioscopes Ltd SOC,HPGe-Gamma Spectroscopy System,Bio-tecknik,"R 845 562,00",Sole Supplier,2023/08/08,2023/08/24,2024/01/29,,
442,Q3 2023/24,2023/10/16,NTP Radioscopes Ltd SOC,TEVA Resin,Analytical and Diagnotic Products,"R 447 560,00",Sole Supplier,2023/08/08,2023/09/19,2023/10/31,,
443,Q3 2023/24,2023/10/16,NTP Radioscopes Ltd SOC,Subcription,Autoscibe,"R 209 179,69",Sole Supplier,2023/08/14,2023/08/14,2024/08/13,,
444,Q3 2023/24,2023/10/16,NTP Radioscopes Ltd SOC,GMP Inspection,SAHPRA,"R 134 400,00",Regulator,2023/08/14,2023/08/14,2023/11/14,,
445,Q3 2023/24,2023/10/16,NTP Radioscopes Ltd SOC,Lithium Sulphate,Merck,"R 499 800,00",Quality Validated Supplier,2023/08/15,2023/08/15,2023/09/29,,
446,Q3 2023/24,2023/10/16,NTP Radioscopes Ltd SOC,HPGe-Gamma Spectroscopy System,Chemetrix,"R 165 488,50",Sole Supplier,2023/08/23,2023/09/11,2023/11/30,,
447,Q3 2023/24,2023/10/16,NTP Radioscopes Ltd SOC,BMS,Cloud Africa,"R 96 586,50",Sole Supplier,2023/09/08,2023/09/19,2023/10/16,,
448,Q3 2023/24,2023/10/06,Office of the Public Service Commission,Travel and accommodation management company,XL Nexus Travel,R -,Panel of 3 service providers,2023/09/13,2023/09/01,2024/08/31,,
449,Q3 2023/24,2023/11/10,Onderstepoort Biological Products (OBP),Appointment of CSIR for provision of design and advisory services,CSIR,"R 2 811 654,32",Continuity of service,2023/10/31,Not Stated,Not Stated,,
450,Q3 2023/24,2023/10/31,"Performing Arts Centre of the Free State
(PACOFS)",Additional users on the SAGE VIP System,SAGE South Africa,"R 5 193,40",The service provider is currently providing the entity with the payroll system,2023/10/12,2023/10/12,2023/10/12,,
451,Q3 2023/24,2023/10/31,"Performing Arts Centre of the Free State
(PACOFS)",Caseware Training,Adapt IT Pty Ltd,"R 45 840,66",Sole provider,2023/10/19,2023/10/19,2023/11/30,,
452,Q3 2023/24,2023/10/01,"Perishable Products Export Control Board
(PPECB)",M file,ITEC,"R 1 272 921,00",Single source,2023/10/01,2023/04/01,2023/03/31,,
453,Q3 2023/24,2023/10/05,"Petroleum, Oil and Gas Corporation of South
Africa (PetroSA)",Clearing And Forwarding,Grindrod Logistics Africa,"R 5 550 000,00",Emergency,2023/10/05,2023/09/27,2024/09/26,,
454,Q3 2023/24,2023/10/05,"Petroleum, Oil and Gas Corporation of South
Africa (PetroSA)",Cross Border Transport Services,Unitrans Botswana Proprietary,"R 45 000 000,00",Emergency,2023/10/05,2023/09/27,2024/09/26,,
455,Q3 2023/24,2023/10/24,"Petroleum, Oil and Gas Corporation of South
Africa (PetroSA)","Er Block 3A4A 1St Year, 2Nd Year, Year 3 - Provision Of Exploration Right Fees For Petrosa",PASA,"R 1 546 562,42",Sole Supplier,2023/10/24,2023/10/19,2023/10/19,,
456,Q3 2023/24,2023/09/21,"Petroleum, Oil and Gas Corporation of South
Africa (PetroSA)",Transport,Bakers Tankers,"R 2 000 000,00",Emergency Transport,2023/09/21,2023/09/14,2023/09/29,,
457,Q3 2023/24,2023/09/21,"Petroleum, Oil and Gas Corporation of South
Africa (PetroSA)",Transport,Unitrans Supply Chain Solutions,"R 1 000 000,00",Emergency Transport,2023/09/21,2023/09/11,2023/09/29,,
458,Q3 2023/24,2023/10/05,Public Protector South Africa,Renewal of PPSA Entrust Secure Socket Layer (SSL) digital certificates,Altron Security,"R 7 404,03",Sole Supplier,2023/09/20,2023/10/01,2024/09/30,,
459,Q3 2023/24,2023/10/05,Public Protector South Africa,Provision of training for Advanced IT Application Controls Identification & Auditing,Leadership Academy for Guardians of Governance,"R 40 641,00",Sole Supplier,2023/09/20,Not Indicated,Not Indicated,,
460,Q3 2023/24,2023/10/06,Public Service Commission (PSC),"Appointment of a Travel and Accommodation Management Company (TAMC) to conduct travel and accommodation arrangements for the Office of the Public Service Commission (OPSC) for a
period of 12 months",XL Nexus Travel,R -,"To have a panel of three(3) travel agencies to cater for the travel and accommodation
needs of the PSC and thus ensure provision of quality services on a timeous and
competitive basis",2023/08/23,2023/09/01,2024/08/31,,
461,Q3 2023/24,2023/10/10,Public Service Commission (PSC),Repair of two laptops,Dell Computer,"R 7 589,22",Single Source,2023/09/19,2023/09/19,2024/10/31,,
462,Q3 2023/24,2023/09/26,Public Service Commission (PSC),Digital newspaper,Newspaper Direct (Pressreader),"R 549 950,00",Sole supplier,2023/04/26,2023/05/01,2024/04/30,,
463,Q3 2023/24,2023/09/26,Public Service Commission (PSC),Utilisation of the Deeds Registration System,"Department of Agriculture, Land Reform and Rural
Development","R 260 336,00","The PSC purchases property registration information for SMS members from Deeds
Registry",2023/04/26,Once-off payment,Not indicate,,
464,Q3 2023/24,2023/09/26,Public Service Commission (PSC),Author to assist in the research and writing of the ook on the histrory of the PSC,MaseMase Consultancy,"R 497 700,00",Only one service provider responded to the RFP before the closing date and time,2023/06/14,2023/07/01,2024/06/30,,
465,Q3 2023/24,2023/09/26,Public Service Commission (PSC),Security Services in North West,Maxi Phumelela Security,"R 176 010,31",The PSC was unable to obtain three quotations,2023/06/26,2023/06/14,2024/06/30,,
466,Q3 2023/24,2023/09/26,Public Service Commission (PSC),,National Press Club,"R 25 000,00","The National Press Club is a unique organisation in the journalistic field in the
republic and has no competition. There is no other organisation that offers the
product and service that National Press Club",2023/06/26,Once-off payment,Not indicate,,
467,Q3 2023/24,2023/10/11,"Quality Council for Trades and Occupations
(QCTO)",Internet Connectivity,Comsol Networks,"R 192 899,85",Emergency Procurement,2023/09/11,2023/09/12,2024/09/11,,
468,Q3 2023/24,2023/10/11,"Quality Council for Trades and Occupations
(QCTO)",Back up management and disaster recovery,Triple 4 Consulting,"R 979 735,41",Emergency Procurement,2023/09/13,2023/09/14,2024/09/13,,
469,Q3 2023/24,2023/10/11,"Quality Council for Trades and Occupations
(QCTO)",Firewall services,Securicom,"R 49 990,50",Emergency Procurement,2023/09/13,2023/09/14,2024/09/13,,
470,Q3 2023/24,2023/10/11,"Quality Council for Trades and Occupations
(QCTO)",Mimecast services,Destiny Global Technology,"R 491 970,00",Emergency Procurement,2023/09/29,2023/09/30,2024/09/29,,
471,Q3 2023/24,2023/10/11,"Quality Council for Trades and Occupations
(QCTO)",Telephony services,Telkom,"R 310 836,94",Emergency Procurement,2023/10/03,2023/10/04,2024/10/03,,
472,Q3 2023/24,2023/10/18,Railway Safety Regulator (RSR),Legal Representation,MMMG Attorneys,"R 800 000,00",MMMG Attorneys have in-depth knowledge and experience with the matter.,2023/10/28,2023/10/28,Not Stated,,
473,Q3 2023/24,2023/10/18,Railway Safety Regulator (RSR),Legal Representation,Moja Sibiya Attorneys,"R 1 000 000,00",Continuity of service,2023/10/12,2023/10/12,Not Stated,,
474,Q3 2023/24,2023/10/13,Rand Water,Laboratory Consumables,Anatech Instruments(Pty)Ltd,"R 5 334 794,73",Sole source,2023/05/17,2023/06/01,2026/06/30,,
475,Q3 2023/24,2023/10/03,Rand Water,Repair of Hydraulic system,Hytec Portofolio,"R 1 315 573,85",Single Source,2023/09/18,2023/09/19,2024/02/19,,
476,Q3 2023/24,2023/10/03,Rand Water,Repair of Pumpsets,Auma South Africa(Pty)Ltd,"R 26 417,09",Sole source,2023/01/26,2023/01/26,2023/02/26,,
477,Q3 2023/24,2023/10/03,Rand Water,Learning management system,Signify Software,"R 1 987 200,00",Single Source,2023/05/19,2023/05/19,2025/05/19,,
478,Q3 2023/24,2023/10/03,Rand Water,Rehabilitation of sewer pipes,Bovu Fluid Holdings (Pty) Ltd,"R 11 389 769,87",Emergency,2023/04/01,2022/06/17,2023/11/01,,
479,Q3 2023/24,2023/10/03,Rand Water,Emergency Pipelines,Murray and Dickson Construction group,"R 323 189,78",Emergency,2023/05/21,2022/10/18,2023/10/18,,
480,Q3 2023/24,2023/10/03,Rand Water,Emergency Pipelines,Notefull Gauteng (PTY) LTD,"R 2 269 589,45",Emergency,2023/05/21,2022/10/18,2023/10/18,,
481,Q3 2023/24,2023/10/03,Rand Water,Emergency Pipelines,Cornet and Kinsbergen Pty Ltd,"R 1 108 235,54",Emergency,2023/05/21,2022/10/18,2023/10/18,,
482,Q3 2023/24,2023/10/03,Rand Water,Verification of Laboraties consumables,Idexx Laboratories Pty Ltd,"R 1 931 343,15",Sole Source,2022/09/26,2022/09/26,2023/10/26,,
483,Q3 2023/24,2023/09/29,Road Accident Fund (RAF),OMADA identity and Access Management,Integralls IT Consulting,"R 17 960 957,00",Sole Source services provider,2023/08/31,Not stated,Not stated,,
484,Q3 2023/24,2023/09/18,Road Traffic Infringement Agency (RTIA),Contract management training,National School of Government,"R 116 960,00",Only NSG offers these specialised training specific to Government employees,2023/07/27,2023/09/12,2023/09/13,,
485,Q3 2023/24,2023/09/18,Road Traffic Infringement Agency (RTIA),Bid committees training,National School of Government,"R 130 080,00",Only NSG offers these specialised training specific to Government employees,2023/07/07,2023/07/10,2023/07/10,,
486,Q3 2023/24,2023/09/18,Road Traffic Infringement Agency (RTIA),TV License,SABC,"R 1 000,00",Sole Supplier,2023/08/14,2023/09/01,2024/08/31,,
487,Q3 2023/24,2023/11/06,Road Traffic Management Corporation (RTMC),Oracle technical support services for a period of 2 years,Oracle,"R 25 868 438,31",Sole Supplier,2023/10/27,2023/11/01,2025/10/31,,
488,Q3 2023/24,2023/11/06,Road Traffic Management Corporation (RTMC),Renewal of Microsoft licences for a period of 3 years,Microsoft,"R 31 009 592,22",Sole Supplier,2023/10/27,2023/11/01,2026/10/31,,
489,Q3 2023/24,2023/12/04,Sasria SOC Ltd,Payspace Software licence,Insight IT Solution (Pty),"R 331 784,64","Insight IT Solution (Pty) Ltd is a sole provider for Payspace Software which Sasria is
currently using for payrolll purpose and performance management solution. For
service continuity purpose,people Management is currently using the services of
Payspace because this tool enables the Organisation to integrate with MicroSoft
D365 ERP system in terms of the ability for employees to view their salaries in D365
ERP system via a link and it also support the performance management system
which is inline with Sasria's digitilisation strategy. The motivation above, is based on
the letter from Insight IT Solution (Pty) Ltd which confirms they have exclusive rights
to provide the Payspace Application.",2023/11/28,Not indicated,Not indicated,,
490,Q3 2023/24,2023/12/13,Sasria SOC Ltd,Payspace Software licence,Insight IT Solution (Pty),"R 331 784,64",Insight IT Solution (Pty) Ltd is a sole provide for Payspace Software,2023/11/28,Not indicated,Not indicated,,
491,Q3 2023/24,2023/11/22,Sentech,Motivation for the Webmethods license subscription fees (Enterprise Service Bus)include both licence and Maintenance (API Software Integration Software),Software AG through the approved SITA Framework.,"R 2 927 546,34","Sentech has acquired webMethods licenses used for systems integration and it now
due for renewal. The licenses are used for system integration at both production and
DR sites including cloud deployments (either iPaaS in Private or public Cloud).",2023/10/27,2023/10/27,2024/10/26,,
492,Q3 2023/24,2023/11/21,Small Enterprise Development Agency (SEDA),Exhibition stands:IntrAfrica Trade Fair (IATF) (9-15 November 2023) for 20 Seda clients,Africa Export Bank (Afrexim Bank),"R 1 143 802,00",The service provider is thr organiser of the events,2023/10/25,2023/11/08,2023/11/16,,
493,Q3 2023/24,2023/11/21,Small Enterprise Development Agency (SEDA),Exhibition stands:Stabd builder for 20 Seda clients at IntrAfrica Trade Fair,Garona Communication and projects cc,"R 1 127 000,00","Seda requested quotes and received quotes from three suppliers. The supplier was
chosen as it is based in SA and threr will be easier communication and
understanding",2023/10/25,2023/11/08,2023/11/16,,
494,Q3 2023/24,2023/09/15,Small Enterprise Development Agency (SEDA),Exhibition Stands: Free From Food Dubai 2023 (20 - 22 September 2023) for 20 Seda clients,Expo Business Communications BV,"R 1 467 504,00",The service provider is the sole organiser of the event,2023/08/24,2023/09/19,2023/09/23,,
